name,interface_number,shift_number,swap_number,material_lower,material_lower_primitive_cell,material_lower_percent,material_lower_bulk_n,material_lower_bulk_E_dft,material_lower_bulk_E_mlp,material_lower_termination_min_layer_loc,material_lower_termination_max_layer_loc,material_lower_termination_n_atoms,material_lower_miller_hkl,material_lower_miller_h,material_lower_miller_k,material_lower_miller_l,material_upper,material_upper_primitive_cell,material_upper_bulk_n,material_upper_bulk_E_dft,material_upper_bulk_E_mlp,material_upper_termination_min_layer_loc,material_upper_termination_max_layer_loc,material_upper_termination_n_atoms,material_upper_miller_hkl,material_upper_miller_h,material_upper_miller_k,material_upper_miller_l,material_shift_a,material_shift_b,material_shift_c,material_vector_mismatch_%,material_angle_mismatch_°,material_area_mismatch_%,interface_atoms_n,interface_electron_n,interface_E_dft@dft,interface_E_dft@mlp,interface_E_bulk_form_dft,interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,interface_compute_nodes_dft,interface_compute_time_seconds,interface_compute_time_per_electron_dft,interface_E_mlp@mlp,interface_E_mlp@dft,interface_E_bulk_form_mlp,interface_E_form_delta_mlp@mlp,interface_E_form_delta_mlp@dft,interface_compute_nodes_mlp,interface_compute_time_seconds_mlp,interface_compute_time_per_electron_mlp,mlp_n_times_faster,dft_mlp_rank_distance,fill_colour,is_shift,is_swap,is_valid,is_comparable_dft@dft_mlp@mlp,dft@dft_vs_mlp@mlp_rank_dft,dft@dft_vs_mlp@mlp_rank_mlp,dft@dft_vs_mlp@mlp_rank_distance,dft@dft_vs_mlp@mlp_line_colour,is_comparable_dft@dft_dft@mlp,dft@dft_vs_dft@mlp_rank_dft,dft@dft_vs_dft@mlp_rank_mlp,dft@dft_vs_dft@mlp_rank_distance,dft@dft_vs_dft@mlp_line_colour,is_comparable_mlp@dft_mlp@mlp,mlp@dft_vs_mlp@mlp_rank_dft,mlp@dft_vs_mlp@mlp_rank_mlp,mlp@dft_vs_mlp@mlp_rank_distance,mlp@dft_vs_mlp@mlp_line_colour,is_broken
120_Si36C84_012_012_a0.12963_b0.617284_c1.482413_interface1shift1,1,1,1,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,C,False,8,-69.80589084,-74.136955,0.29167,0.375,14,012,0,1,2,0.12963,0.617284,1.482413,0.319951773,0.0,0.640940666,120,480,-792.28481032,-841.063149,-7.025505718750001,-5.665639323500001,-6.012710575,4,,12.05,-920.942715,,-7.4711175,-6.678373625000001,,1,,11.385416666666666,1.0583714547118026,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,54,50,4,"(0.07058823529411765, 0.9254901960784314, 0.0)",True,54,63,9,"(0.1411764705882353, 0.8549019607843137, 0.0)",False,,,,,False
380_Si72C308_111_111_a0.045455_b0.007576_c2.163935_interface6shift5,6,5,5,Si,False,2.1052631578947367,8,-42.60220066,-45.400925,-0.03508,0.03508,12,111,1,1,1,C,False,8,-69.80589084,-74.136955,0.19792,0.21875,28,111,1,1,1,0.045455,0.007576,2.163935,0.319956511,0.0,0.640952587,380,1520,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
336_Ge192Sn144_011_011_a0.702564_b0.979487_c2.163935_interface5shift3,5,3,3,Ge,False,2.380952380952381,8,-35.08485951,-38.831661,-0.0275,0.0275,32,011,0,1,1,Sn,False,8,-29.90800429,-34.349418,-0.02397,0.02397,24,011,0,1,1,0.702564,0.979487,2.163935,0.671433747,0.0,1.338356733,336,1344,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
72_Ge48Si24_001_114_a0.43038_b0.691824_c1.495911_interface8shift4,8,4,4,Ge,False,11.11111111111111,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,4,114,1,1,4,0.43038,0.691824,1.495911,4.008624077,0.0,2.267128229,72,288,-316.72701938,-349.992612,-4.855441260625,-3.3199994334722223,-3.691111472222223,4,,6.125,-361.397387,,-5.264536625,-3.8495111250000003,,1,,2.0,3.0625,,"(0.3843137254901961, 0.2196078431372549, 0.7764705882352941)",True,False,True,True,535,616,81,"(0.12941176470588237, 0.8666666666666667, 0.0)",True,458,466,8,"(0.01568627450980392, 0.9803921568627451, 0.0)",False,,,,,False
264_Sn108Si156_001_001_a0.07732_b0.082474_c2.1_interface1shift1swap2,1,1,1,Sn,False,3.0303030303030303,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,0.07732,0.082474,2.1,0.586363971,0.0,1.176154613,264,1056,-1121.52272796,-1232.882036,-4.531887809375,-3.9735322841287877,-4.367923079545455,4,,24.625,-1306.495405,,-4.9843964375,-4.646761598484848,,1,,3.247159090909091,7.583552055993001,,"(0.4666666666666667, 0.058823529411764705, 0.9372549019607843)",True,True,True,True,280,206,74,"(0.2627450980392157, 0.7333333333333333, 0.0)",True,230,222,8,"(0.03137254901960784, 0.9647058823529412, 0.0)",False,,,,,False
380_C308Si72_111_111_a0.022727_b0.007576_c2.188944_interface10shift1,10,1,1,C,False,2.1052631578947367,8,-69.80589084,-74.136955,0.15625,0.17708,28,111,1,1,1,Si,False,8,-42.60220066,-45.400925,-0.03508,0.03508,12,111,1,1,1,0.022727,0.007576,2.188944,0.31893608,0.0,0.636863708,380,1520,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
180_Ge144Sn36_011_012_a0.492754_b0.117949_c1.986941_interface15shift8,15,8,8,Ge,False,4.444444444444445,8,-35.08485951,-38.831661,-0.0275,0.0275,24,011,0,1,1,Sn,False,8,-29.90800429,-34.349418,-0.04167,0.04167,6,012,0,1,2,0.492754,0.117949,1.986941,4.701496601,0.0,3.998506069,180,720,-733.85716736,-822.84786,-4.062053987500001,-3.7159127975555553,-4.16481545,4,,12.661111111111111,-841.087372,,-4.5738174375,-4.266146072222222,,1,,3.5027777777777778,3.6145915939730373,,"(0.45098039215686275, 0.08627450980392157, 0.9098039215686274)",True,False,True,True,399,452,53,"(0.11372549019607843, 0.8823529411764706, 0.0)",True,322,319,3,"(0.00784313725490196, 0.9882352941176471, 0.0)",False,,,,,False
96_Ge48Sn48_013_112_a0.133929_b0.286517_c1.385736_interface14shift3,14,3,3,Ge,False,8.333333333333332,8,-35.08485951,-38.831661,-0.04167,0.04167,8,013,0,1,3,Sn,False,8,-29.90800429,-34.349418,-0.04152,0.04152,8,112,1,1,2,0.133929,0.286517,1.385736,2.586106539,0.0,1.897323132,96,384,-284.86256561,-354.566174,-4.062053987500001,-2.2903093938541663,-2.931094739583333,4,,6.125,-430.307871,,-4.5738174375,-3.7200707499999996,,1,,2.7213541666666665,2.2507177033492822,,"(0.4117647058823529, 0.16470588235294117, 0.8313725490196079)",True,False,True,True,600,643,43,"(0.06666666666666667, 0.9294117647058824, 0.0)",True,523,509,14,"(0.023529411764705882, 0.9725490196078431, 0.0)",False,,,,,False
168_Sn72Ge96_011_011_a0.126126_b0.537975_c2.163935_interface4shift8,4,8,8,Sn,False,4.761904761904762,8,-29.90800429,-34.349418,-0.02397,0.02397,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.0275,0.0275,16,011,0,1,1,0.126126,0.537975,2.163935,0.675974071,0.0,1.356506348,168,672,-675.23362422,-755.095887,-4.062053987500001,-3.6323854786904763,-4.059016714285714,4,,7.845238095238095,-767.893843,,-4.5738174375,-4.135195023809523,,1,,6.168154761904762,1.2718938480096502,,"(0.4470588235294118, 0.09411764705882353, 0.9019607843137255)",True,False,True,True,495,530,35,"(0.06274509803921569, 0.9333333333333333, 0.0)",True,418,414,4,"(0.00784313725490196, 0.9882352941176471, 0.0)",False,,,,,False
60_Ge36Si24_001_013_a0.0_b0.0_c0.0_interface13shift1,13,1,1,Ge,False,13.333333333333334,8,-35.08485951,-38.831661,-0.03888,0.03888,6,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,4,013,0,1,3,0.0,0.0,0.0,4.008624554,0.0,2.872276306,60,240,240.64807205,355.675498,-4.855441260625,5.305585537,7.331801400000001,4,,8.4,-301.535834,,-5.264536625,-3.6217208000000003,,1,,4.520833333333333,1.8580645161290326,,"(0.36470588235294116, 0.26666666666666666, 0.7333333333333333)",False,False,False,True,687,662,25,"(0.03529411764705882, 0.9607843137254902, 0.0)",True,610,631,21,"(0.03137254901960784, 0.9647058823529412, 0.0)",False,,,,,False
120_Si36C84_012_012_a0.314815_b0.067901_c1.482413_interface10shift5,10,5,5,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,C,False,8,-69.80589084,-74.136955,-0.04167,0.04167,14,012,0,1,2,0.314815,0.067901,1.482413,0.319951773,6.83e-06,0.640940666,120,480,-796.05717319,-846.531729,-7.025505718750001,-5.69707568075,-6.058282074999999,4,,11.975,-928.13634,,-7.4711175,-6.7383204999999995,,1,,6.16875,1.9412360688956432,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,18,21,3,"(0.1411764705882353, 0.8549019607843137, 0.0)",True,18,14,4,"(0.2196078431372549, 0.7764705882352941, 0.0)",False,,,,,False
108_Sn48Ge60_001_001_a0.930233_b0.224806_c2.2_interface10shift5,10,5,5,Sn,False,7.4074074074074066,8,-29.90800429,-34.349418,-0.0339,0.0339,8,001,0,0,1,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,10,001,0,0,1,0.930233,0.224806,2.2,2.520913124,0.0,4.978269577,108,432,,,,,,4,,,-488.449032,,-4.5738174375,-3.8450736388888886,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,False
