name,interface_number,shift_number,swap_number,material_lower,material_lower_primitive_cell,material_lower_percent,material_lower_bulk_n,material_lower_bulk_E_dft,material_lower_bulk_E_mlp,material_lower_termination_min_layer_loc,material_lower_termination_max_layer_loc,material_lower_termination_n_atoms,material_lower_miller_hkl,material_lower_miller_h,material_lower_miller_k,material_lower_miller_l,material_upper,material_upper_primitive_cell,material_upper_bulk_n,material_upper_bulk_E_dft,material_upper_bulk_E_mlp,material_upper_termination_min_layer_loc,material_upper_termination_max_layer_loc,material_upper_termination_n_atoms,material_upper_miller_hkl,material_upper_miller_h,material_upper_miller_k,material_upper_miller_l,material_shift_a,material_shift_b,material_shift_c,material_vector_mismatch_%,material_angle_mismatch_°,material_area_mismatch_%,interface_atoms_n,interface_electron_n,interface_E_dft@dft,interface_E_dft@mlp,interface_E_bulk_form_dft,interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,interface_compute_nodes_dft,interface_compute_time_seconds,interface_compute_time_per_electron_dft,interface_E_mlp@mlp,interface_E_mlp@dft,interface_E_bulk_form_mlp,interface_E_form_delta_mlp@mlp,interface_E_form_delta_mlp@dft,interface_compute_nodes_mlp,interface_compute_time_seconds_mlp,interface_compute_time_per_electron_mlp,mlp_n_times_faster,dft_mlp_rank_distance,fill_colour,is_shift,is_swap,is_valid,is_comparable_dft@dft_mlp@mlp,dft@dft_vs_mlp@mlp_rank_dft,dft@dft_vs_mlp@mlp_rank_mlp,dft@dft_vs_mlp@mlp_rank_distance,dft@dft_vs_mlp@mlp_line_colour,is_comparable_dft@dft_dft@mlp,dft@dft_vs_dft@mlp_rank_dft,dft@dft_vs_dft@mlp_rank_mlp,dft@dft_vs_dft@mlp_rank_distance,dft@dft_vs_dft@mlp_line_colour,is_comparable_mlp@dft_mlp@mlp,mlp@dft_vs_mlp@mlp_rank_dft,mlp@dft_vs_mlp@mlp_rank_mlp,mlp@dft_vs_mlp@mlp_rank_distance,mlp@dft_vs_mlp@mlp_line_colour,is_broken
336_Ge192Sn144_011_011_a0.702564_b0.979487_c2.163935_interface5shift3,5,3,3,Ge,False,2.380952380952381,8,-35.08485951,-38.831661,-0.0275,0.0275,32,011,0,1,1,Sn,False,8,-29.90800429,-34.349418,-0.02397,0.02397,24,011,0,1,1,0.702564,0.979487,2.163935,0.671433747,0.0,1.338356733,336,1344,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
72_Ge48Si24_001_114_a0.43038_b0.691824_c1.495911_interface8shift4,8,4,4,Ge,False,11.11111111111111,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,4,114,1,1,4,0.43038,0.691824,1.495911,4.008624077,0.0,2.267128229,72,288,-316.72701938,-349.992612,-4.855441260625,-3.3199994334722223,-3.691111472222223,4,,6.125,-361.397387,,-5.264536625,-3.8495111250000003,,1,,2.0,3.0625,,"(0.3843137254901961, 0.2196078431372549, 0.7764705882352941)",True,False,True,True,116,145,29,"(0.2, 0.8, 0.0)",True,116,124,8,"(0.06274509803921569, 0.9333333333333333, 0.0)",False,,,,,False
180_Ge144Sn36_011_012_a0.492754_b0.117949_c1.986941_interface15shift8,15,8,8,Ge,False,4.444444444444445,8,-35.08485951,-38.831661,-0.0275,0.0275,24,011,0,1,1,Sn,False,8,-29.90800429,-34.349418,-0.04167,0.04167,6,012,0,1,2,0.492754,0.117949,1.986941,4.701496601,0.0,3.998506069,180,720,-733.85716736,-822.84786,-4.062053987500001,-3.7159127975555553,-4.16481545,4,,12.661111111111111,-841.087372,,-4.5738174375,-4.266146072222222,,1,,3.5027777777777778,3.6145915939730373,,"(0.45098039215686275, 0.08627450980392157, 0.9098039215686274)",True,False,True,True,32,38,6,"(0.1568627450980392, 0.8392156862745098, 0.0)",True,32,35,3,"(0.08235294117647059, 0.9137254901960784, 0.0)",False,,,,,False
96_Ge48Sn48_013_112_a0.133929_b0.286517_c1.385736_interface14shift3,14,3,3,Ge,False,8.333333333333332,8,-35.08485951,-38.831661,-0.04167,0.04167,8,013,0,1,3,Sn,False,8,-29.90800429,-34.349418,-0.04152,0.04152,8,112,1,1,2,0.133929,0.286517,1.385736,2.586106539,0.0,1.897323132,96,384,-284.86256561,-354.566174,-4.062053987500001,-2.2903093938541663,-2.931094739583333,4,,6.125,-430.307871,,-4.5738174375,-3.7200707499999996,,1,,2.7213541666666665,2.2507177033492822,,"(0.4117647058823529, 0.16470588235294117, 0.8313725490196079)",True,False,True,True,173,168,5,"(0.027450980392156862, 0.9686274509803922, 0.0)",True,173,159,14,"(0.0784313725490196, 0.9176470588235294, 0.0)",False,,,,,False
60_Ge36Si24_001_013_a0.0_b0.0_c0.0_interface13shift1,13,1,1,Ge,False,13.333333333333334,8,-35.08485951,-38.831661,-0.03888,0.03888,6,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,4,013,0,1,3,0.0,0.0,0.0,4.008624554,0.0,2.872276306,60,240,240.64807205,355.675498,-4.855441260625,5.305585537,7.331801400000001,4,,8.4,-301.535834,,-5.264536625,-3.6217208000000003,,1,,4.520833333333333,1.8580645161290326,,"(0.36470588235294116, 0.26666666666666666, 0.7333333333333333)",False,False,False,True,203,178,25,"(0.12156862745098039, 0.8745098039215686, 0.0)",True,203,215,12,"(0.054901960784313725, 0.9411764705882353, 0.0)",False,,,,,False
156_Ge48Si108_114_001_a0.163522_b0.142012_c1.585635_interface5shift1,5,1,1,Ge,False,5.128205128205128,8,-35.08485951,-38.831661,-0.04167,0.04167,8,114,1,1,4,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,18,001,0,0,1,0.163522,0.142012,1.585635,4.008629799,0.0,2.267122269,156,624,-717.71090093,-783.83893,-4.855441260625,-4.102716927948718,-4.484656051282051,4,,9.102564102564102,-826.239553,,-5.264536625,-4.756454916666666,,1,,3.796474358974359,2.3976361333896157,,"(0.44313725490196076, 0.10196078431372549, 0.8941176470588236)",True,False,True,True,17,19,2,"(0.10196078431372549, 0.8941176470588236, 0.0)",True,17,25,8,"(0.3176470588235294, 0.6784313725490196, 0.0)",False,,,,,False
168_Ge96Sn72_011_011_a0.169643_b0.579487_c2.065574_interface3shift3,3,3,3,Ge,False,4.761904761904762,8,-35.08485951,-38.831661,-0.0275,0.0275,16,011,0,1,1,Sn,False,8,-29.90800429,-34.349418,-0.02397,0.02397,12,011,0,1,1,0.169643,0.579487,2.065574,0.671433747,0.0,1.338356733,168,672,-670.55272086,-750.233478,-4.062053987500001,-3.604522958690476,-4.030073803571428,4,,9.041666666666666,-766.10571,,-4.5738174375,-4.124551375,,1,,2.505952380952381,3.6080760095011875,,"(0.4470588235294118, 0.09411764705882353, 0.9019607843137255)",True,False,True,True,98,115,17,"(0.1450980392156863, 0.8509803921568627, 0.0)",True,98,104,6,"(0.054901960784313725, 0.9411764705882353, 0.0)",False,,,,,False
228_Ge108Si120_001_001_a0.0_b0.0_c0.0_interface2shift1,2,1,1,Ge,False,3.508771929824561,8,-35.08485951,-38.831661,-0.03888,0.03888,18,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,20,001,0,0,1,0.0,0.0,0.0,1.183802485,0.0,2.38161087,228,912,1109.08502401,6387.418819,-4.855441260625,5.205140720087719,28.384435986842107,4,,25.99122807017544,-1175.284323,,-5.264536625,-4.785314635964913,,1,,7.794956140350878,3.3343648895765927,,"(0.4627450980392157, 0.06666666666666667, 0.9294117647058824)",False,False,False,True,202,18,184,"(0.9098039215686274, 0.08627450980392157, 0.0)",True,202,223,21,"(0.09411764705882353, 0.9019607843137255, 0.0)",False,,,,,False
120_Ge48Si72_001_011_a0.898734_b0.138365_c2.1_interface7shift5swap5,7,5,5,Ge,False,6.666666666666667,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,0.898734,0.138365,2.1,4.008624077,0.0,2.267128229,120,480,,,,,,4,,,,,,,,1,,,,,,True,True,False,False,,,,,False,,,,,False,,,,,
336_Ge192Sn144_011_011_a0.087179_b0.410256_c2.065574_interface2shift1,2,1,1,Ge,False,2.380952380952381,8,-35.08485951,-38.831661,-0.0275,0.0275,32,011,0,1,1,Sn,False,8,-29.90800429,-34.349418,-0.02397,0.02397,24,011,0,1,1,0.087179,0.410256,2.065574,0.671433747,0.0,1.338356733,336,1344,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
