name,interface_number,shift_number,swap_number,material_lower,material_lower_primitive_cell,material_lower_percent,material_lower_bulk_n,material_lower_bulk_E_dft,material_lower_bulk_E_mlp,material_lower_termination_min_layer_loc,material_lower_termination_max_layer_loc,material_lower_termination_n_atoms,material_lower_miller_hkl,material_lower_miller_h,material_lower_miller_k,material_lower_miller_l,material_upper,material_upper_primitive_cell,material_upper_bulk_n,material_upper_bulk_E_dft,material_upper_bulk_E_mlp,material_upper_termination_min_layer_loc,material_upper_termination_max_layer_loc,material_upper_termination_n_atoms,material_upper_miller_hkl,material_upper_miller_h,material_upper_miller_k,material_upper_miller_l,material_shift_a,material_shift_b,material_shift_c,material_vector_mismatch_%,material_angle_mismatch_°,material_area_mismatch_%,interface_atoms_n,interface_electron_n,interface_E_dft@dft,interface_E_dft@mlp,interface_E_bulk_form_dft,interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,interface_compute_nodes_dft,interface_compute_time_seconds,interface_compute_time_per_electron_dft,interface_E_mlp@mlp,interface_E_mlp@dft,interface_E_bulk_form_mlp,interface_E_form_delta_mlp@mlp,interface_E_form_delta_mlp@dft,interface_compute_nodes_mlp,interface_compute_time_seconds_mlp,interface_compute_time_per_electron_mlp,mlp_n_times_faster,dft_mlp_rank_distance,fill_colour,is_shift,is_swap,is_valid,is_comparable_dft@dft_mlp@mlp,dft@dft_vs_mlp@mlp_rank_dft,dft@dft_vs_mlp@mlp_rank_mlp,dft@dft_vs_mlp@mlp_rank_distance,dft@dft_vs_mlp@mlp_line_colour,is_comparable_dft@dft_dft@mlp,dft@dft_vs_dft@mlp_rank_dft,dft@dft_vs_dft@mlp_rank_mlp,dft@dft_vs_dft@mlp_rank_distance,dft@dft_vs_dft@mlp_line_colour,is_comparable_mlp@dft_mlp@mlp,mlp@dft_vs_mlp@mlp_rank_dft,mlp@dft_vs_mlp@mlp_rank_mlp,mlp@dft_vs_mlp@mlp_rank_distance,mlp@dft_vs_mlp@mlp_line_colour,is_broken
96_Ge96_112_112_a0.428571_b0.301587_c1.192483_interface2shift2swap1,2,2,2,Ge,False,8.333333333333332,8,-35.08485951,-38.831661,0.125,0.20833,8,112,1,1,2,Ge,False,8,-35.08485951,-38.831661,0.125,0.20833,8,112,1,1,2,0.428571,0.301587,1.192483,0.0,0.0,0.0,96,384,-1191.97764564,,-4.38560743875,-11.685499235624997,,4,,7.09375,-119.176548,,-4.853957625,-0.4324294375,,1,,5.205729166666667,1.362681340670335,,"(0.4117647058823529, 0.16470588235294117, 0.8313725490196079)",True,True,True,True,,,,,False,,,,,False,,,,,True
96_Ge96_133_133_a0.0_b0.0_c0.0_interface1shift1,1,1,1,Ge,False,8.333333333333332,8,-35.08485951,-38.831661,0.13542,0.23958,8,133,1,3,3,Ge,False,8,-35.08485951,-38.831661,0.13542,0.23958,8,133,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,96,384,1203.72342016,602.474725,-4.38560743875,13.269720199791669,7.084771322916666,4,,12.135416666666666,-455.322419,,-4.853957625,-3.9339489270833337,,1,,1.9739583333333333,6.147757255936676,,"(0.4117647058823529, 0.16470588235294117, 0.8313725490196079)",False,False,False,True,63,14,49,"(0.7764705882352941, 0.2196078431372549, 0.0)",True,63,63,0,"(0.0, 1.0, 0.0)",False,,,,,False
96_Ge96_133_133_a0.162921_b0.258427_c0.099972_interface1shift8swap1,1,8,8,Ge,False,8.333333333333332,8,-35.08485951,-38.831661,0.13542,0.23958,8,133,1,3,3,Ge,False,8,-35.08485951,-38.831661,0.13542,0.23958,8,133,1,3,3,0.162921,0.258427,0.099972,0.0,0.0,0.0,96,384,-351.64349697,,-4.38560743875,-2.9320185203125,,4,,23.322916666666668,-119.176548,,-4.853957625,-0.4324294375,,1,,7.515625,3.1032571032571035,,"(0.4117647058823529, 0.16470588235294117, 0.8313725490196079)",True,True,True,True,,,,,False,,,,,False,,,,,True
96_Ge96_133_133_a0.168539_b0.264045_c0.099972_interface1shift3swap4,1,3,3,Ge,False,8.333333333333332,8,-35.08485951,-38.831661,0.13542,0.23958,8,133,1,3,3,Ge,False,8,-35.08485951,-38.831661,0.13542,0.23958,8,133,1,3,3,0.168539,0.264045,0.099972,0.0,0.0,0.0,96,384,,,,,,4,,,-119.176548,,-4.853957625,-0.4324294375,,1,,6.135416666666667,,,,True,True,False,False,,,,,False,,,,,False,,,,,True
48_Ge48_001_122_a0.293651_b0.206349_c0.991853_interface6shift6,6,6,6,Ge,False,16.666666666666664,8,-35.08485951,-38.831661,-0.03888,0.03888,6,001,0,0,1,Ge,False,8,-35.08485951,-38.831661,-0.04167,0.04167,2,122,1,2,2,0.293651,0.206349,0.991853,0.0,0.0,0.0,48,192,-179.88135269,-209.775438,-4.38560743875,-2.2856590347916668,-2.7523357500000003,4,,9.3125,-229.102952,,-4.853957625,-3.1549922916666664,,1,,2.0520833333333335,4.538071065989848,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",True,False,True,True,41,28,13,"(0.3137254901960784, 0.6823529411764706, 0.0)",True,41,42,1,"(0.023529411764705882, 0.9725490196078431, 0.0)",False,,,,,False
48_Ge48_001_122_a0.177215_b0.746032_c1.091038_interface4shift5,4,5,5,Ge,False,16.666666666666664,8,-35.08485951,-38.831661,-0.03888,0.03888,6,001,0,0,1,Ge,False,8,-35.08485951,-38.831661,-0.04167,0.04167,2,122,1,2,2,0.177215,0.746032,1.091038,0.0,0.0,0.0,48,192,-183.08944021,-212.02387,-4.38560743875,-2.3524941914583333,-2.799178083333333,4,,7.9375,-228.856143,,-4.853957625,-3.1498504375,,1,,1.9583333333333333,4.053191489361702,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",True,False,True,True,35,41,6,"(0.1450980392156863, 0.8509803921568627, 0.0)",True,35,39,4,"(0.10196078431372549, 0.8941176470588236, 0.0)",False,,,,,False
96_Ge96_112_112_a0.420635_b0.301587_c1.192483_interface2shift8,2,8,8,Ge,False,8.333333333333332,8,-35.08485951,-38.831661,0.125,0.20833,8,112,1,1,2,Ge,False,8,-35.08485951,-38.831661,0.125,0.20833,8,112,1,1,2,0.420635,0.301587,1.192483,0.0,0.0,0.0,96,384,-382.98642675,-439.186046,-4.38560743875,-3.2585073721875,-3.765861708333333,4,,5.197916666666667,-456.006911,,-4.853957625,-3.9410790520833334,,1,,1.7734375,2.930983847283407,,"(0.4117647058823529, 0.16470588235294117, 0.8313725490196079)",True,False,True,True,6,8,2,"(0.24705882352941178, 0.7490196078431373, 0.0)",True,6,6,0,"(0.0, 1.0, 0.0)",False,,,,,False
96_Ge96_133_133_a0.162921_b0.258427_c0.099972_interface1shift6swap3,1,6,6,Ge,False,8.333333333333332,8,-35.08485951,-38.831661,0.13542,0.23958,8,133,1,3,3,Ge,False,8,-35.08485951,-38.831661,0.13542,0.23958,8,133,1,3,3,0.162921,0.258427,0.099972,0.0,0.0,0.0,96,384,-553.31542688,,-4.38560743875,-5.032767790208333,,4,,28.833333333333332,-119.176548,,-4.853957625,-0.4324294375,,1,,6.013020833333333,4.795149415331312,,"(0.4117647058823529, 0.16470588235294117, 0.8313725490196079)",True,True,True,True,,,,,False,,,,,False,,,,,True
48_Ge48_001_122_a0.012658_b0.079365_c1.091038_interface3shift1,3,1,1,Ge,False,16.666666666666664,8,-35.08485951,-38.831661,-0.03888,0.03888,6,001,0,0,1,Ge,False,8,-35.08485951,-38.831661,-0.04167,0.04167,2,122,1,2,2,0.012658,0.079365,1.091038,0.0,0.0,0.0,48,192,-194.88374887,-220.681537,-4.38560743875,-2.5982089552083334,-2.9795461458333334,4,,5.1875,-232.806187,,-4.853957625,-3.2321430208333335,,1,,1.8385416666666667,2.821529745042493,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",True,False,True,True,17,18,1,"(0.054901960784313725, 0.9411764705882353, 0.0)",True,17,17,0,"(0.0, 1.0, 0.0)",False,,,,,False
48_Ge48_001_122_a0.164557_b0.746032_c1.091038_interface4shift3,4,3,3,Ge,False,16.666666666666664,8,-35.08485951,-38.831661,-0.03888,0.03888,6,001,0,0,1,Ge,False,8,-35.08485951,-38.831661,-0.04167,0.04167,2,122,1,2,2,0.164557,0.746032,1.091038,0.0,0.0,0.0,48,192,-182.98618044,-212.086089,-4.38560743875,-2.35034294625,-2.8004743125,4,,5.0625,-229.056874,,-4.853957625,-3.1540323333333333,,1,,3.875,1.3064516129032258,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",True,False,True,True,36,30,6,"(0.16470588235294117, 0.8313725490196079, 0.0)",True,36,38,2,"(0.050980392156862744, 0.9450980392156862, 0.0)",False,,,,,False
