name,interface_number,shift_number,swap_number,material_lower,material_lower_primitive_cell,material_lower_percent,material_lower_bulk_n,material_lower_bulk_E_dft,material_lower_bulk_E_mlp,material_lower_termination_min_layer_loc,material_lower_termination_max_layer_loc,material_lower_termination_n_atoms,material_lower_miller_hkl,material_lower_miller_h,material_lower_miller_k,material_lower_miller_l,material_upper,material_upper_primitive_cell,material_upper_bulk_n,material_upper_bulk_E_dft,material_upper_bulk_E_mlp,material_upper_termination_min_layer_loc,material_upper_termination_max_layer_loc,material_upper_termination_n_atoms,material_upper_miller_hkl,material_upper_miller_h,material_upper_miller_k,material_upper_miller_l,material_shift_a,material_shift_b,material_shift_c,material_vector_mismatch_%,material_angle_mismatch_°,material_area_mismatch_%,interface_atoms_n,interface_electron_n,interface_E_dft@dft,interface_E_dft@mlp,interface_E_bulk_form_dft,interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,interface_compute_nodes_dft,interface_compute_time_seconds,interface_compute_time_per_electron_dft,interface_E_mlp@mlp,interface_E_mlp@dft,interface_E_bulk_form_mlp,interface_E_form_delta_mlp@mlp,interface_E_form_delta_mlp@dft,interface_compute_nodes_mlp,interface_compute_time_seconds_mlp,interface_compute_time_per_electron_mlp,mlp_n_times_faster,dft_mlp_rank_distance,fill_colour,is_shift,is_swap,is_valid,is_comparable_dft@dft_mlp@mlp,dft@dft_vs_mlp@mlp_rank_dft,dft@dft_vs_mlp@mlp_rank_mlp,dft@dft_vs_mlp@mlp_rank_distance,dft@dft_vs_mlp@mlp_line_colour,is_comparable_dft@dft_dft@mlp,dft@dft_vs_dft@mlp_rank_dft,dft@dft_vs_dft@mlp_rank_mlp,dft@dft_vs_dft@mlp_rank_distance,dft@dft_vs_dft@mlp_line_colour,is_comparable_mlp@dft_mlp@mlp,mlp@dft_vs_mlp@mlp_rank_dft,mlp@dft_vs_mlp@mlp_rank_mlp,mlp@dft_vs_mlp@mlp_rank_distance,mlp@dft_vs_mlp@mlp_line_colour,is_broken
72_Ge48Si24_001_114_a0.43038_b0.691824_c1.495911_interface8shift4,8,4,4,Ge,False,11.11111111111111,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,4,114,1,1,4,0.43038,0.691824,1.495911,4.008624077,0.0,2.267128229,72,288,-316.72701938,-349.992612,-4.855441260625,-3.3199994334722223,-3.691111472222223,4,,6.125,-361.397387,,-5.264536625,-3.8495111250000003,,1,,2.0,3.0625,,"(0.3843137254901961, 0.2196078431372549, 0.7764705882352941)",True,False,True,True,36,43,7,"(0.1607843137254902, 0.8352941176470589, 0.0)",True,36,36,0,"(0.0, 1.0, 0.0)",False,,,,,False
60_Ge36Si24_001_013_a0.0_b0.0_c0.0_interface13shift1,13,1,1,Ge,False,13.333333333333334,8,-35.08485951,-38.831661,-0.03888,0.03888,6,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,4,013,0,1,3,0.0,0.0,0.0,4.008624554,0.0,2.872276306,60,240,240.64807205,355.675498,-4.855441260625,5.305585537,7.331801400000001,4,,8.4,-301.535834,,-5.264536625,-3.6217208000000003,,1,,4.520833333333333,1.8580645161290326,,"(0.36470588235294116, 0.26666666666666666, 0.7333333333333333)",False,False,False,True,51,58,7,"(0.11764705882352941, 0.8784313725490196, 0.0)",True,51,49,2,"(0.0392156862745098, 0.9607843137254902, 0.0)",False,,,,,False
156_Ge48Si108_114_001_a0.163522_b0.142012_c1.585635_interface5shift1,5,1,1,Ge,False,5.128205128205128,8,-35.08485951,-38.831661,-0.04167,0.04167,8,114,1,1,4,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,18,001,0,0,1,0.163522,0.142012,1.585635,4.008629799,0.0,2.267122269,156,624,-717.71090093,-783.83893,-4.855441260625,-4.102716927948718,-4.484656051282051,4,,9.102564102564102,-826.239553,,-5.264536625,-4.756454916666666,,1,,3.796474358974359,2.3976361333896157,,"(0.44313725490196076, 0.10196078431372549, 0.8941176470588236)",True,False,True,True,17,19,2,"(0.10196078431372549, 0.8941176470588236, 0.0)",True,17,25,8,"(0.3176470588235294, 0.6784313725490196, 0.0)",False,,,,,False
228_Ge108Si120_001_001_a0.0_b0.0_c0.0_interface2shift1,2,1,1,Ge,False,3.508771929824561,8,-35.08485951,-38.831661,-0.03888,0.03888,18,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,20,001,0,0,1,0.0,0.0,0.0,1.183802485,0.0,2.38161087,228,912,1109.08502401,6387.418819,-4.855441260625,5.205140720087719,28.384435986842107,4,,25.99122807017544,-1175.284323,,-5.264536625,-4.785314635964913,,1,,7.794956140350878,3.3343648895765927,,"(0.4627450980392157, 0.06666666666666667, 0.9294117647058824)",False,False,False,True,50,18,32,"(0.6392156862745098, 0.3568627450980392, 0.0)",True,50,53,3,"(0.054901960784313725, 0.9411764705882353, 0.0)",False,,,,,False
120_Ge48Si72_001_011_a0.898734_b0.138365_c2.1_interface7shift5swap5,7,5,5,Ge,False,6.666666666666667,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,0.898734,0.138365,2.1,4.008624077,0.0,2.267128229,120,480,,,,,,4,,,,,,,,1,,,,,,True,True,False,False,,,,,False,,,,,False,,,,,
228_Ge108Si120_001_001_a0.911243_b0.088757_c2.0_interface1shift5,1,5,5,Ge,False,3.508771929824561,8,-35.08485951,-38.831661,-0.03888,0.03888,18,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,20,001,0,0,1,0.911243,0.088757,2.0,1.183802485,0.0,2.38161087,228,912,-1063.58201302,-1155.702443,-4.855441260625,-4.324100670394737,-4.6994291973684215,4,,14.469298245614034,-1185.191801,,-5.264536625,-4.8287684868421055,,1,,2.0076754385964914,7.206990715456033,,"(0.4627450980392157, 0.06666666666666667, 0.9294117647058824)",True,False,True,True,3,14,11,"(0.7843137254901961, 0.21176470588235294, 0.0)",True,3,2,1,"(0.3333333333333333, 0.6666666666666666, 0.0)",False,,,,,False
72_Ge48Si24_001_114_a0.329114_b0.062893_c1.495911_interface6shift1,6,1,1,Ge,False,11.11111111111111,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,4,114,1,1,4,0.329114,0.062893,1.495911,4.008624077,0.0,2.267128229,72,288,-307.67808006,-341.381842,-4.855441260625,-3.1943197206944447,-3.571517444444445,4,,6.180555555555555,-360.60942,,-5.264536625,-3.838567138888889,,1,,2.795138888888889,2.2111801242236027,,"(0.3843137254901961, 0.2196078431372549, 0.7764705882352941)",True,False,True,True,46,51,5,"(0.09803921568627451, 0.9019607843137255, 0.0)",True,46,46,0,"(0.0, 1.0, 0.0)",False,,,,,False
120_Ge48Si72_001_011_a0.898734_b0.138365_c2.1_interface7shift7swap1,7,7,7,Ge,False,6.666666666666667,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,0.898734,0.138365,2.1,4.008624077,0.0,2.267128229,120,480,,,,,,4,,,,,,,,1,,,,,,True,True,False,False,,,,,False,,,,,False,,,,,
120_Ge48Si72_001_011_a0.898734_b0.138365_c2.1_interface7shift6swap7,7,6,6,Ge,False,6.666666666666667,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,0.898734,0.138365,2.1,4.008624077,0.0,2.267128229,120,480,,,,,,4,,,,,,,,1,,,,,,True,True,False,False,,,,,False,,,,,False,,,,,
228_Ge108Si120_001_001_a0.242604_b0.08284_c2.0_interface1shift3,1,3,3,Ge,False,3.508771929824561,8,-35.08485951,-38.831661,-0.03888,0.03888,18,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,20,001,0,0,1,0.242604,0.08284,2.0,1.183802485,0.0,2.38161087,228,912,-1063.54265134,-1155.660682,-4.855441260625,-4.323928031447369,-4.69924603508772,4,,14.25,-1190.194158,,-5.264536625,-4.850708649122808,,1,,4.712719298245614,3.023731968357376,,"(0.4627450980392157, 0.06666666666666667, 0.9294117647058824)",True,False,True,True,8,1,7,"(0.8745098039215686, 0.12156862745098039, 0.0)",True,8,9,1,"(0.10980392156862745, 0.8862745098039215, 0.0)",False,,,,,False
