name,interface_number,shift_number,swap_number,material_lower,material_lower_primitive_cell,material_lower_percent,material_lower_bulk_n,material_lower_bulk_E_dft,material_lower_bulk_E_mlp,material_lower_termination_min_layer_loc,material_lower_termination_max_layer_loc,material_lower_termination_n_atoms,material_lower_miller_hkl,material_lower_miller_h,material_lower_miller_k,material_lower_miller_l,material_upper,material_upper_primitive_cell,material_upper_bulk_n,material_upper_bulk_E_dft,material_upper_bulk_E_mlp,material_upper_termination_min_layer_loc,material_upper_termination_max_layer_loc,material_upper_termination_n_atoms,material_upper_miller_hkl,material_upper_miller_h,material_upper_miller_k,material_upper_miller_l,material_shift_a,material_shift_b,material_shift_c,material_vector_mismatch_%,material_angle_mismatch_°,material_area_mismatch_%,interface_atoms_n,interface_electron_n,interface_E_dft@dft,interface_E_dft@mlp,interface_E_bulk_form_dft,interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,interface_compute_nodes_dft,interface_compute_time_seconds,interface_compute_time_per_electron_dft,interface_E_mlp@mlp,interface_E_mlp@dft,interface_E_bulk_form_mlp,interface_E_form_delta_mlp@mlp,interface_E_form_delta_mlp@dft,interface_compute_nodes_mlp,interface_compute_time_seconds_mlp,interface_compute_time_per_electron_mlp,mlp_n_times_faster,dft_mlp_rank_distance,fill_colour,is_shift,is_swap,is_valid,is_comparable_dft@dft_mlp@mlp,dft@dft_vs_mlp@mlp_rank_dft,dft@dft_vs_mlp@mlp_rank_mlp,dft@dft_vs_mlp@mlp_rank_distance,dft@dft_vs_mlp@mlp_line_colour,is_comparable_dft@dft_dft@mlp,dft@dft_vs_dft@mlp_rank_dft,dft@dft_vs_dft@mlp_rank_mlp,dft@dft_vs_dft@mlp_rank_distance,dft@dft_vs_dft@mlp_line_colour,is_comparable_mlp@dft_mlp@mlp,mlp@dft_vs_mlp@mlp_rank_dft,mlp@dft_vs_mlp@mlp_rank_mlp,mlp@dft_vs_mlp@mlp_rank_distance,mlp@dft_vs_mlp@mlp_line_colour,is_broken
120_Si72Ge48_013_114_a0.308642_b0.076023_c1.486532_interface2shift3,2,3,3,Si,False,6.666666666666667,8,-42.60220066,-45.400925,0.125,0.20833,12,013,0,1,3,Ge,False,8,-35.08485951,-38.831661,-0.04167,0.04167,8,114,1,1,4,0.308642,0.076023,1.486532,1.781901121,0.0,2.930992842,120,480,-519.82901922,-578.613518,-4.855441260625,-3.6845163254166664,-4.1198410999999995,4,,7.525,-617.058968,,-5.264536625,-4.44021985,,1,,4.610416666666667,1.6321735201084502,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,111,124,13,"(0.10196078431372549, 0.8941176470588236, 0.0)",True,111,111,0,"(0.0, 1.0, 0.0)",False,,,,,False
156_Si72Ge84_112_001_a0.0_b0.0_c0.0_interface16shift1,16,1,1,Si,False,5.128205128205128,8,-42.60220066,-45.400925,-0.04167,0.04167,12,112,1,1,2,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,14,001,0,0,1,0.0,0.0,0.0,4.176025867,0.380735219,3.380048275,156,624,257.43281699,-26.468339,-4.855441260625,2.148204340769231,,4,,10.26923076923077,,,,,,1,,,,,,False,False,False,False,,,,,False,,,,,False,,,,,
120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift4swap4,6,4,4,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,0.368421,0.222222,2.163935,4.176024914,0.0,2.319717407,120,480,-575.08440535,-622.892851,-4.855441260625,-4.1449778765,-4.488835541666666,4,,5.525,-631.759595,,-5.264536625,-4.5627250749999995,,1,,1.4666666666666666,3.767045454545455,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,True,True,True,57,104,47,"(0.45098039215686275, 0.5450980392156862, 0.0)",True,57,58,1,"(0.01568627450980392, 0.9803921568627451, 0.0)",False,,,,,False
120_Si72Ge48_013_114_a0.135802_b0.520468_c1.38743_interface3shift6,3,6,6,Si,False,6.666666666666667,8,-42.60220066,-45.400925,0.125,0.20833,12,013,0,1,3,Ge,False,8,-35.08485951,-38.831661,-0.04167,0.04167,8,114,1,1,4,0.135802,0.520468,1.38743,1.781901121,0.0,2.930992842,120,480,-539.47933197,-595.779167,-4.855441260625,-3.8482689316666665,-4.262888175,4,,6.583333333333333,-619.171428,,-5.264536625,-4.457823683333333,,1,,6.575,1.0012674271229403,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,98,119,21,"(0.17647058823529413, 0.8235294117647058, 0.0)",True,98,98,0,"(0.0, 1.0, 0.0)",False,,,,,False
84_Si36Ge48_001_011_a0.471698_b0.092593_c1.967213_interface7shift8,7,8,8,Si,False,9.523809523809524,8,-42.60220066,-45.400925,-0.04051,0.04051,6,001,0,0,1,Ge,False,8,-35.08485951,-38.831661,-0.0275,0.0275,8,011,0,1,1,0.471698,0.092593,1.967213,4.176025867,0.0,2.319717407,84,336,-386.32231361,-422.936697,-4.855441260625,-3.6742292076190473,-4.032191797619047,4,,8.547619047619047,-431.918117,,-5.264536625,-4.139113464285715,,1,,1.630952380952381,5.240875912408759,,"(0.4, 0.18823529411764706, 0.807843137254902)",True,False,True,True,120,137,17,"(0.12156862745098039, 0.8745098039215686, 0.0)",True,120,114,6,"(0.047058823529411764, 0.9490196078431372, 0.0)",False,,,,,False
120_Si72Ge48_013_114_a0.302469_b0.076023_c1.486532_interface3shift1,3,1,1,Si,False,6.666666666666667,8,-42.60220066,-45.400925,0.125,0.20833,12,013,0,1,3,Ge,False,8,-35.08485951,-38.831661,-0.04167,0.04167,8,114,1,1,4,0.302469,0.076023,1.486532,1.781901121,0.0,2.930992842,120,480,-519.83156685,-578.622773,-4.855441260625,-3.684537555666666,-4.119918225,4,,7.458333333333333,-616.11855,,-5.264536625,-4.432383033333334,,1,,3.247916666666667,2.2963438101347013,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,106,130,24,"(0.1843137254901961, 0.8117647058823529, 0.0)",True,106,106,0,"(0.0, 1.0, 0.0)",False,,,,,False
120_Si72Ge48_013_114_a0.049383_b0.076023_c1.486532_interface3shift4,3,4,4,Si,False,6.666666666666667,8,-42.60220066,-45.400925,0.125,0.20833,12,013,0,1,3,Ge,False,8,-35.08485951,-38.831661,-0.04167,0.04167,8,114,1,1,4,0.049383,0.076023,1.486532,1.781901121,0.0,2.930992842,120,480,-519.83486571,-578.622972,-4.855441260625,-3.684565046166667,-4.119919883333333,4,,7.491666666666666,-616.131629,,-5.264536625,-4.432492024999999,,1,,3.65625,2.0490028490028487,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,104,129,25,"(0.19215686274509805, 0.803921568627451, 0.0)",True,104,104,0,"(0.0, 1.0, 0.0)",False,,,,,False
156_Si108Ge48_001_114_a0.0_b0.0_c0.0_interface9shift1,9,1,1,Si,False,5.128205128205128,8,-42.60220066,-45.400925,-0.04051,0.04051,18,001,0,0,1,Ge,False,8,-35.08485951,-38.831661,-0.04167,0.04167,8,114,1,1,4,0.0,0.0,0.0,4.17603159,0.0,2.319717407,156,624,4081.85103138,68951.603355,-4.855441260625,26.663705715064104,442.5374098782051,4,,12.679487179487179,-822.427707,,-5.264536625,-4.732020006410257,,1,,7.5881410256410255,1.6709609292502638,,"(0.44313725490196076, 0.10196078431372549, 0.8941176470588236)",False,False,False,True,139,20,119,"(0.8549019607843137, 0.1411764705882353, 0.0)",True,139,139,0,"(0.0, 1.0, 0.0)",False,,,,,False
204_Si108Ge96_001_001_a0.0_b0.0_c0.0_interface12shift1,12,1,1,Si,False,3.9215686274509802,8,-42.60220066,-45.400925,-0.04051,0.04051,18,001,0,0,1,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,16,001,0,0,1,0.0,0.0,0.0,1.781901121,0.0,3.53205204,204,816,6058.04221643,130570.361978,-4.855441260625,30.07710429705882,640.4636988431372,4,,25.220588235294116,-1050.831957,,-5.264536625,-4.738232210784314,,1,,6.3504901960784315,3.9714395986105746,,"(0.4588235294117647, 0.0784313725490196, 0.9215686274509803)",False,False,False,True,141,18,123,"(0.8705882352941177, 0.12549019607843137, 0.0)",True,141,140,1,"(0.00392156862745098, 0.9921568627450981, 0.0)",False,,,,,False
120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift8,6,8,8,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,0.368421,0.222222,2.163935,4.176024914,0.0,2.319717407,120,480,-578.44370339,-624.369925,-4.855441260625,-4.1729720268333335,-4.501144491666666,4,,9.775,-634.886533,,-5.264536625,-4.588782891666667,,1,,1.5208333333333333,6.427397260273973,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,11,35,24,"(0.6823529411764706, 0.3137254901960784, 0.0)",True,11,29,18,"(0.6196078431372549, 0.3764705882352941, 0.0)",False,,,,,False
84_Si36Ge48_001_011_a0.471698_b0.17284_c1.967213_interface7shift6,7,6,6,Si,False,9.523809523809524,8,-42.60220066,-45.400925,-0.04051,0.04051,6,001,0,0,1,Ge,False,8,-35.08485951,-38.831661,-0.0275,0.0275,8,011,0,1,1,0.471698,0.17284,1.967213,4.176025867,0.0,2.319717407,84,336,-386.33176837,-422.9342,-4.855441260625,-3.674341764285715,-4.032162071428571,4,,10.011904761904763,-431.91881,,-5.264536625,-4.139121714285714,,1,,1.6428571428571428,6.0942028985507255,,"(0.4, 0.18823529411764706, 0.807843137254902)",True,False,True,True,117,132,15,"(0.10980392156862745, 0.8862745098039215, 0.0)",True,117,118,1,"(0.00784313725490196, 0.9882352941176471, 0.0)",False,,,,,False
120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift8swap3,6,8,8,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,0.368421,0.222222,2.163935,4.176024914,0.0,2.319717407,120,480,-575.29497907,-623.211844,-4.855441260625,-4.146732657499999,-4.491493816666667,4,,10.558333333333334,-634.660505,,-5.264536625,-4.586899325,,1,,1.79375,5.886178861788618,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,True,True,True,41,41,0,"(0.0, 1.0, 0.0)",True,41,43,2,"(0.043137254901960784, 0.9529411764705882, 0.0)",False,,,,,False
120_Si72Ge48_011_001_a0.0_b0.0_c0.0_interface6shift1swap3,6,1,1,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,0.0,0.0,0.0,4.176024914,0.0,2.319717407,120,480,3810.91224616,188200.478116,-4.855441260625,32.40499421941667,1569.03925585,4,,21.541666666666668,-625.190888,,-5.264536625,-4.50798585,,1,,4.145833333333333,5.195979899497488,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",False,True,False,True,144,106,38,"(0.2627450980392157, 0.7333333333333333, 0.0)",True,144,144,0,"(0.0, 1.0, 0.0)",False,,,,,False
120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift3swap1,6,3,3,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,0.368421,0.222222,2.163935,4.176024914,0.0,2.319717407,120,480,-574.75095639,-622.554977,-4.855441260625,-4.142199135166667,-4.486019924999999,4,,6.791666666666667,-633.894476,,-5.264536625,-4.580515750000001,,1,,1.9729166666666667,3.4424498416050686,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,True,True,True,72,81,9,"(0.10980392156862745, 0.8862745098039215, 0.0)",True,72,84,12,"(0.1411764705882353, 0.8549019607843137, 0.0)",False,,,,,False
120_Si72Ge48_011_001_a0.0_b0.0_c0.0_interface6shift1swap6,6,1,1,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,0.0,0.0,0.0,4.176024914,0.0,2.319717407,120,480,3845.92071386,188439.146943,-4.855441260625,32.69673145025,1571.0281627416666,4,,17.608333333333334,-624.620604,,-5.264536625,-4.503233483333332,,1,,7.158333333333333,2.459837019790454,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",False,True,False,True,149,114,35,"(0.23137254901960785, 0.7647058823529411, 0.0)",True,149,145,4,"(0.023529411764705882, 0.9725490196078431, 0.0)",False,,,,,False
156_Si108Ge48_001_114_a0.0_b0.080247_c1.882941_interface8shift4,8,4,4,Si,False,5.128205128205128,8,-42.60220066,-45.400925,-0.04051,0.04051,18,001,0,0,1,Ge,False,8,-35.08485951,-38.831661,-0.04167,0.04167,8,114,1,1,4,0.0,0.080247,1.882941,4.17603159,0.0,2.319717407,156,624,-727.43463779,-792.238755,-4.855441260625,-4.165048574487179,-4.538501083333333,4,,8.352564102564102,-822.826773,,-5.264536625,-4.734578121794871,,1,,4.152243589743589,2.011578541103821,,"(0.44313725490196076, 0.10196078431372549, 0.8941176470588236)",True,False,True,True,21,19,2,"(0.09411764705882353, 0.9019607843137255, 0.0)",True,21,13,8,"(0.3803921568627451, 0.615686274509804, 0.0)",False,,,,,False
120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift8swap2,6,8,8,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,0.368421,0.222222,2.163935,4.176024914,0.0,2.319717407,120,480,-575.47665785,-622.902544,-4.855441260625,-4.148246647333334,-4.488916316666666,4,,10.133333333333333,-634.66056,,-5.264536625,-4.586899783333333,,1,,1.6145833333333333,6.276129032258065,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,True,True,True,39,40,1,"(0.023529411764705882, 0.9725490196078431, 0.0)",True,39,57,18,"(0.3137254901960784, 0.6823529411764706, 0.0)",False,,,,,False
120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift3swap5,6,3,3,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,0.368421,0.222222,2.163935,4.176024914,0.0,2.319717407,120,480,-575.20636809,-622.787415,-4.855441260625,-4.145994232666666,-4.487956908333333,4,,5.408333333333333,-634.132798,,-5.264536625,-4.582501766666667,,1,,2.18125,2.4794651384909265,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,True,True,True,45,68,23,"(0.33725490196078434, 0.6588235294117647, 0.0)",True,45,69,24,"(0.34509803921568627, 0.6509803921568628, 0.0)",False,,,,,False
120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift6swap1,6,6,6,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,0.368421,0.222222,2.163935,4.176024914,0.0,2.319717407,120,480,-574.68402629,-622.532175,-4.855441260625,-4.141641384333334,-4.485829908333333,4,,5.458333333333333,-633.905948,,-5.264536625,-4.58061135,,1,,1.9791666666666667,2.757894736842105,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,True,True,True,76,79,3,"(0.03529411764705882, 0.9607843137254902, 0.0)",True,76,87,11,"(0.12549019607843137, 0.8705882352941177, 0.0)",False,,,,,False
