name,interface_number,shift_number,swap_number,material_lower,material_lower_primitive_cell,material_lower_percent,material_lower_bulk_n,material_lower_bulk_E_dft,material_lower_bulk_E_mlp,material_lower_termination_min_layer_loc,material_lower_termination_max_layer_loc,material_lower_termination_n_atoms,material_lower_miller_hkl,material_lower_miller_h,material_lower_miller_k,material_lower_miller_l,material_upper,material_upper_primitive_cell,material_upper_bulk_n,material_upper_bulk_E_dft,material_upper_bulk_E_mlp,material_upper_termination_min_layer_loc,material_upper_termination_max_layer_loc,material_upper_termination_n_atoms,material_upper_miller_hkl,material_upper_miller_h,material_upper_miller_k,material_upper_miller_l,material_shift_a,material_shift_b,material_shift_c,material_vector_mismatch_%,material_angle_mismatch_°,material_area_mismatch_%,interface_atoms_n,interface_electron_n,interface_E_dft@dft,interface_E_dft@mlp,interface_E_bulk_form_dft,interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,interface_compute_nodes_dft,interface_compute_time_seconds,interface_compute_time_per_electron_dft,interface_E_mlp@mlp,interface_E_mlp@dft,interface_E_bulk_form_mlp,interface_E_form_delta_mlp@mlp,interface_E_form_delta_mlp@dft,interface_compute_nodes_mlp,interface_compute_time_seconds_mlp,interface_compute_time_per_electron_mlp,mlp_n_times_faster,dft_mlp_rank_distance,fill_colour,is_shift,is_swap,is_valid,is_comparable_dft@dft_mlp@mlp,dft@dft_vs_mlp@mlp_rank_dft,dft@dft_vs_mlp@mlp_rank_mlp,dft@dft_vs_mlp@mlp_rank_distance,dft@dft_vs_mlp@mlp_line_colour,is_comparable_dft@dft_dft@mlp,dft@dft_vs_dft@mlp_rank_dft,dft@dft_vs_dft@mlp_rank_mlp,dft@dft_vs_dft@mlp_rank_distance,dft@dft_vs_dft@mlp_line_colour,is_comparable_mlp@dft_mlp@mlp,mlp@dft_vs_mlp@mlp_rank_dft,mlp@dft_vs_mlp@mlp_rank_mlp,mlp@dft_vs_mlp@mlp_rank_distance,mlp@dft_vs_mlp@mlp_line_colour,is_broken
24_Si24_001_001_a0.0_b0.0_c0.0_interface7shift1,7,1,1,Si,False,33.33333333333333,8,-42.60220066,-45.400925,-0.04051,0.04051,2,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,2,001,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,24,96,39.20221918,15.425487,-5.3252750825,5.1836091875,4.426139041666667,4,,2.875,-124.197694,,-5.675115625,-1.3914935,,1,,0.8958333333333334,3.2093023255813953,,"(0.16470588235294117, 0.6627450980392157, 0.3333333333333333)",False,False,False,True,13,15,2,"(0.13333333333333333, 0.8666666666666667, 0.0)",True,13,15,2,"(0.13333333333333333, 0.8666666666666667, 0.0)",False,,,,,False
48_Si48_001_122_a0.0_b0.0_c0.0_interface6shift1,6,1,1,Si,False,16.666666666666664,8,-42.60220066,-45.400925,-0.04051,0.04051,6,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,2,122,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,48,192,176.13877856,109.075965,-5.3252750825,5.444649580833333,4.164121145833334,4,,4.3125,-263.762729,,-5.675115625,-3.603351645833333,,1,,3.0989583333333335,1.3915966386554621,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,False,False,True,16,7,9,"(0.5607843137254902, 0.43529411764705883, 0.0)",True,16,14,2,"(0.12156862745098039, 0.8745098039215686, 0.0)",False,,,,,False
48_Si48_001_001_a0.0_b0.0_c0.0_interface8shift1,8,1,1,Si,False,16.666666666666664,8,-42.60220066,-45.400925,-0.04051,0.04051,4,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,4,001,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,48,192,78.26737536,30.850974,-5.3252750825,3.405662014166667,2.5344338333333334,4,,4.145833333333333,-248.395322,,-5.675115625,-3.2831973333333333,,1,,0.96875,4.279569892473118,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,False,False,True,9,13,4,"(0.3058823529411765, 0.6901960784313725, 0.0)",True,9,9,0,"(0.0, 1.0, 0.0)",False,,,,,False
48_Si48_001_122_a0.0_b0.0_c0.0_interface4shift1,4,1,1,Si,False,16.666666666666664,8,-42.60220066,-45.400925,-0.04051,0.04051,6,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,2,122,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,48,192,-78.33452694,-127.883062,-5.3252750825,0.14312238291666665,-0.7725252499999998,4,,3.875,-263.205558,,-5.675115625,-3.5917439166666667,,1,,2.4166666666666665,1.6034482758620692,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,False,True,True,2,12,10,"(0.8313725490196079, 0.16470588235294117, 0.0)",True,2,2,0,"(0.0, 1.0, 0.0)",False,,,,,False
96_Si96_133_133_a0.0_b0.0_c0.0_interface1shift1swap1,1,1,1,Si,False,8.333333333333332,8,-42.60220066,-45.400925,0.13542,0.23958,8,133,1,3,3,Si,False,8,-42.60220066,-45.400925,0.13542,0.23958,8,133,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,96,384,,,,,,4,,,-121.347304,,-5.675115625,-0.31818181249999994,,1,,8.0390625,,,,False,True,False,False,,,,,False,,,,,False,,,,,True
288_Si288_011_011_a0.0_b0.0_c0.0_interface2shift1swap1,2,1,1,Si,False,2.7777777777777777,8,-42.60220066,-45.400925,-0.02864,0.02864,24,011,0,1,1,Si,False,8,-42.60220066,-45.400925,-0.02864,0.02864,24,011,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,288,1152,,,,,,4,,,,,,,,1,,,,,,False,True,False,False,,,,,False,,,,,False,,,,,
144_Si144_011_011_a0.0_b0.0_c0.0_interface14shift1swap1,14,1,1,Si,False,5.555555555555555,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,Si,False,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,144,576,381.65164194,41.486267,-5.3252750825,3.242055855972222,0.9186674791666667,4,,13.319444444444445,-790.100983,,-5.675115625,-4.856243979166667,,1,,4.418402777777778,3.014538310412574,,"(0.4392156862745098, 0.10980392156862745, 0.8862745098039215)",False,True,False,True,7,1,6,"(0.8549019607843137, 0.1411764705882353, 0.0)",True,7,6,1,"(0.1411764705882353, 0.8549019607843137, 0.0)",False,,,,,False
288_Si288_011_011_a0.0_b0.0_c0.0_interface2shift1,2,1,1,Si,False,2.7777777777777777,8,-42.60220066,-45.400925,-0.02864,0.02864,24,011,0,1,1,Si,False,8,-42.60220066,-45.400925,-0.02864,0.02864,24,011,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,288,1152,,,,,,4,,,,,,,,1,,,,,,False,False,False,False,,,,,False,,,,,False,,,,,
48_Si48_001_001_a0.0_b0.0_c0.0_interface8shift1swap1,8,1,1,Si,False,16.666666666666664,8,-42.60220066,-45.400925,-0.04051,0.04051,4,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,4,001,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,48,192,78.26737536,30.850974,-5.3252750825,3.405662014166667,2.5344338333333334,4,,3.8333333333333335,-248.395322,,-5.675115625,-3.2831973333333333,,1,,0.9791666666666666,3.914893617021277,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,True,False,True,10,14,4,"(0.2823529411764706, 0.7137254901960784, 0.0)",True,10,10,0,"(0.0, 1.0, 0.0)",False,,,,,False
48_Si48_114_114_a0.0_b0.0_c0.0_interface16shift1,16,1,1,Si,False,16.666666666666664,8,-42.60220066,-45.400925,-0.04167,0.04167,4,114,1,1,4,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,4,114,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,48,192,-91.68104666,-117.817737,-5.3252750825,-0.1349301112500001,-0.5628309791666665,4,,3.4375,-263.544589,,-5.675115625,-3.5988070624999993,,1,,2.140625,1.6058394160583942,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,False,True,True,1,8,7,"(0.8745098039215686, 0.12156862745098039, 0.0)",True,1,3,2,"(0.6666666666666666, 0.3333333333333333, 0.0)",False,,,,,False
48_Si48_001_122_a0.0_b0.0_c0.0_interface10shift1,10,1,1,Si,False,16.666666666666664,8,-42.60220066,-45.400925,-0.04051,0.04051,6,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,2,122,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,48,192,90.56263777,35.495873,-5.3252750825,3.661813314375,2.6312025625,4,,4.083333333333333,-264.309983,,-5.675115625,-3.614752770833333,,1,,5.046875,0.8090815273477812,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,False,False,True,12,5,7,"(0.5803921568627451, 0.41568627450980394, 0.0)",True,12,12,0,"(0.0, 1.0, 0.0)",False,,,,,False
48_Si48_001_122_a0.0_b0.0_c0.0_interface3shift1,3,1,1,Si,False,16.666666666666664,8,-42.60220066,-45.400925,-0.04051,0.04051,6,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,2,122,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,48,192,176.13836843,109.075604,-5.3252750825,5.444641036458333,4.164113625,4,,4.416666666666667,-263.762734,,-5.675115625,-3.6033517500000003,,1,,3.0520833333333335,1.447098976109215,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,False,False,True,15,6,9,"(0.6, 0.4, 0.0)",True,15,13,2,"(0.13333333333333333, 0.8666666666666667, 0.0)",False,,,,,False
48_Si48_001_122_a0.0_b0.0_c0.0_interface13shift1,13,1,1,Si,False,16.666666666666664,8,-42.60220066,-45.400925,-0.04051,0.04051,6,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,2,122,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,48,192,90.56228634,35.495588,-5.3252750825,3.661805992916667,2.631196625,4,,4.208333333333333,-264.309989,,-5.675115625,-3.6147528958333326,,1,,5.098958333333333,0.8253319713993871,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,False,False,True,11,4,7,"(0.6352941176470588, 0.3607843137254902, 0.0)",True,11,11,0,"(0.0, 1.0, 0.0)",False,,,,,False
96_Si96_133_133_a0.0_b0.0_c0.0_interface1shift1,1,1,1,Si,False,8.333333333333332,8,-42.60220066,-45.400925,0.13542,0.23958,8,133,1,3,3,Si,False,8,-42.60220066,-45.400925,0.13542,0.23958,8,133,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,96,384,,,,,,4,,,-527.332646,,-5.675115625,-4.547195791666666,,1,,1.7369791666666667,,,,False,False,False,False,,,,,False,,,,,False,,,,,False
120_Si120_001_001_a0.0_b0.0_c0.0_interface9shift1,9,1,1,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.04051,0.04051,10,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,10,001,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,120,480,266.55891115,96.482945,-5.3252750825,2.9313609372499996,1.5607066250000001,4,,11.058333333333334,-654.198905,,-5.675115625,-4.6949754583333325,,1,,2.220833333333333,4.979362101313321,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",False,False,False,True,6,3,3,"(0.4980392156862745, 0.4980392156862745, 0.0)",True,6,8,2,"(0.24705882352941178, 0.7490196078431373, 0.0)",False,,,,,False
24_Si24_001_001_a0.0_b0.0_c0.0_interface7shift1swap1,7,1,1,Si,False,33.33333333333333,8,-42.60220066,-45.400925,-0.04051,0.04051,2,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,2,001,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,24,96,39.20221918,15.425487,-5.3252750825,5.1836091875,4.426139041666667,4,,2.875,-124.197694,,-5.675115625,-1.3914935,,1,,0.8854166666666666,3.2470588235294118,,"(0.16470588235294117, 0.6627450980392157, 0.3333333333333333)",False,True,False,True,14,16,2,"(0.12156862745098039, 0.8745098039215686, 0.0)",True,14,16,2,"(0.12156862745098039, 0.8745098039215686, 0.0)",False,,,,,False
288_Si288_011_011_a0.0_b0.0_c0.0_interface15shift1,15,1,1,Si,False,2.7777777777777777,8,-42.60220066,-45.400925,-0.02864,0.02864,24,011,0,1,1,Si,False,8,-42.60220066,-45.400925,-0.02864,0.02864,24,011,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,288,1152,,,,,,4,,,,,,,,1,,,,,,False,False,False,False,,,,,False,,,,,False,,,,,
