name,interface_number,shift_number,swap_number,material_lower,material_lower_primitive_cell,material_lower_percent,material_lower_bulk_n,material_lower_bulk_E_dft,material_lower_bulk_E_mlp,material_lower_termination_min_layer_loc,material_lower_termination_max_layer_loc,material_lower_termination_n_atoms,material_lower_miller_hkl,material_lower_miller_h,material_lower_miller_k,material_lower_miller_l,material_upper,material_upper_primitive_cell,material_upper_bulk_n,material_upper_bulk_E_dft,material_upper_bulk_E_mlp,material_upper_termination_min_layer_loc,material_upper_termination_max_layer_loc,material_upper_termination_n_atoms,material_upper_miller_hkl,material_upper_miller_h,material_upper_miller_k,material_upper_miller_l,material_shift_a,material_shift_b,material_shift_c,material_vector_mismatch_%,material_angle_mismatch_°,material_area_mismatch_%,interface_atoms_n,interface_electron_n,interface_E_dft@dft,interface_E_dft@mlp,interface_E_bulk_form_dft,interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,interface_compute_nodes_dft,interface_compute_time_seconds,interface_compute_time_per_electron_dft,interface_E_mlp@mlp,interface_E_mlp@dft,interface_E_bulk_form_mlp,interface_E_form_delta_mlp@mlp,interface_E_form_delta_mlp@dft,interface_compute_nodes_mlp,interface_compute_time_seconds_mlp,interface_compute_time_per_electron_mlp,mlp_n_times_faster,dft_mlp_rank_distance,fill_colour,is_shift,is_swap,is_valid,is_comparable_dft@dft_mlp@mlp,dft@dft_vs_mlp@mlp_rank_dft,dft@dft_vs_mlp@mlp_rank_mlp,dft@dft_vs_mlp@mlp_rank_distance,dft@dft_vs_mlp@mlp_line_colour,is_comparable_dft@dft_dft@mlp,dft@dft_vs_dft@mlp_rank_dft,dft@dft_vs_dft@mlp_rank_mlp,dft@dft_vs_dft@mlp_rank_distance,dft@dft_vs_dft@mlp_line_colour,is_comparable_mlp@dft_mlp@mlp,mlp@dft_vs_mlp@mlp_rank_dft,mlp@dft_vs_mlp@mlp_rank_mlp,mlp@dft_vs_mlp@mlp_rank_distance,mlp@dft_vs_mlp@mlp_line_colour,is_broken
264_Si156Sn108_001_001_a0.276923_b0.041026_c2.1_interface1shift4swap8,1,4,4,Si,False,3.0303030303030303,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,Sn,False,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,0.276923,0.041026,2.1,0.582945824,0.0,1.162487268,264,1056,-1096.23261932,-1212.705901,-4.531887809375,-3.877736418068181,,4,,27.522727272727273,,,,,,1,,,,,,True,True,False,False,,,,,False,,,,,False,,,,,
96_Si48Sn48_112_111_a0.860215_b0.150327_c1.480958_interface2shift4,2,4,4,Si,False,8.333333333333332,8,-42.60220066,-45.400925,-0.04167,0.04167,8,112,1,1,2,Sn,False,8,-29.90800429,-34.349418,-0.02936,0.02936,8,111,1,1,1,0.860215,0.150327,1.480958,3.476550341,0.0,0.950312614,96,384,,,,,,4,,,-474.500942,,-4.9843964375,-4.11198540625,,1,,9.143229166666666,,,,True,False,False,False,,,,,False,,,,,False,,,,,False
60_Si36Sn24_012_012_a0.0_b0.0_c0.0_interface15shift1,15,1,1,Si,False,13.333333333333334,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,Sn,False,8,-29.90800429,-34.349418,-0.04167,0.04167,4,012,0,1,2,0.0,0.0,0.0,2.441372156,0.0,4.823124409,60,240,306.28930932,566.15866,-4.531887809375,6.313325237833333,10.76515005,4,,9.6,-299.510759,,-4.9843964375,-3.6626736,,1,,3.1708333333333334,3.0275952693823913,,"(0.36470588235294116, 0.26666666666666666, 0.7333333333333333)",False,False,False,True,103,101,2,"(0.01568627450980392, 0.9803921568627451, 0.0)",True,103,101,2,"(0.01568627450980392, 0.9803921568627451, 0.0)",False,,,,,False
264_Si156Sn108_001_001_a0.276923_b0.041026_c2.1_interface1shift6swap4,1,6,6,Si,False,3.0303030303030303,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,Sn,False,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,0.276923,0.041026,2.1,0.582945824,0.0,1.162487268,264,1056,-1095.68277428,-1210.158311,-4.531887809375,-3.8756536717045456,-4.281848363636364,4,,26.96590909090909,-1304.398782,,-4.9843964375,-4.63881984469697,,1,,5.287878787878788,5.099570200573066,,"(0.4666666666666667, 0.058823529411764705, 0.9372549019607843)",True,True,True,True,63,24,39,"(0.615686274509804, 0.3803921568627451, 0.0)",True,63,64,1,"(0.011764705882352941, 0.984313725490196, 0.0)",False,,,,,False
264_Si156Sn108_001_001_a0.276923_b0.041026_c2.1_interface1shift2swap2,1,2,2,Si,False,3.0303030303030303,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,Sn,False,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,0.276923,0.041026,2.1,0.582945824,0.0,1.162487268,264,1056,-1098.15980966,-1212.707255,-4.531887809375,-3.8850363814772724,-4.291503454545455,4,,25.931818181818183,-1304.503785,,-4.9843964375,-4.639217583333334,,1,,3.9829545454545454,6.510699001426534,,"(0.4666666666666667, 0.058823529411764705, 0.9372549019607843)",True,True,True,True,48,23,25,"(0.5176470588235295, 0.47843137254901963, 0.0)",True,48,53,5,"(0.09411764705882353, 0.9019607843137255, 0.0)",False,,,,,False
96_Si48Sn48_112_111_a0.365591_b0.156863_c1.480959_interface3shift1,3,1,1,Si,False,8.333333333333332,8,-42.60220066,-45.400925,-0.04167,0.04167,8,112,1,1,2,Sn,False,8,-29.90800429,-34.349418,-0.02936,0.02936,8,111,1,1,1,0.365591,0.156863,1.480959,3.476550341,0.0,0.950312614,96,384,,,,,,4,,,-474.394526,,-4.9843964375,-4.11087690625,,1,,3.3177083333333335,,,,True,False,False,False,,,,,False,,,,,False,,,,,False
264_Si156Sn108_001_001_a0.276923_b0.041026_c2.1_interface1shift1swap2,1,1,1,Si,False,3.0303030303030303,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,Sn,False,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,0.276923,0.041026,2.1,0.582945824,0.0,1.162487268,264,1056,-1098.3594169,-1212.891274,-4.531887809375,-3.8857924695075754,-4.292200496212121,4,,25.848484848484848,-1304.068491,,-4.9843964375,-4.637568742424243,,1,,4.082386363636363,6.331709580143818,,"(0.4666666666666667, 0.058823529411764705, 0.9372549019607843)",True,True,True,True,46,30,16,"(0.34509803921568627, 0.6509803921568628, 0.0)",True,46,52,6,"(0.11372549019607843, 0.8823529411764706, 0.0)",False,,,,,False
264_Si156Sn108_001_001_a0.276923_b0.041026_c2.1_interface1shift1swap7,1,1,1,Si,False,3.0303030303030303,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,Sn,False,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,0.276923,0.041026,2.1,0.582945824,0.0,1.162487268,264,1056,-1093.44429373,-1209.900524,-4.531887809375,-3.867174578712121,-4.280871897727272,4,,27.25378787878788,-1304.393743,,-4.9843964375,-4.638800757575758,,1,,6.551136363636363,4.160161896501879,,"(0.4666666666666667, 0.058823529411764705, 0.9372549019607843)",True,True,True,True,76,25,51,"(0.6705882352941176, 0.3254901960784314, 0.0)",True,76,67,9,"(0.11764705882352941, 0.8784313725490196, 0.0)",False,,,,,False
264_Si156Sn108_001_001_a0.276923_b0.041026_c2.1_interface1shift3swap3,1,3,3,Si,False,3.0303030303030303,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,Sn,False,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,0.276923,0.041026,2.1,0.582945824,0.0,1.162487268,264,1056,-1102.0808163,-1218.290353,-4.531887809375,-3.89988867935606,-4.312651553030304,4,,27.03787878787879,-1302.955231,,-4.9843964375,-4.633351848484849,,1,,4.229166666666667,6.3931930138826685,,"(0.4666666666666667, 0.058823529411764705, 0.9372549019607843)",True,True,True,True,36,46,10,"(0.21568627450980393, 0.7803921568627451, 0.0)",True,36,36,0,"(0.0, 1.0, 0.0)",False,,,,,False
264_Si156Sn108_001_001_a0.276923_b0.041026_c2.1_interface1shift8swap7,1,8,8,Si,False,3.0303030303030303,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,Sn,False,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,0.276923,0.041026,2.1,0.582945824,0.0,1.162487268,264,1056,-1092.90090121,-1209.08367,-4.531887809375,-3.865116273712121,-4.277777753787879,4,,27.018939393939394,-1300.305434,,-4.9843964375,-4.623314738636364,,1,,3.714962121212121,7.2730053530461385,,"(0.4666666666666667, 0.058823529411764705, 0.9372549019607843)",True,True,True,True,78,69,9,"(0.11372549019607843, 0.8823529411764706, 0.0)",True,78,75,3,"(0.03529411764705882, 0.9607843137254902, 0.0)",False,,,,,False
