name,interface_number,shift_number,swap_number,material_lower,material_lower_primitive_cell,material_lower_percent,material_lower_bulk_n,material_lower_bulk_E_dft,material_lower_bulk_E_mlp,material_lower_termination_min_layer_loc,material_lower_termination_max_layer_loc,material_lower_termination_n_atoms,material_lower_miller_hkl,material_lower_miller_h,material_lower_miller_k,material_lower_miller_l,material_upper,material_upper_primitive_cell,material_upper_bulk_n,material_upper_bulk_E_dft,material_upper_bulk_E_mlp,material_upper_termination_min_layer_loc,material_upper_termination_max_layer_loc,material_upper_termination_n_atoms,material_upper_miller_hkl,material_upper_miller_h,material_upper_miller_k,material_upper_miller_l,material_shift_a,material_shift_b,material_shift_c,material_vector_mismatch_%,material_angle_mismatch_°,material_area_mismatch_%,interface_atoms_n,interface_electron_n,interface_E_dft@dft,interface_E_dft@mlp,interface_E_bulk_form_dft,interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,interface_compute_nodes_dft,interface_compute_time_seconds,interface_compute_time_per_electron_dft,interface_E_mlp@mlp,interface_E_mlp@dft,interface_E_bulk_form_mlp,interface_E_form_delta_mlp@mlp,interface_E_form_delta_mlp@dft,interface_compute_nodes_mlp,interface_compute_time_seconds_mlp,interface_compute_time_per_electron_mlp,mlp_n_times_faster,dft_mlp_rank_distance,fill_colour,is_shift,is_swap,is_valid,is_comparable_dft@dft_mlp@mlp,dft@dft_vs_mlp@mlp_rank_dft,dft@dft_vs_mlp@mlp_rank_mlp,dft@dft_vs_mlp@mlp_rank_distance,dft@dft_vs_mlp@mlp_line_colour,is_comparable_dft@dft_dft@mlp,dft@dft_vs_dft@mlp_rank_dft,dft@dft_vs_dft@mlp_rank_mlp,dft@dft_vs_dft@mlp_rank_distance,dft@dft_vs_dft@mlp_line_colour,is_comparable_mlp@dft_mlp@mlp,mlp@dft_vs_mlp@mlp_rank_dft,mlp@dft_vs_mlp@mlp_rank_mlp,mlp@dft_vs_mlp@mlp_rank_distance,mlp@dft_vs_mlp@mlp_line_colour,is_broken
48_Sn48_114_114_a0.0_b0.0_c0.0_interface1shift1swap1,1,1,1,Sn,False,16.666666666666664,8,-29.90800429,-34.349418,-0.04167,0.04167,4,114,1,1,4,Sn,False,8,-29.90800429,-34.349418,-0.04167,0.04167,4,114,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,48,192,-544.16757393,,-3.73850053625,-10.090657611458333,,4,,5.854166666666667,-34.801001,,-4.29367725,0.7062048958333333,,1,,4.557291666666667,1.2845714285714285,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,True,True,True,,,,,False,,,,,False,,,,,True
48_Sn48_114_114_a0.0_b0.0_c0.0_interface1shift1swap2,1,1,1,Sn,False,16.666666666666664,8,-29.90800429,-34.349418,-0.04167,0.04167,4,114,1,1,4,Sn,False,8,-29.90800429,-34.349418,-0.04167,0.04167,4,114,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,48,192,-495.69822693,,-3.73850053625,-9.080879548958332,,4,,6.5625,-34.801001,,-4.29367725,0.7062048958333333,,1,,4.552083333333333,1.4416475972540046,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,True,True,True,,,,,False,,,,,False,,,,,True
288_Sn288_011_011_a0.0_b0.0_c0.0_interface15shift1swap1,15,1,1,Sn,False,2.7777777777777777,8,-29.90800429,-34.349418,-0.02397,0.02397,24,011,0,1,1,Sn,False,8,-29.90800429,-34.349418,-0.02397,0.02397,24,011,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,288,1152,,,,,,4,,,,,,,,1,,,,,,False,True,False,False,,,,,False,,,,,False,,,,,
48_Sn48_114_114_a0.0_b0.0_c0.0_interface1shift1swap6,1,1,1,Sn,False,16.666666666666664,8,-29.90800429,-34.349418,-0.04167,0.04167,4,114,1,1,4,Sn,False,8,-29.90800429,-34.349418,-0.04167,0.04167,4,114,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,48,192,-542.86991493,,-3.73850053625,-10.063623048958334,,4,,7.375,-34.801001,,-4.29367725,0.7062048958333333,,1,,5.723958333333333,1.2884440400363968,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,True,True,True,,,,,False,,,,,False,,,,,True
288_Sn288_011_011_a0.0_b0.0_c0.0_interface14shift1swap1,14,1,1,Sn,False,2.7777777777777777,8,-29.90800429,-34.349418,-0.02397,0.02397,24,011,0,1,1,Sn,False,8,-29.90800429,-34.349418,-0.02397,0.02397,24,011,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,288,1152,,,,,,4,,,,,,,,1,,,,,,False,True,False,False,,,,,False,,,,,False,,,,,
48_Sn48_114_114_a0.0_b0.0_c0.0_interface1shift1,1,1,1,Sn,False,16.666666666666664,8,-29.90800429,-34.349418,-0.04167,0.04167,4,114,1,1,4,Sn,False,8,-29.90800429,-34.349418,-0.04167,0.04167,4,114,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,48,192,30.29612977,-46.591111,-3.73850053625,1.8773362156250002,0.4605776041666667,4,,7.416666666666667,-206.006977,,-4.29367725,-2.8605862708333327,,1,,2.046875,3.623409669211196,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,False,False,True,1,11,10,"(0.9058823529411765, 0.09019607843137255, 0.0)",True,1,1,0,"(0.0, 1.0, 0.0)",False,,,,,False
24_Sn24_001_001_a0.0_b0.0_c0.0_interface9shift1,9,1,1,Sn,False,33.33333333333333,8,-29.90800429,-34.349418,-0.0339,0.0339,2,001,0,0,1,Sn,False,8,-29.90800429,-34.349418,-0.0339,0.0339,2,001,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,24,96,136.64447858,56.594064,-3.73850053625,8.185853631666667,5.2205375,4,,3.4583333333333335,-87.099019,,-4.29367725,-0.7666742916666666,,1,,0.8020833333333334,4.311688311688312,,"(0.16470588235294117, 0.6627450980392157, 0.3333333333333333)",False,False,False,True,14,14,0,"(0.0, 1.0, 0.0)",True,14,12,2,"(0.1411764705882353, 0.8549019607843137, 0.0)",False,,,,,False
48_Sn48_114_114_a0.0_b0.0_c0.0_interface1shift1swap5,1,1,1,Sn,False,16.666666666666664,8,-29.90800429,-34.349418,-0.04167,0.04167,4,114,1,1,4,Sn,False,8,-29.90800429,-34.349418,-0.04167,0.04167,4,114,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,48,192,-544.69373776,,-3.73850053625,-10.101619357916666,,4,,5.708333333333333,-34.801001,,-4.29367725,0.7062048958333333,,1,,4.78125,1.193899782135076,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,True,True,True,,,,,False,,,,,False,,,,,True
144_Sn144_011_011_a0.0_b0.0_c0.0_interface3shift1,3,1,1,Sn,False,5.555555555555555,8,-29.90800429,-34.349418,-0.02397,0.02397,12,011,0,1,1,Sn,False,8,-29.90800429,-34.349418,-0.02397,0.02397,12,011,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,144,576,876.85909802,582.343594,-3.73850053625,6.504688240277778,4.521127986111112,4,,6.569444444444445,-619.992272,,-4.29367725,-3.8284266388888883,,1,,6.034722222222222,1.0886075949367089,,"(0.4392156862745098, 0.10980392156862745, 0.8862745098039215)",False,False,False,True,6,1,5,"(0.8313725490196079, 0.16470588235294117, 0.0)",True,6,8,2,"(0.24705882352941178, 0.7490196078431373, 0.0)",False,,,,,False
48_Sn48_001_001_a0.0_b0.0_c0.0_interface8shift1swap1,8,1,1,Sn,False,16.666666666666664,8,-29.90800429,-34.349418,-0.0339,0.0339,4,001,0,0,1,Sn,False,8,-29.90800429,-34.349418,-0.0339,0.0339,4,001,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,48,192,273.23328648,113.188127,-3.73850053625,6.938526980416667,3.7893117291666663,4,,4.854166666666667,-174.198016,,-4.29367725,-2.197899583333333,,1,,0.6770833333333334,7.1692307692307695,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,True,False,True,10,12,2,"(0.16470588235294117, 0.8313725490196079, 0.0)",True,10,6,4,"(0.4, 0.6, 0.0)",False,,,,,False
