name,interface_number,shift_number,swap_number,material_lower,material_lower_primitive_cell,material_lower_percent,material_lower_bulk_n,material_lower_bulk_E_dft,material_lower_bulk_E_mlp,material_lower_termination_min_layer_loc,material_lower_termination_max_layer_loc,material_lower_termination_n_atoms,material_lower_miller_hkl,material_lower_miller_h,material_lower_miller_k,material_lower_miller_l,material_upper,material_upper_primitive_cell,material_upper_bulk_n,material_upper_bulk_E_dft,material_upper_bulk_E_mlp,material_upper_termination_min_layer_loc,material_upper_termination_max_layer_loc,material_upper_termination_n_atoms,material_upper_miller_hkl,material_upper_miller_h,material_upper_miller_k,material_upper_miller_l,material_shift_a,material_shift_b,material_shift_c,material_vector_mismatch_%,material_angle_mismatch_°,material_area_mismatch_%,interface_atoms_n,interface_electron_n,interface_E_dft@dft,interface_E_dft@mlp,interface_E_bulk_form_dft,interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,interface_compute_nodes_dft,interface_compute_time_seconds,interface_compute_time_per_electron_dft,interface_E_mlp@mlp,interface_E_mlp@dft,interface_E_bulk_form_mlp,interface_E_form_delta_mlp@mlp,interface_E_form_delta_mlp@dft,interface_compute_nodes_mlp,interface_compute_time_seconds_mlp,interface_compute_time_per_electron_mlp,mlp_n_times_faster,dft_mlp_rank_distance,fill_colour,is_shift,is_swap,is_valid,is_comparable_dft@dft_mlp@mlp,dft@dft_vs_mlp@mlp_rank_dft,dft@dft_vs_mlp@mlp_rank_mlp,dft@dft_vs_mlp@mlp_rank_distance,dft@dft_vs_mlp@mlp_line_colour,is_comparable_dft@dft_dft@mlp,dft@dft_vs_dft@mlp_rank_dft,dft@dft_vs_dft@mlp_rank_mlp,dft@dft_vs_dft@mlp_rank_distance,dft@dft_vs_dft@mlp_line_colour,is_comparable_mlp@dft_mlp@mlp,mlp@dft_vs_mlp@mlp_rank_dft,mlp@dft_vs_mlp@mlp_rank_mlp,mlp@dft_vs_mlp@mlp_rank_distance,mlp@dft_vs_mlp@mlp_line_colour,is_broken
120_Si36C84_012_012_a0.12963_b0.617284_c1.482413_interface1shift1,1,1,1,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,C,False,8,-69.80589084,-74.136955,0.29167,0.375,14,012,0,1,2,0.12963,0.617284,1.482413,0.319951773,0.0,0.640940666,120,480,-792.28481032,-841.063149,-7.025505718750001,-5.665639323500001,-6.012710575,4,,12.05,-920.942715,,-7.4711175,-6.678373625000001,,1,,11.385416666666666,1.0583714547118026,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,54,50,4,"(0.07058823529411765, 0.9254901960784314, 0.0)",True,54,63,9,"(0.1411764705882353, 0.8549019607843137, 0.0)",False,,,,,False
380_Si72C308_111_111_a0.045455_b0.007576_c2.163935_interface6shift5,6,5,5,Si,False,2.1052631578947367,8,-42.60220066,-45.400925,-0.03508,0.03508,12,111,1,1,1,C,False,8,-69.80589084,-74.136955,0.19792,0.21875,28,111,1,1,1,0.045455,0.007576,2.163935,0.319956511,0.0,0.640952587,380,1520,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
120_Si36C84_012_012_a0.314815_b0.067901_c1.482413_interface10shift5,10,5,5,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,C,False,8,-69.80589084,-74.136955,-0.04167,0.04167,14,012,0,1,2,0.314815,0.067901,1.482413,0.319951773,6.83e-06,0.640940666,120,480,-796.05717319,-846.531729,-7.025505718750001,-5.69707568075,-6.058282074999999,4,,11.975,-928.13634,,-7.4711175,-6.7383204999999995,,1,,6.16875,1.9412360688956432,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,18,21,3,"(0.1411764705882353, 0.8549019607843137, 0.0)",True,18,14,4,"(0.2196078431372549, 0.7764705882352941, 0.0)",False,,,,,False
120_Si36C84_012_012_a0.863636_b0.117284_c1.680068_interface9shift3,9,3,3,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,C,False,8,-69.80589084,-74.136955,-0.04167,0.04167,14,012,0,1,2,0.863636,0.117284,1.680068,0.319951773,6.83e-06,0.640940666,120,480,-790.55820016,-841.429598,-7.025505718750001,-5.6512509055,-6.015764316666667,4,,8.675,-921.053528,,-7.4711175,-6.679297066666667,,1,,6.004166666666666,1.4448299791811243,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,58,49,9,"(0.15294117647058825, 0.8431372549019608, 0.0)",True,58,56,2,"(0.03137254901960784, 0.9647058823529412, 0.0)",False,,,,,False
380_Si72C308_111_111_a0.045455_b0.068182_c2.163935_interface4shift3,4,3,3,Si,False,2.1052631578947367,8,-42.60220066,-45.400925,0.29825,0.36841,12,111,1,1,1,C,False,8,-69.80589084,-74.136955,0.19792,0.21875,28,111,1,1,1,0.045455,0.068182,2.163935,0.319956511,0.0,0.640952587,380,1520,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
380_Si72C308_111_111_a0.0_b0.0_c0.0_interface18shift1,18,1,1,Si,False,2.1052631578947367,8,-42.60220066,-45.400925,-0.03508,0.03508,12,111,1,1,1,C,False,8,-69.80589084,-74.136955,0.19792,0.21875,28,111,1,1,1,0.0,0.0,0.0,0.319956511,6.83e-06,0.640952587,380,1520,,,,,,4,,,,,,,,1,,,,,,False,False,False,False,,,,,False,,,,,False,,,,,
120_Si36C84_012_012_a0.643939_b0.024691_c1.482413_interface16shift4,16,4,4,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,C,False,8,-69.80589084,-74.136955,0.29167,0.375,14,012,0,1,2,0.643939,0.024691,1.482413,0.319951773,6.83e-06,0.640940666,120,480,-795.20115567,-845.249174,-7.025505718750001,-5.689942201416668,-6.047594116666667,4,,7.716666666666667,-922.328484,,-7.4711175,-6.6899217,,1,,6.752083333333333,1.1428571428571428,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,26,37,11,"(0.29411764705882354, 0.7019607843137254, 0.0)",True,26,27,1,"(0.03529411764705882, 0.9607843137254902, 0.0)",False,,,,,False
120_Si36C84_012_012_a0.283951_b0.709877_c0.988275_interface2shift5,2,5,5,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,C,False,8,-69.80589084,-74.136955,-0.04167,0.04167,14,012,0,1,2,0.283951,0.709877,0.988275,0.319951773,0.0,0.640940666,120,480,-789.98471118,-841.708357,-7.025505718750001,-5.646471830666667,-6.018087308333333,4,,10.15,-912.694016,,-7.4711175,-6.609634466666667,,1,,8.302083333333334,1.2225846925972397,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,67,75,8,"(0.10588235294117647, 0.8901960784313725, 0.0)",True,67,50,17,"(0.25098039215686274, 0.7450980392156863, 0.0)",False,,,,,False
120_Si36C84_012_012_a0.864198_b0.030864_c1.18593_interface10shift6,10,6,6,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,C,False,8,-69.80589084,-74.136955,-0.04167,0.04167,14,012,0,1,2,0.864198,0.030864,1.18593,0.319951773,6.83e-06,0.640940666,120,480,-795.63459803,-847.857185,-7.025505718750001,-5.693554221083334,-6.0693275416666665,4,,10.025,-937.209862,,-7.4711175,-6.813933183333334,,1,,11.05625,0.9067269643866591,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,23,4,19,"(0.8235294117647058, 0.17254901960784313, 0.0)",True,23,11,12,"(0.5215686274509804, 0.4745098039215686, 0.0)",False,,,,,False
120_Si36C84_012_012_a0.0_b0.0_c0.0_interface13shift1,13,1,1,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,C,False,8,-69.80589084,-74.136955,0.29167,0.375,14,012,0,1,2,0.0,0.0,0.0,0.319951773,6.83e-06,0.640940666,120,480,84.63104279,425.189253,-7.025505718750001,1.6419927857499999,4.5393927750000005,4,,9.433333333333334,-910.4595,,-7.4711175,-6.591013500000001,,1,,9.1375,1.0323757409940721,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",False,False,False,True,77,78,1,"(0.011764705882352941, 0.984313725490196, 0.0)",True,77,78,1,"(0.011764705882352941, 0.984313725490196, 0.0)",False,,,,,False
120_Si36C84_012_012_a0.128788_b0.12963_c0.988275_interface12shift2,12,2,2,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,C,False,8,-69.80589084,-74.136955,0.29167,0.375,14,012,0,1,2,0.128788,0.12963,0.988275,0.319951773,6.83e-06,0.640940666,120,480,-796.54758648,-849.697454,-7.025505718750001,-5.7011624581666664,-6.0846631166666665,4,,8.141666666666667,-938.46846,,-7.4711175,-6.8244215,,1,,11.625,0.7003584229390681,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,10,3,7,"(0.6980392156862745, 0.2980392156862745, 0.0)",True,10,10,0,"(0.0, 1.0, 0.0)",False,,,,,False
380_Si72C308_111_111_a0.098485_b0.128788_c2.163935_interface8shift7,8,7,7,Si,False,2.1052631578947367,8,-42.60220066,-45.400925,0.29825,0.36841,12,111,1,1,1,C,False,8,-69.80589084,-74.136955,0.19792,0.21875,28,111,1,1,1,0.098485,0.128788,2.163935,0.319956511,0.0,0.640952587,380,1520,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
