name,interface_number,shift_number,swap_number,material_lower,material_lower_primitive_cell,material_lower_percent,material_lower_bulk_n,material_lower_bulk_E_dft,material_lower_bulk_E_mlp,material_lower_termination_min_layer_loc,material_lower_termination_max_layer_loc,material_lower_termination_n_atoms,material_lower_miller_hkl,material_lower_miller_h,material_lower_miller_k,material_lower_miller_l,material_upper,material_upper_primitive_cell,material_upper_bulk_n,material_upper_bulk_E_dft,material_upper_bulk_E_mlp,material_upper_termination_min_layer_loc,material_upper_termination_max_layer_loc,material_upper_termination_n_atoms,material_upper_miller_hkl,material_upper_miller_h,material_upper_miller_k,material_upper_miller_l,material_shift_a,material_shift_b,material_shift_c,material_vector_mismatch_%,material_angle_mismatch_°,material_area_mismatch_%,interface_atoms_n,interface_electron_n,interface_E_dft@dft,interface_E_dft@mlp,interface_E_bulk_form_dft,interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,interface_compute_nodes_dft,interface_compute_time_seconds,interface_compute_time_per_electron_dft,interface_E_mlp@mlp,interface_E_mlp@dft,interface_E_bulk_form_mlp,interface_E_form_delta_mlp@mlp,interface_E_form_delta_mlp@dft,interface_compute_nodes_mlp,interface_compute_time_seconds_mlp,interface_compute_time_per_electron_mlp,mlp_n_times_faster,dft_mlp_rank_distance,fill_colour,is_shift,is_swap,is_valid,is_comparable_dft@dft_mlp@mlp,dft@dft_vs_mlp@mlp_rank_dft,dft@dft_vs_mlp@mlp_rank_mlp,dft@dft_vs_mlp@mlp_rank_distance,dft@dft_vs_mlp@mlp_line_colour,is_comparable_dft@dft_dft@mlp,dft@dft_vs_dft@mlp_rank_dft,dft@dft_vs_dft@mlp_rank_mlp,dft@dft_vs_dft@mlp_rank_distance,dft@dft_vs_dft@mlp_line_colour,is_comparable_mlp@dft_mlp@mlp,mlp@dft_vs_mlp@mlp_rank_dft,mlp@dft_vs_mlp@mlp_rank_mlp,mlp@dft_vs_mlp@mlp_rank_distance,mlp@dft_vs_mlp@mlp_line_colour,is_broken
168_Sn72Ge96_011_011_a0.126126_b0.537975_c2.163935_interface4shift8,4,8,8,Sn,False,4.761904761904762,8,-29.90800429,-34.349418,-0.02397,0.02397,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.0275,0.0275,16,011,0,1,1,0.126126,0.537975,2.163935,0.675974071,0.0,1.356506348,168,672,-675.23362422,-755.095887,-4.062053987500001,-3.6323854786904763,-4.059016714285714,4,,7.845238095238095,-767.893843,,-4.5738174375,-4.135195023809523,,1,,6.168154761904762,1.2718938480096502,,"(0.4470588235294118, 0.09411764705882353, 0.9019607843137255)",True,False,True,True,145,169,24,"(0.1411764705882353, 0.8549019607843137, 0.0)",True,145,137,8,"(0.054901960784313725, 0.9411764705882353, 0.0)",False,,,,,False
108_Sn48Ge60_001_001_a0.930233_b0.224806_c2.2_interface10shift5,10,5,5,Sn,False,7.4074074074074066,8,-29.90800429,-34.349418,-0.0339,0.0339,8,001,0,0,1,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,10,001,0,0,1,0.930233,0.224806,2.2,2.520913124,0.0,4.978269577,108,432,,,,,,4,,,-488.449032,,-4.5738174375,-3.8450736388888886,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,False
120_Si72Ge48_013_114_a0.308642_b0.076023_c1.486532_interface2shift3,2,3,3,Si,False,6.666666666666667,8,-42.60220066,-45.400925,0.125,0.20833,12,013,0,1,3,Ge,False,8,-35.08485951,-38.831661,-0.04167,0.04167,8,114,1,1,4,0.308642,0.076023,1.486532,1.781901121,0.0,2.930992842,120,480,-519.82901922,-578.613518,-4.855441260625,-3.6845163254166664,-4.1198410999999995,4,,7.525,-617.058968,,-5.264536625,-4.44021985,,1,,4.610416666666667,1.6321735201084502,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,127,124,3,"(0.023529411764705882, 0.9725490196078431, 0.0)",True,127,135,8,"(0.058823529411764705, 0.9372549019607843, 0.0)",False,,,,,False
168_Sn72Ge96_011_011_a0.126126_b0.531646_c2.163935_interface4shift1,4,1,1,Sn,False,4.761904761904762,8,-29.90800429,-34.349418,-0.02397,0.02397,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.0275,0.0275,16,011,0,1,1,0.126126,0.531646,2.163935,0.675974071,0.0,1.356506348,168,672,-674.98914004,-755.027413,-4.062053987500001,-3.6309302157142858,-4.058609130952381,4,,7.958333333333333,-767.893854,,-4.5738174375,-4.135195089285714,,1,,6.230654761904762,1.2772868402197277,,"(0.4470588235294118, 0.09411764705882353, 0.9019607843137255)",True,False,True,True,149,168,19,"(0.10980392156862745, 0.8862745098039215, 0.0)",True,149,140,9,"(0.058823529411764705, 0.9372549019607843, 0.0)",False,,,,,False
156_Si72Ge84_112_001_a0.0_b0.0_c0.0_interface16shift1,16,1,1,Si,False,5.128205128205128,8,-42.60220066,-45.400925,-0.04167,0.04167,12,112,1,1,2,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,14,001,0,0,1,0.0,0.0,0.0,4.176025867,0.380735219,3.380048275,156,624,257.43281699,-26.468339,-4.855441260625,2.148204340769231,,4,,10.26923076923077,,,,,,1,,,,,,False,False,False,False,,,,,False,,,,,False,,,,,
96_Ge96_112_112_a0.428571_b0.301587_c1.192483_interface2shift2swap1,2,2,2,Ge,False,8.333333333333332,8,-35.08485951,-38.831661,0.125,0.20833,8,112,1,1,2,Ge,False,8,-35.08485951,-38.831661,0.125,0.20833,8,112,1,1,2,0.428571,0.301587,1.192483,0.0,0.0,0.0,96,384,-1191.97764564,,-4.38560743875,-11.685499235624997,,4,,7.09375,-119.176548,,-4.853957625,-0.4324294375,,1,,5.205729166666667,1.362681340670335,,"(0.4117647058823529, 0.16470588235294117, 0.8313725490196079)",True,True,True,True,,,,,False,,,,,False,,,,,True
96_Ge96_133_133_a0.0_b0.0_c0.0_interface1shift1,1,1,1,Ge,False,8.333333333333332,8,-35.08485951,-38.831661,0.13542,0.23958,8,133,1,3,3,Ge,False,8,-35.08485951,-38.831661,0.13542,0.23958,8,133,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,96,384,1203.72342016,602.474725,-4.38560743875,13.269720199791669,7.084771322916666,4,,12.135416666666666,-455.322419,,-4.853957625,-3.9339489270833337,,1,,1.9739583333333333,6.147757255936676,,"(0.4117647058823529, 0.16470588235294117, 0.8313725490196079)",False,False,False,True,257,196,61,"(0.23529411764705882, 0.7607843137254902, 0.0)",True,257,254,3,"(0.00784313725490196, 0.9882352941176471, 0.0)",False,,,,,False
48_Sn24Ge24_012_125_a0.077519_b0.93299_c1.589553_interface13shift1,13,1,1,Sn,False,16.666666666666664,8,-29.90800429,-34.349418,-0.04167,0.04167,4,012,0,1,2,Ge,False,8,-35.08485951,-38.831661,-0.04167,0.04167,4,125,1,2,5,0.077519,0.93299,1.589553,3.610095024,0.581727207,6.898111343,48,192,-157.26312799,-186.268811,-4.062053987500001,-1.9222971706249996,-2.355994416666667,4,,5.583333333333333,-209.575432,,-4.5738174375,-2.841549020833334,,1,,3.5989583333333335,1.5513748191027494,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",True,False,True,True,217,257,40,"(0.15294117647058825, 0.8431372549019608, 0.0)",True,217,220,3,"(0.011764705882352941, 0.984313725490196, 0.0)",False,,,,,False
96_Ge96_133_133_a0.162921_b0.258427_c0.099972_interface1shift8swap1,1,8,8,Ge,False,8.333333333333332,8,-35.08485951,-38.831661,0.13542,0.23958,8,133,1,3,3,Ge,False,8,-35.08485951,-38.831661,0.13542,0.23958,8,133,1,3,3,0.162921,0.258427,0.099972,0.0,0.0,0.0,96,384,-351.64349697,,-4.38560743875,-2.9320185203125,,4,,23.322916666666668,-119.176548,,-4.853957625,-0.4324294375,,1,,7.515625,3.1032571032571035,,"(0.4117647058823529, 0.16470588235294117, 0.8313725490196079)",True,True,True,True,,,,,False,,,,,False,,,,,True
120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift4swap4,6,4,4,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,0.368421,0.222222,2.163935,4.176024914,0.0,2.319717407,120,480,-575.08440535,-622.892851,-4.855441260625,-4.1449778765,-4.488835541666666,4,,5.525,-631.759595,,-5.264536625,-4.5627250749999995,,1,,1.4666666666666666,3.767045454545455,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,True,True,True,57,104,47,"(0.45098039215686275, 0.5450980392156862, 0.0)",True,57,58,1,"(0.01568627450980392, 0.9803921568627451, 0.0)",False,,,,,False
