name,interface_number,shift_number,swap_number,material_lower,material_lower_primitive_cell,material_lower_percent,material_lower_bulk_n,material_lower_bulk_E_dft,material_lower_bulk_E_mlp,material_lower_termination_min_layer_loc,material_lower_termination_max_layer_loc,material_lower_termination_n_atoms,material_lower_miller_hkl,material_lower_miller_h,material_lower_miller_k,material_lower_miller_l,material_upper,material_upper_primitive_cell,material_upper_bulk_n,material_upper_bulk_E_dft,material_upper_bulk_E_mlp,material_upper_termination_min_layer_loc,material_upper_termination_max_layer_loc,material_upper_termination_n_atoms,material_upper_miller_hkl,material_upper_miller_h,material_upper_miller_k,material_upper_miller_l,material_shift_a,material_shift_b,material_shift_c,material_vector_mismatch_%,material_angle_mismatch_°,material_area_mismatch_%,interface_atoms_n,interface_electron_n,interface_E_dft@dft,interface_E_dft@mlp,interface_E_bulk_form_dft,interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,interface_compute_nodes_dft,interface_compute_time_seconds,interface_compute_time_per_electron_dft,interface_E_mlp@mlp,interface_E_mlp@dft,interface_E_bulk_form_mlp,interface_E_form_delta_mlp@mlp,interface_E_form_delta_mlp@dft,interface_compute_nodes_mlp,interface_compute_time_seconds_mlp,interface_compute_time_per_electron_mlp,mlp_n_times_faster,dft_mlp_rank_distance,fill_colour,is_shift,is_swap,is_valid,is_comparable_dft@dft_mlp@mlp,dft@dft_vs_mlp@mlp_rank_dft,dft@dft_vs_mlp@mlp_rank_mlp,dft@dft_vs_mlp@mlp_rank_distance,dft@dft_vs_mlp@mlp_line_colour,is_comparable_dft@dft_dft@mlp,dft@dft_vs_dft@mlp_rank_dft,dft@dft_vs_dft@mlp_rank_mlp,dft@dft_vs_dft@mlp_rank_distance,dft@dft_vs_dft@mlp_line_colour,is_comparable_mlp@dft_mlp@mlp,mlp@dft_vs_mlp@mlp_rank_dft,mlp@dft_vs_mlp@mlp_rank_mlp,mlp@dft_vs_mlp@mlp_rank_distance,mlp@dft_vs_mlp@mlp_line_colour,is_broken
72_Ge48Si24_001_114_a0.43038_b0.691824_c1.495911_interface8shift4,8,4,4,Ge,False,11.11111111111111,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,4,114,1,1,4,0.43038,0.691824,1.495911,4.008624077,0.0,2.267128229,72,288,-316.72701938,-349.992612,-4.855441260625,-3.3199994334722223,-3.691111472222223,4,,6.125,-361.397387,,-5.264536625,-3.8495111250000003,,1,,2.0,3.0625,,"(0.3843137254901961, 0.2196078431372549, 0.7764705882352941)",True,False,True,True,124,146,22,"(0.14901960784313725, 0.8470588235294118, 0.0)",True,47,47,0,"(0.0, 1.0, 0.0)",False,,,,,False
264_Sn108Si156_001_001_a0.07732_b0.082474_c2.1_interface1shift1swap2,1,1,1,Sn,False,3.0303030303030303,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,0.07732,0.082474,2.1,0.586363971,0.0,1.176154613,264,1056,-1121.52272796,-1232.882036,-4.531887809375,-3.9735322841287877,-4.367923079545455,4,,24.625,-1306.495405,,-4.9843964375,-4.646761598484848,,1,,3.247159090909091,7.583552055993001,,"(0.4666666666666667, 0.058823529411764705, 0.9372549019607843)",True,True,True,True,84,86,2,"(0.0196078431372549, 0.9764705882352941, 0.0)",True,34,34,0,"(0.0, 1.0, 0.0)",False,,,,,False
380_C308Si72_111_111_a0.022727_b0.007576_c2.188944_interface10shift1,10,1,1,C,False,2.1052631578947367,8,-69.80589084,-74.136955,0.15625,0.17708,28,111,1,1,1,Si,False,8,-42.60220066,-45.400925,-0.03508,0.03508,12,111,1,1,1,0.022727,0.007576,2.188944,0.31893608,0.0,0.636863708,380,1520,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
60_Ge36Si24_001_013_a0.0_b0.0_c0.0_interface13shift1,13,1,1,Ge,False,13.333333333333334,8,-35.08485951,-38.831661,-0.03888,0.03888,6,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,4,013,0,1,3,0.0,0.0,0.0,4.008624554,0.0,2.872276306,60,240,240.64807205,355.675498,-4.855441260625,5.305585537,7.331801400000001,4,,8.4,-301.535834,,-5.264536625,-3.6217208000000003,,1,,4.520833333333333,1.8580645161290326,,"(0.36470588235294116, 0.26666666666666666, 0.7333333333333333)",False,False,False,True,160,164,4,"(0.023529411764705882, 0.9725490196078431, 0.0)",True,83,81,2,"(0.023529411764705882, 0.9725490196078431, 0.0)",False,,,,,False
264_Sn108Si156_001_001_a0.07732_b0.082474_c2.1_interface1shift8,1,8,8,Sn,False,3.0303030303030303,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,0.07732,0.082474,2.1,0.586363971,0.0,1.176154613,264,1056,-1173.58131284,,-4.531887809375,-4.170723893522727,,4,,21.992424242424242,-1321.971092,,-4.9843964375,-4.705381625,,1,,3.492424242424242,6.297180043383948,,"(0.4666666666666667, 0.058823529411764705, 0.9372549019607843)",True,False,True,True,21,39,18,"(0.4588235294117647, 0.5372549019607843, 0.0)",False,,,,,False,,,,,False
156_Ge48Si108_114_001_a0.163522_b0.142012_c1.585635_interface5shift1,5,1,1,Ge,False,5.128205128205128,8,-35.08485951,-38.831661,-0.04167,0.04167,8,114,1,1,4,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,18,001,0,0,1,0.163522,0.142012,1.585635,4.008629799,0.0,2.267122269,156,624,-717.71090093,-783.83893,-4.855441260625,-4.102716927948718,-4.484656051282051,4,,9.102564102564102,-826.239553,,-5.264536625,-4.756454916666666,,1,,3.796474358974359,2.3976361333896157,,"(0.44313725490196076, 0.10196078431372549, 0.8941176470588236)",True,False,True,True,27,25,2,"(0.07058823529411765, 0.9254901960784314, 0.0)",True,18,26,8,"(0.3058823529411765, 0.6901960784313725, 0.0)",False,,,,,False
380_C308Si72_111_111_a0.0_b0.0_c0.0_interface11shift1,11,1,1,C,False,2.1052631578947367,8,-69.80589084,-74.136955,0.19792,0.21875,28,111,1,1,1,Si,False,8,-42.60220066,-45.400925,-0.03508,0.03508,12,111,1,1,1,0.0,0.0,0.0,0.31893608,0.0,0.636863708,380,1520,,,,,,4,,,,,,,,1,,,,,,False,False,False,False,,,,,False,,,,,False,,,,,
380_C308Si72_111_111_a0.0_b0.0_c0.0_interface4shift1,4,1,1,C,False,2.1052631578947367,8,-69.80589084,-74.136955,0.15625,0.17708,28,111,1,1,1,Si,False,8,-42.60220066,-45.400925,0.29825,0.36841,12,111,1,1,1,0.0,0.0,0.0,0.31893608,0.0,0.636863708,380,1520,,,,,,4,,,,,,,,1,,,,,,False,False,False,False,,,,,False,,,,,False,,,,,
228_Ge108Si120_001_001_a0.0_b0.0_c0.0_interface2shift1,2,1,1,Ge,False,3.508771929824561,8,-35.08485951,-38.831661,-0.03888,0.03888,18,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,20,001,0,0,1,0.0,0.0,0.0,1.183802485,0.0,2.38161087,228,912,1109.08502401,6387.418819,-4.855441260625,5.205140720087719,28.384435986842107,4,,25.99122807017544,-1175.284323,,-5.264536625,-4.785314635964913,,1,,7.794956140350878,3.3343648895765927,,"(0.4627450980392157, 0.06666666666666667, 0.9294117647058824)",False,False,False,True,158,23,135,"(0.8509803921568627, 0.1450980392156863, 0.0)",True,81,88,7,"(0.0784313725490196, 0.9176470588235294, 0.0)",False,,,,,False
24_Si24_001_001_a0.0_b0.0_c0.0_interface7shift1,7,1,1,Si,False,33.33333333333333,8,-42.60220066,-45.400925,-0.04051,0.04051,2,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,2,001,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,24,96,39.20221918,15.425487,-5.3252750825,5.1836091875,4.426139041666667,4,,2.875,-124.197694,,-5.675115625,-1.3914935,,1,,0.8958333333333334,3.2093023255813953,,"(0.16470588235294117, 0.6627450980392157, 0.3333333333333333)",False,False,False,True,156,176,20,"(0.10980392156862745, 0.8862745098039215, 0.0)",True,79,79,0,"(0.0, 1.0, 0.0)",False,,,,,False
