name,interface_number,shift_number,swap_number,material_lower,material_lower_primitive_cell,material_lower_percent,material_lower_bulk_n,material_lower_bulk_E_dft,material_lower_bulk_E_mlp,material_lower_termination_min_layer_loc,material_lower_termination_max_layer_loc,material_lower_termination_n_atoms,material_lower_miller_hkl,material_lower_miller_h,material_lower_miller_k,material_lower_miller_l,material_upper,material_upper_primitive_cell,material_upper_bulk_n,material_upper_bulk_E_dft,material_upper_bulk_E_mlp,material_upper_termination_min_layer_loc,material_upper_termination_max_layer_loc,material_upper_termination_n_atoms,material_upper_miller_hkl,material_upper_miller_h,material_upper_miller_k,material_upper_miller_l,material_shift_a,material_shift_b,material_shift_c,material_vector_mismatch_%,material_angle_mismatch_°,material_area_mismatch_%,interface_atoms_n,interface_electron_n,interface_E_dft@dft,interface_E_dft@mlp,interface_E_bulk_form_dft,interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,interface_compute_nodes_dft,interface_compute_time_seconds,interface_compute_time_per_electron_dft,interface_E_mlp@mlp,interface_E_mlp@dft,interface_E_bulk_form_mlp,interface_E_form_delta_mlp@mlp,interface_E_form_delta_mlp@dft,interface_compute_nodes_mlp,interface_compute_time_seconds_mlp,interface_compute_time_per_electron_mlp,mlp_n_times_faster,dft_mlp_rank_distance,fill_colour,is_shift,is_swap,is_valid,is_comparable_dft@dft_mlp@mlp,dft@dft_vs_mlp@mlp_rank_dft,dft@dft_vs_mlp@mlp_rank_mlp,dft@dft_vs_mlp@mlp_rank_distance,dft@dft_vs_mlp@mlp_line_colour,is_comparable_dft@dft_dft@mlp,dft@dft_vs_dft@mlp_rank_dft,dft@dft_vs_dft@mlp_rank_mlp,dft@dft_vs_dft@mlp_rank_distance,dft@dft_vs_dft@mlp_line_colour,is_comparable_mlp@dft_mlp@mlp,mlp@dft_vs_mlp@mlp_rank_dft,mlp@dft_vs_mlp@mlp_rank_mlp,mlp@dft_vs_mlp@mlp_rank_distance,mlp@dft_vs_mlp@mlp_line_colour,is_broken
336_Ge192Sn144_011_011_a0.702564_b0.979487_c2.163935_interface5shift3,5,3,3,Ge,False,2.380952380952381,8,-35.08485951,-38.831661,-0.0275,0.0275,32,011,0,1,1,Sn,False,8,-29.90800429,-34.349418,-0.02397,0.02397,24,011,0,1,1,0.702564,0.979487,2.163935,0.671433747,0.0,1.338356733,336,1344,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
180_Ge144Sn36_011_012_a0.492754_b0.117949_c1.986941_interface15shift8,15,8,8,Ge,False,4.444444444444445,8,-35.08485951,-38.831661,-0.0275,0.0275,24,011,0,1,1,Sn,False,8,-29.90800429,-34.349418,-0.04167,0.04167,6,012,0,1,2,0.492754,0.117949,1.986941,4.701496601,0.0,3.998506069,180,720,-733.85716736,-822.84786,-4.062053987500001,-3.7159127975555553,-4.16481545,4,,12.661111111111111,-841.087372,,-4.5738174375,-4.266146072222222,,1,,3.5027777777777778,3.6145915939730373,,"(0.45098039215686275, 0.08627450980392157, 0.9098039215686274)",True,False,True,True,96,101,5,"(0.047058823529411764, 0.9490196078431372, 0.0)",True,96,99,3,"(0.027450980392156862, 0.9686274509803922, 0.0)",False,,,,,False
96_Ge48Sn48_013_112_a0.133929_b0.286517_c1.385736_interface14shift3,14,3,3,Ge,False,8.333333333333332,8,-35.08485951,-38.831661,-0.04167,0.04167,8,013,0,1,3,Sn,False,8,-29.90800429,-34.349418,-0.04152,0.04152,8,112,1,1,2,0.133929,0.286517,1.385736,2.586106539,0.0,1.897323132,96,384,-284.86256561,-354.566174,-4.062053987500001,-2.2903093938541663,-2.931094739583333,4,,6.125,-430.307871,,-4.5738174375,-3.7200707499999996,,1,,2.7213541666666665,2.2507177033492822,,"(0.4117647058823529, 0.16470588235294117, 0.8313725490196079)",True,False,True,True,182,197,15,"(0.07450980392156863, 0.9215686274509803, 0.0)",True,182,182,0,"(0.0, 1.0, 0.0)",False,,,,,False
264_Si156Sn108_001_001_a0.276923_b0.041026_c2.1_interface1shift4swap8,1,4,4,Si,False,3.0303030303030303,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,Sn,False,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,0.276923,0.041026,2.1,0.582945824,0.0,1.162487268,264,1056,-1096.23261932,-1212.705901,-4.531887809375,-3.877736418068181,,4,,27.522727272727273,,,,,,1,,,,,,True,True,False,False,,,,,False,,,,,False,,,,,
168_Ge96Sn72_011_011_a0.169643_b0.579487_c2.065574_interface3shift3,3,3,3,Ge,False,4.761904761904762,8,-35.08485951,-38.831661,-0.0275,0.0275,16,011,0,1,1,Sn,False,8,-29.90800429,-34.349418,-0.02397,0.02397,12,011,0,1,1,0.169643,0.579487,2.065574,0.671433747,0.0,1.338356733,168,672,-670.55272086,-750.233478,-4.062053987500001,-3.604522958690476,-4.030073803571428,4,,9.041666666666666,-766.10571,,-4.5738174375,-4.124551375,,1,,2.505952380952381,3.6080760095011875,,"(0.4470588235294118, 0.09411764705882353, 0.9019607843137255)",True,False,True,True,162,178,16,"(0.08627450980392157, 0.9098039215686274, 0.0)",True,162,168,6,"(0.03529411764705882, 0.9607843137254902, 0.0)",False,,,,,False
336_Ge192Sn144_011_011_a0.087179_b0.410256_c2.065574_interface2shift1,2,1,1,Ge,False,2.380952380952381,8,-35.08485951,-38.831661,-0.0275,0.0275,32,011,0,1,1,Sn,False,8,-29.90800429,-34.349418,-0.02397,0.02397,24,011,0,1,1,0.087179,0.410256,2.065574,0.671433747,0.0,1.338356733,336,1344,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
48_Sn48_114_114_a0.0_b0.0_c0.0_interface1shift1swap1,1,1,1,Sn,False,16.666666666666664,8,-29.90800429,-34.349418,-0.04167,0.04167,4,114,1,1,4,Sn,False,8,-29.90800429,-34.349418,-0.04167,0.04167,4,114,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,48,192,-544.16757393,,-3.73850053625,-10.090657611458333,,4,,5.854166666666667,-34.801001,,-4.29367725,0.7062048958333333,,1,,4.557291666666667,1.2845714285714285,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,True,True,True,,,,,False,,,,,False,,,,,True
336_Ge192Sn144_011_011_a0.507692_b0.010256_c2.163935_interface4shift6,4,6,6,Ge,False,2.380952380952381,8,-35.08485951,-38.831661,-0.0275,0.0275,32,011,0,1,1,Sn,False,8,-29.90800429,-34.349418,-0.02397,0.02397,24,011,0,1,1,0.507692,0.010256,2.163935,0.671433747,0.0,1.338356733,336,1344,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
96_Si48Sn48_112_111_a0.860215_b0.150327_c1.480958_interface2shift4,2,4,4,Si,False,8.333333333333332,8,-42.60220066,-45.400925,-0.04167,0.04167,8,112,1,1,2,Sn,False,8,-29.90800429,-34.349418,-0.02936,0.02936,8,111,1,1,1,0.860215,0.150327,1.480958,3.476550341,0.0,0.950312614,96,384,,,,,,4,,,-474.500942,,-4.9843964375,-4.11198540625,,1,,9.143229166666666,,,,True,False,False,False,,,,,False,,,,,False,,,,,False
168_Ge96Sn72_111_111_a0.044025_b0.899371_c2.262296_interface11shift2,11,2,2,Ge,False,4.761904761904762,8,-35.08485951,-38.831661,0.29966,0.36701,16,111,1,1,1,Sn,False,8,-29.90800429,-34.349418,0.30397,0.36269,12,111,1,1,1,0.044025,0.899371,2.262296,0.671435356,6.83e-06,1.338350773,168,672,-683.26145915,-766.751679,-4.062053987500001,-3.6801702104166663,-4.1283964285714285,4,,13.625,-768.991546,,-4.5738174375,-4.141728970238096,,1,,0.8244047619047619,16.52707581227437,,"(0.4470588235294118, 0.09411764705882353, 0.9019607843137255)",True,False,True,True,130,135,5,"(0.03529411764705882, 0.9607843137254902, 0.0)",True,130,129,1,"(0.00392156862745098, 0.9921568627450981, 0.0)",False,,,,,False
