comparison,col1,col2,n,spearman,kendall,rmse,mae,top10_overlap
'Si_lower_or_upper',interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,450,0.9895077686049121,0.9412725771992173,232.0674309665544,45.84845551646359,8
'Si_lower',interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,350,0.9910873801994647,0.9465668887247746,238.89583137688095,45.29699874628854,8
'Si_lower_C_upper',interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,79,0.949099318403116,0.8182408308990587,1.7865675102602525,0.5775258788069613,8
'Si_lower_Ge_upper',interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,150,0.908152035747901,0.8360333079434737,364.913746589216,104.7429935990796,8
'Si_lower_Sn_upper',interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,105,0.987862624665926,0.9199195086297023,1.8069739224591297,0.7478054842434587,8
'Si_upper',interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,100,0.9887906772999213,0.9308671922377197,206.3965902019586,47.77855421207628,10
'Si_upper_C_lower',interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,3,-0.5,-0.33333333333333337,21.575256306880778,21.57525630574074,3
'Si_upper_Ge_lower',interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,58,0.9664093020394352,0.8995765275257107,170.89801676964018,40.365382796490515,10
'Si_upper_Sn_lower',interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,23,0.9782608695652174,0.8972332015810277,333.9212404732559,102.32961082722696,10
'Si_lower_and_upper',interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,16,0.9556868537666174,0.846153846153846,1.2506115420268618,1.1472750667335068,10
