comparison,col1,col2,n,spearman,kendall,rmse,mae,top10_overlap
'Ge_lower_or_upper',E_form_delta_dft,E_form_delta_mlp,506,0.9896404404697411,0.935685113005928,207.18301885961532,36.80636759260426,4
'Ge_lower',E_form_delta_dft,E_form_delta_mlp,229,0.9943153812981629,0.9522021580283794,86.66299127367179,11.582861994825038,10
'Ge_lower_Si_upper',E_form_delta_dft,E_form_delta_mlp,58,0.9664093020394352,0.8995765275257107,170.89801676964018,40.365382796490515,10
'Ge_lower_Sn_upper',E_form_delta_dft,E_form_delta_mlp,104,0.9911713087470384,0.951989688079636,1.5390882540665238,0.8277807431344534,9
'Ge_upper',E_form_delta_dft,E_form_delta_mlp,277,0.9824459922296865,0.9271809174539223,268.70495618005526,57.659013014595025,8
'Ge_upper_Si_lower',E_form_delta_dft,E_form_delta_mlp,150,0.908152035747901,0.8360333079434737,364.913746589216,104.7429935990796,8
'Ge_upper_Sn_lower',E_form_delta_dft,E_form_delta_mlp,60,0.9772004191693199,0.9114577717052825,0.9037392943056164,0.5817261308063825,5
'Ge_lower_and_upper',E_form_delta_dft,E_form_delta_mlp,67,0.9817510601636094,0.929105346596024,19.583933647535254,3.3611044377985078,10
'C_lower_or_upper',E_form_delta_dft,E_form_delta_mlp,82,0.9544193032291769,0.8301716350496838,4.483885929217821,1.3457355285728312,8
'C_lower',E_form_delta_dft,E_form_delta_mlp,3,-0.5,-0.33333333333333337,21.575256306880778,21.57525630574074,3
'C_lower_Si_upper',E_form_delta_dft,E_form_delta_mlp,3,-0.5,-0.33333333333333337,21.575256306880778,21.57525630574074,3
'C_upper',E_form_delta_dft,E_form_delta_mlp,79,0.949099318403116,0.8182408308990587,1.7865675102602525,0.5775258788069613,8
'C_upper_Si_lower',E_form_delta_dft,E_form_delta_mlp,79,0.949099318403116,0.8182408308990587,1.7865675102602525,0.5775258788069613,8
'Si_lower_or_upper',E_form_delta_dft,E_form_delta_mlp,450,0.9895077686049121,0.9412725771992173,232.0674309665544,45.84845551646359,8
'Si_lower',E_form_delta_dft,E_form_delta_mlp,350,0.9910873801994647,0.9465668887247746,238.89583137688095,45.29699874628854,8
'Si_lower_C_upper',E_form_delta_dft,E_form_delta_mlp,79,0.949099318403116,0.8182408308990587,1.7865675102602525,0.5775258788069613,8
'Si_lower_Ge_upper',E_form_delta_dft,E_form_delta_mlp,150,0.908152035747901,0.8360333079434737,364.913746589216,104.7429935990796,8
'Si_lower_Sn_upper',E_form_delta_dft,E_form_delta_mlp,105,0.987862624665926,0.9199195086297023,1.8069739224591297,0.7478054842434587,8
'Si_upper',E_form_delta_dft,E_form_delta_mlp,100,0.9887906772999213,0.9308671922377197,206.3965902019586,47.77855421207628,10
'Si_upper_C_lower',E_form_delta_dft,E_form_delta_mlp,3,-0.5,-0.33333333333333337,21.575256306880778,21.57525630574074,3
'Si_upper_Ge_lower',E_form_delta_dft,E_form_delta_mlp,58,0.9664093020394352,0.8995765275257107,170.89801676964018,40.365382796490515,10
'Si_upper_Sn_lower',E_form_delta_dft,E_form_delta_mlp,23,0.9782608695652174,0.8972332015810277,333.9212404732559,102.32961082722696,10
'Si_lower_and_upper',E_form_delta_dft,E_form_delta_mlp,16,0.9556868537666174,0.846153846153846,1.2506115420268618,1.1472750667335068,10
'Sn_lower_or_upper',E_form_delta_dft,E_form_delta_mlp,322,0.9959619163199305,0.9584765501434837,89.25793036258737,8.129578059243991,8
'Sn_lower',E_form_delta_dft,E_form_delta_mlp,98,0.9901271013445098,0.9358611092200868,161.77278171268995,24.702040708263375,10
'Sn_lower_Si_upper',E_form_delta_dft,E_form_delta_mlp,23,0.9782608695652174,0.8972332015810277,333.9212404732559,102.32961082722696,10
'Sn_lower_Ge_upper',E_form_delta_dft,E_form_delta_mlp,60,0.9772004191693199,0.9114577717052825,0.9037392943056164,0.5817261308063825,5
'Sn_upper',E_form_delta_dft,E_form_delta_mlp,224,0.9966460965989521,0.9617895899949457,1.7224025490572028,0.8791256502980119,8
'Sn_upper_Si_lower',E_form_delta_dft,E_form_delta_mlp,105,0.987862624665926,0.9199195086297023,1.8069739224591297,0.7478054842434587,8
'Sn_upper_Ge_lower',E_form_delta_dft,E_form_delta_mlp,104,0.9911713087470384,0.951989688079636,1.5390882540665238,0.8277807431344534,9
'Sn_lower_and_upper',E_form_delta_dft,E_form_delta_mlp,15,0.8779174147217232,0.7254901960784315,2.241108591166046,2.154358169013889,9
