Si Bulk DFT energetics calculations using VASP
Running on host: comp082
Working directory: /lustre/projects/Research_Project-T127870/ah1365/task/investigate_artimus/SiGe/20250404210804/DRUN_MLP_MACE/20250427231949/D39/DSHIFT/D03/DSWAP/D04
Job started on: Sun 27 Apr 23:32:07 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 00:32:33    -1128.464294        0.945731
FIRE:    1 00:32:50    -1128.721820        0.919452
FIRE:    2 00:33:07    -1129.191359        0.869815
FIRE:    3 00:33:24    -1129.801326        0.801851
FIRE:    4 00:33:41    -1130.485980        0.750996
FIRE:    5 00:33:57    -1131.160472        0.737877
FIRE:    6 00:34:14    -1131.818778        0.772953
FIRE:    7 00:34:31    -1132.504348        0.835640
FIRE:    8 00:34:48    -1133.238550        0.881078
FIRE:    9 00:35:05    -1134.018281        0.912122
FIRE:   10 00:35:22    -1134.829115        0.931783
FIRE:   11 00:35:39    -1135.657034        0.935962
FIRE:   12 00:35:56    -1136.490715        0.964102
FIRE:   13 00:36:13    -1137.318088        0.980789
FIRE:   14 00:36:30    -1138.122547        0.972589
FIRE:   15 00:36:47    -1138.882576        0.928937
FIRE:   16 00:37:04    -1139.575224        0.837090
FIRE:   17 00:37:21    -1140.182055        0.731074
FIRE:   18 00:37:38    -1140.694802        0.635681
FIRE:   19 00:37:55    -1141.120697        0.659355
FIRE:   20 00:38:12    -1141.482898        0.647033
FIRE:   21 00:38:29    -1141.809901        0.586580
FIRE:   22 00:38:46    -1142.118977        0.585811
FIRE:   23 00:39:03    -1142.408208        0.511421
FIRE:   24 00:39:20    -1142.665932        0.384956
FIRE:   25 00:39:37    -1142.882194        0.340742
FIRE:   26 00:39:54    -1143.055338        0.322369
FIRE:   27 00:40:11    -1143.196512        0.435640
FIRE:   28 00:40:28    -1143.326525        0.520490
FIRE:   29 00:40:45    -1143.459776        0.500278
FIRE:   30 00:41:02    -1143.589911        0.377055
FIRE:   31 00:41:19    -1143.697575        0.273280
FIRE:   32 00:41:36    -1143.767915        0.279980
FIRE:   33 00:41:54    -1143.801972        0.328959
FIRE:   34 00:42:11    -1143.968933        0.180100
FIRE:   35 00:42:28    -1144.025008        0.184798
FIRE:   36 00:42:45    -1144.052836        0.108962
FIRE:   37 00:43:02    -1144.073790        0.079214
FIRE:   38 00:43:19    -1144.082819        0.141467
FIRE:   39 00:43:36    -1144.099655        0.142512
FIRE:   40 00:43:53    -1144.123943        0.100228
FIRE:   41 00:44:10    -1144.142615        0.084722
FIRE:   42 00:44:27    -1144.154285        0.094914
FIRE:   43 00:44:44    -1144.168688        0.100996
FIRE:   44 00:45:02    -1144.184625        0.068610
FIRE:   45 00:45:19    -1144.187778        0.104191
FIRE:   46 00:45:36    -1144.190525        0.089878
FIRE:   47 00:45:53    -1144.194369        0.063892
FIRE:   48 00:46:10    -1144.197365        0.032135
FIRE:   49 00:46:27    -1144.198854        0.045748
FIRE:   50 00:46:44    -1144.199791        0.060174
FIRE:   51 00:47:01    -1144.201151        0.058634
FIRE:   52 00:47:18    -1144.202970        0.042632
FIRE:   53 00:47:35    -1144.204871        0.033480
FIRE:   54 00:47:52    -1144.206195        0.032839
FIRE:   55 00:48:10    -1144.207216        0.039388
FIRE:   56 00:48:27    -1144.208750        0.033774
FIRE:   57 00:48:44    -1144.210422        0.024663
FIRE:   58 00:49:01    -1144.211413        0.030894
FIRE:   59 00:49:18    -1144.211824        0.026191
FIRE:   60 00:49:35    -1144.212469        0.021604
FIRE:   61 00:49:52    -1144.213136        0.021898
FIRE:   62 00:50:09    -1144.213688        0.022434
FIRE:   63 00:50:26    -1144.214174        0.023132
FIRE:   64 00:50:43    -1144.214725        0.023868
FIRE:   65 00:51:01    -1144.215413        0.024580
FIRE:   66 00:51:18    -1144.216314        0.025352
FIRE:   67 00:51:35    -1144.217393        0.026232
FIRE:   68 00:51:52    -1144.218674        0.027099
FIRE:   69 00:52:09    -1144.220325        0.027442
FIRE:   70 00:52:26    -1144.222600        0.026545
FIRE:   71 00:52:43    -1144.225587        0.024139
FIRE:   72 00:53:00    -1144.229509        0.024129
FIRE:   73 00:53:17    -1144.234899        0.028323
FIRE:   74 00:53:34    -1144.241546        0.035893
FIRE:   75 00:53:51    -1144.249871        0.042291
FIRE:   76 00:54:08    -1144.261577        0.057181
FIRE:   77 00:54:26    -1144.279629        0.074523
FIRE:   78 00:54:43    -1144.308300        0.079632
FIRE:   79 00:55:00    -1144.338456        0.074335
FIRE:   80 00:55:17    -1144.363442        0.062357
FIRE:   81 00:55:34    -1144.378733        0.087400
FIRE:   82 00:55:51    -1144.380652        0.196474
FIRE:   83 00:56:08    -1144.382539        0.243661
FIRE:   84 00:56:25    -1144.389682        0.113057
FIRE:   85 00:56:42    -1144.391837        0.077059
FIRE:   86 00:56:59    -1144.392133        0.066113
FIRE:   87 00:57:17    -1144.392622        0.045825
FIRE:   88 00:57:34    -1144.393149        0.037653
FIRE:   89 00:57:51    -1144.393605        0.036814
FIRE:   90 00:58:08    -1144.393984        0.035496
FIRE:   91 00:58:25    -1144.394390        0.049174
FIRE:   92 00:58:42    -1144.394911        0.052868
FIRE:   93 00:58:59    -1144.395655        0.044201
FIRE:   94 00:59:16    -1144.396547        0.023909
FIRE:   95 00:59:33    -1144.397414        0.019041
FIRE:   96 00:59:50    -1144.398217        0.033332
FIRE:   97 01:00:07    -1144.399138        0.035499
FIRE:   98 01:00:25    -1144.400248        0.020500
FIRE:   99 01:00:42    -1144.401246        0.023201
FIRE:  100 01:00:59    -1144.402217        0.032637
FIRE:  101 01:01:16    -1144.403397        0.016960
FIRE:  102 01:01:33    -1144.404457        0.031340
FIRE:  103 01:01:50    -1144.405708        0.016311
FIRE:  104 01:02:07    -1144.406903        0.033384
FIRE:  105 01:02:24    -1144.408279        0.013596
FIRE:  106 01:02:41    -1144.409464        0.029430
FIRE:  107 01:02:58    -1144.410549        0.040484
FIRE:  108 01:03:16    -1144.411324        0.053001
FIRE:  109 01:03:33    -1144.411647        0.013678
FIRE:  110 01:03:50    -1144.411629        0.035610
FIRE:  111 01:04:07    -1144.411679        0.029234
FIRE:  112 01:04:24    -1144.411752        0.017689
FIRE:  113 01:04:41    -1144.411805        0.004854
MACE calculation complete. Energy written to MACE_OUTCAR: -1144.411805 eV
Job ended on: Mon 28 Apr 00:04:42 UTC 2025
