Si Bulk DFT energetics calculations using VASP
Running on host: comp165
Working directory: /lustre/projects/Research_Project-T127870/ah1365/task/investigate_artimus/SiGe/20250404210804/DRUN_MLP_MACE/20250427231949/D21/DSHIFT/D04
Job started on: Sun 27 Apr 23:39:04 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 00:39:35    -1717.935042        8.722428
FIRE:    1 00:40:01    -1721.788281        4.269433
FIRE:    2 00:40:26    -1723.732690        1.546562
FIRE:    3 00:40:52    -1724.640191        1.122214
FIRE:    4 00:41:17    -1725.109931        1.111860
FIRE:    5 00:41:42    -1725.554363        1.506417
FIRE:    6 00:42:07    -1726.144907        1.681722
FIRE:    7 00:42:32    -1726.890013        1.664626
FIRE:    8 00:42:58    -1727.727964        1.499323
FIRE:    9 00:43:23    -1728.579620        1.256509
FIRE:   10 00:43:48    -1729.389639        0.978162
FIRE:   11 00:44:14    -1730.120315        0.784140
FIRE:   12 00:44:39    -1730.744344        0.740070
FIRE:   13 00:45:05    -1731.252409        0.656811
FIRE:   14 00:45:30    -1731.672472        0.711234
FIRE:   15 00:45:55    -1732.075138        0.957773
FIRE:   16 00:46:21    -1732.524514        0.909365
FIRE:   17 00:46:46    -1733.014132        0.627799
FIRE:   18 00:47:12    -1733.486746        0.634494
FIRE:   19 00:47:37    -1733.911419        0.684946
FIRE:   20 00:48:03    -1734.307940        0.737932
FIRE:   21 00:48:28    -1734.715474        0.789659
FIRE:   22 00:48:54    -1735.158339        0.830625
FIRE:   23 00:49:19    -1735.632029        0.830505
FIRE:   24 00:49:45    -1736.109602        0.762310
FIRE:   25 00:50:10    -1736.562059        0.819121
FIRE:   26 00:50:36    -1736.985799        0.852435
FIRE:   27 00:51:02    -1737.404400        0.815020
FIRE:   28 00:51:27    -1737.814858        0.663324
FIRE:   29 00:51:53    -1738.168371        0.487141
FIRE:   30 00:52:19    -1738.438797        0.372276
FIRE:   31 00:52:44    -1738.659660        0.425005
FIRE:   32 00:53:10    -1738.855388        0.482319
FIRE:   33 00:53:36    -1739.024551        0.479407
FIRE:   34 00:54:01    -1739.153409        0.672114
FIRE:   35 00:54:27    -1739.247524        0.882194
FIRE:   36 00:54:53    -1739.347111        0.907654
FIRE:   37 00:55:18    -1739.487880        0.699466
FIRE:   38 00:55:44    -1739.669767        0.697923
FIRE:   39 00:56:10    -1739.876187        0.793519
FIRE:   40 00:56:36    -1740.092623        0.831372
FIRE:   41 00:57:01    -1740.303509        0.730376
FIRE:   42 00:57:27    -1740.486200        0.462053
FIRE:   43 00:57:53    -1740.637634        0.450726
FIRE:   44 00:58:19    -1740.796392        0.436569
FIRE:   45 00:58:44    -1740.968871        0.464902
FIRE:   46 00:59:10    -1741.145510        0.522995
FIRE:   47 00:59:36    -1741.330887        0.688057
FIRE:   48 01:00:01    -1741.541499        0.884993
FIRE:   49 01:00:27    -1741.796759        0.973868
FIRE:   50 01:00:53    -1742.079535        0.847403
FIRE:   51 01:01:19    -1742.336950        0.606758
FIRE:   52 01:01:44    -1742.539673        0.403579
FIRE:   53 01:02:10    -1742.701533        0.279045
FIRE:   54 01:02:36    -1742.829064        0.265352
FIRE:   55 01:03:02    -1742.908398        0.353544
FIRE:   56 01:03:27    -1742.931017        0.459592
FIRE:   57 01:03:53    -1743.212997        0.209419
FIRE:   58 01:04:19    -1743.321687        0.204764
FIRE:   59 01:04:45    -1743.360280        0.342491
FIRE:   60 01:05:10    -1743.427399        0.242985
FIRE:   61 01:05:36    -1743.485007        0.165745
FIRE:   62 01:06:02    -1743.509914        0.182435
FIRE:   63 01:06:28    -1743.552853        0.224051
FIRE:   64 01:06:53    -1743.636588        0.191901
FIRE:   65 01:07:19    -1743.729815        0.272730
FIRE:   66 01:07:45    -1743.826677        0.383598
FIRE:   67 01:08:11    -1743.959442        0.508847
FIRE:   68 01:08:36    -1744.137625        0.602617
FIRE:   69 01:09:02    -1744.333203        0.581221
FIRE:   70 01:09:28    -1744.497734        0.415707
FIRE:   71 01:09:53    -1744.641164        0.364714
FIRE:   72 01:10:19    -1744.775275        0.288195
FIRE:   73 01:10:45    -1744.877315        0.411120
FIRE:   74 01:11:11    -1744.967948        0.521406
FIRE:   75 01:11:36    -1745.074811        0.438651
FIRE:   76 01:12:02    -1745.174942        0.231737
FIRE:   77 01:12:28    -1745.246430        0.252277
FIRE:   78 01:12:54    -1745.311542        0.335990
FIRE:   79 01:13:19    -1745.400526        0.436818
FIRE:   80 01:13:45    -1745.526607        0.522542
FIRE:   81 01:14:11    -1745.677569        0.563041
FIRE:   82 01:14:37    -1745.835381        0.560789
FIRE:   83 01:15:02    -1745.989772        0.485262
FIRE:   84 01:15:28    -1746.101489        0.296848
FIRE:   85 01:15:54    -1746.131615        0.548101
FIRE:   86 01:16:19    -1746.243198        0.262999
FIRE:   87 01:16:45    -1746.268064        0.448902
FIRE:   88 01:17:11    -1746.302802        0.341678
FIRE:   89 01:17:37    -1746.334809        0.134916
FIRE:   90 01:18:02    -1746.340348        0.249257
FIRE:   91 01:18:28    -1746.344378        0.230317
FIRE:   92 01:18:54    -1746.351095        0.194816
FIRE:   93 01:19:20    -1746.358444        0.147228
FIRE:   94 01:19:45    -1746.364623        0.093918
FIRE:   95 01:20:11    -1746.369091        0.118986
FIRE:   96 01:20:37    -1746.372734        0.153787
FIRE:   97 01:21:02    -1746.376910        0.169010
FIRE:   98 01:21:28    -1746.383031        0.162505
FIRE:   99 01:21:54    -1746.391046        0.131255
FIRE:  100 01:22:20    -1746.399324        0.077901
FIRE:  101 01:22:45    -1746.405443        0.051766
FIRE:  102 01:23:11    -1746.409094        0.076785
FIRE:  103 01:23:37    -1746.412113        0.072488
FIRE:  104 01:24:02    -1746.414582        0.050741
FIRE:  105 01:24:28    -1746.414304        0.043639
FIRE:  106 01:24:54    -1746.414640        0.039680
FIRE:  107 01:25:20    -1746.415178        0.032414
FIRE:  108 01:25:46    -1746.415732        0.023266
FIRE:  109 01:26:11    -1746.416157        0.022592
FIRE:  110 01:26:37    -1746.416474        0.032594
FIRE:  111 01:27:03    -1746.416776        0.037136
FIRE:  112 01:27:29    -1746.417160        0.035363
