Si Bulk DFT energetics calculations using VASP
Running on host: comp048
Working directory: /lustre/projects/Research_Project-T127870/ah1365/task/investigate_artimus/SiGe/20250404210804/DRUN_MLP_MACE/20250427231949/D51/DSHIFT/D05/DSWAP/D04
Job started on: Mon 28 Apr 00:49:33 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 01:49:43     -248.000729        0.737477
FIRE:    1 01:49:47     -248.083668        0.621563
FIRE:    2 01:49:51     -248.207918        0.452075
FIRE:    3 01:49:54     -248.316686        0.323195
FIRE:    4 01:49:58     -248.375901        0.299517
FIRE:    5 01:50:01     -248.399429        0.394944
FIRE:    6 01:50:05     -248.405314        0.377374
FIRE:    7 01:50:09     -248.416218        0.343576
FIRE:    8 01:50:12     -248.430597        0.296102
FIRE:    9 01:50:16     -248.446564        0.251013
FIRE:   10 01:50:19     -248.462246        0.224028
FIRE:   11 01:50:23     -248.476257        0.196298
FIRE:   12 01:50:26     -248.487978        0.173417
FIRE:   13 01:50:30     -248.498628        0.183291
FIRE:   14 01:50:33     -248.509070        0.189912
FIRE:   15 01:50:37     -248.521190        0.193234
FIRE:   16 01:50:41     -248.537146        0.191390
FIRE:   17 01:50:44     -248.557987        0.165892
FIRE:   18 01:50:48     -248.582335        0.150526
FIRE:   19 01:50:51     -248.606012        0.122065
FIRE:   20 01:50:55     -248.625216        0.145146
FIRE:   21 01:50:58     -248.642296        0.183339
FIRE:   22 01:51:02     -248.662307        0.154567
FIRE:   23 01:51:06     -248.683342        0.088438
FIRE:   24 01:51:09     -248.697535        0.110650
FIRE:   25 01:51:13     -248.706886        0.107452
FIRE:   26 01:51:16     -248.716678        0.081363
FIRE:   27 01:51:20     -248.721854        0.109598
FIRE:   28 01:51:24     -248.723708        0.089336
FIRE:   29 01:51:27     -248.726633        0.065129
FIRE:   30 01:51:31     -248.729631        0.049739
FIRE:   31 01:51:35     -248.732240        0.047973
FIRE:   32 01:51:38     -248.734796        0.060773
FIRE:   33 01:51:42     -248.737814        0.065889
FIRE:   34 01:51:45     -248.741380        0.053784
FIRE:   35 01:51:49     -248.745329        0.035136
FIRE:   36 01:51:53     -248.748862        0.039344
FIRE:   37 01:51:56     -248.752126        0.046594
FIRE:   38 01:52:00     -248.756131        0.042279
FIRE:   39 01:52:04     -248.760467        0.027012
FIRE:   40 01:52:07     -248.764129        0.057751
FIRE:   41 01:52:11     -248.768741        0.050006
FIRE:   42 01:52:14     -248.774279        0.038435
FIRE:   43 01:52:18     -248.780930        0.047155
FIRE:   44 01:52:22     -248.789161        0.029405
FIRE:   45 01:52:25     -248.797567        0.031816
FIRE:   46 01:52:29     -248.805157        0.063301
FIRE:   47 01:52:32     -248.812899        0.039302
FIRE:   48 01:52:36     -248.819825        0.034687
FIRE:   49 01:52:40     -248.825491        0.055385
FIRE:   50 01:52:43     -248.822384        0.142767
FIRE:   51 01:52:47     -248.832046        0.011108
FIRE:   52 01:52:50     -248.832088        0.009992
MACE calculation complete. Energy written to MACE_OUTCAR: -248.832088 eV
Job ended on: Mon 28 Apr 00:52:51 UTC 2025
