interface,dft_energy,mlp_energy,n_Si,n_Ge,dft_form,dft_compute_time,mlp_form,mlp_compute_time
78_Si12Ge66_122_001_a0.065789_b0.803279_c1.0_interface34shift3,-306.57206459,-382.366556,12,66,0.5249735308974354,1520.0,-0.4576161025641024,507.0
78_Si12Ge66_122_001_a0.25_b0.811475_c1.1_interface50shift5,-316.56036138,-382.399496,12,66,0.3969184438461534,1603.0,-0.45803841025641007,656.0
48_Si24Ge24_011_011_a0.166667_b0.010638_c2.4_interface51shift3,-230.1115317,-248.682387,24,24,0.05600975624999963,718.0,-0.3408830625000003,233.0
78_Si12Ge66_122_001_a0.263158_b0.803279_c1.0_interface50shift2,-306.6329589,-382.366618,12,66,0.5241928346153844,1512.0,-0.45761689743589745,686.0
78_Si12Ge66_122_001_a0.0_b0.057377_c1.1_interface49shift1,-317.17205452,-382.481742,12,66,0.38907622410256365,1534.0,-0.45909284615384593,591.0
144_Si72Ge72_011_011_a0.031915_b0.150376_c2.2_interface29shift3swap2,-687.67973379,-750.222018,72,72,0.07444629312500063,1869.0,-0.3698751250000001,641.0
78_Si66Ge12_001_122_a0.106557_b0.0_c1.0_interface47shift1,-361.52372943,-426.452703,66,12,0.6096957765384613,2700.0,-0.23186157692307738,438.0
144_Si72Ge72_011_011_a0.021277_b0.157895_c2.2_interface29shift5swap3,-689.25014368,-750.162806,72,72,0.06354066888888986,1770.0,-0.3694639305555556,651.0
44_Si22Ge22_001_001_a0.055556_b0.314815_c0.0_interface54shift1,-194.92392883,-228.95173,22,22,0.41991070840909117,720.0,-0.36344840909090953,544.0
48_Si24Ge24_011_011_a0.148148_b0.0_c2.4_interface51shift4,-229.99228271,-248.680967,24,24,0.05849411020833273,675.0,-0.34085347916666703,231.0
78_Si12Ge66_122_001_a0.065789_b0.057377_c1.1_interface33shift3,-317.64613549,-382.567629,12,66,0.38299826294871764,1537.0,-0.4601939615384615,912.0
114_Si66Ge48_001_011_a0.0_b0.0_c2.0_interface6shift2,-550.09563653,-601.593222,66,48,0.11459967956140342,2682.0,-0.3469361578947364,1007.0
48_Si24Ge24_011_011_a0.240741_b0.053191_c2.4_interface51shift5swap4,-230.20877126,-248.832088,24,24,0.05398393208333315,707.0,-0.34400183333333345,198.0
44_Si22Ge22_001_001_a0.259259_b0.259259_c1.5_interface55shift3,-209.04295468,-227.809743,22,22,0.09902375727272722,537.0,-0.3374941590909095,267.0
