Job started on: Thu Jun 12 01:59:57 PM UTC 2025\n
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /home/alexander/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 15:00:31     -477.263288        1.417337
FIRE:    1 15:00:32     -477.501262        1.177637
FIRE:    2 15:00:35     -477.899671        1.051380
FIRE:    3 15:00:39     -478.373511        0.958283
FIRE:    4 15:00:39     -478.873603        0.800762
FIRE:    5 15:00:39     -479.382602        0.683443
FIRE:    6 15:00:40     -479.883827        0.707939
FIRE:    7 15:00:44     -480.393297        0.728220
FIRE:    8 15:00:44     -480.914522        0.734517
FIRE:    9 15:00:45     -481.432091        0.708636
FIRE:   10 15:00:45     -481.929288        0.651206
FIRE:   11 15:00:45     -482.394150        0.658336
FIRE:   12 15:00:46     -482.822575        0.644578
FIRE:   13 15:00:46     -483.218779        0.593115
FIRE:   14 15:00:47     -483.589188        0.533736
FIRE:   15 15:00:47     -483.937810        0.542941
FIRE:   16 15:00:48     -484.267861        0.530529
FIRE:   17 15:00:48     -484.583661        0.517891
FIRE:   18 15:00:49     -484.884982        0.509844
FIRE:   19 15:00:49     -485.163523        0.496939
FIRE:   20 15:00:50     -485.411605        0.502275
FIRE:   21 15:00:50     -485.637559        0.511620
FIRE:   22 15:00:50     -485.863749        0.505507
FIRE:   23 15:00:51     -486.099442        0.513182
FIRE:   24 15:00:51     -486.340158        0.588297
FIRE:   25 15:00:52     -486.588151        0.661319
FIRE:   26 15:00:52     -486.852256        0.709182
FIRE:   27 15:00:53     -487.122972        0.720746
FIRE:   28 15:00:53     -487.381080        0.681164
FIRE:   29 15:00:55     -487.598959        0.519391
FIRE:   30 15:00:55     -487.739664        0.324308
FIRE:   31 15:00:55     -487.791556        0.371621
FIRE:   32 15:00:58     -487.936516        0.120242
FIRE:   33 15:00:59     -488.001589        0.195271
FIRE:   34 15:01:00     -488.061200        0.186780
FIRE:   35 15:01:13     -488.120817        0.149943
FIRE:   36 15:01:14     -488.163083        0.153381
FIRE:   37 15:01:14     -488.201600        0.178080
FIRE:   38 15:01:15     -488.246141        0.093355
FIRE:   39 15:01:15     -488.283029        0.076233
FIRE:   40 15:01:15     -488.310370        0.115364
FIRE:   41 15:01:16     -488.337079        0.108094
FIRE:   42 15:01:16     -488.364429        0.059492
FIRE:   43 15:01:17     -488.386554        0.067400
FIRE:   44 15:01:17     -488.404458        0.059416
FIRE:   45 15:01:18     -488.417792        0.055782
FIRE:   46 15:01:18     -488.421414        0.063818
FIRE:   47 15:01:19     -488.431382        0.040811
FIRE:   48 15:01:19     -488.436080        0.045189
FIRE:   49 15:01:19     -488.438171        0.028571
FIRE:   50 15:01:20     -488.439965        0.016244
FIRE:   51 15:01:20     -488.440418        0.024542
FIRE:   52 15:01:21     -488.440617        0.022225
FIRE:   53 15:01:21     -488.440942        0.018441
FIRE:   54 15:01:22     -488.441305        0.016621
FIRE:   55 15:01:22     -488.441618        0.014981
FIRE:   56 15:01:23     -488.441871        0.013957
FIRE:   57 15:01:23     -488.442111        0.013582
FIRE:   58 15:01:24     -488.442386        0.013453
FIRE:   59 15:01:24     -488.442772        0.014116
FIRE:   60 15:01:25     -488.443275        0.012809
FIRE:   61 15:01:25     -488.443862        0.011212
FIRE:   62 15:01:26     -488.444474        0.011591
FIRE:   63 15:01:26     -488.445100        0.013698
FIRE:   64 15:01:26     -488.445726        0.015086
FIRE:   65 15:01:27     -488.446439        0.013821
FIRE:   66 15:01:27     -488.447174        0.011414
FIRE:   67 15:01:28     -488.447790        0.010595
FIRE:   68 15:01:28     -488.448432        0.010199
FIRE:   69 15:01:29     -488.449032        0.006642
MACE calculation complete. Energy written to MACE_OUTCAR: -488.449032 eV
Job ended on: Thu Jun 12 02:02:03 PM UTC 2025\n
