Si Bulk DFT energetics calculations using VASP
Running on host: comp106
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/120_Si120_001_001_a0.0_b0.0_c0.0_interface9shift1
Job started on: Mon  9 Jun 20:07:51 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 21:08:07       96.482945      221.425501
FIRE:    1 21:08:18      -54.310567      163.611923
FIRE:    2 21:08:28     -172.057046      132.442471
FIRE:    3 21:08:38     -270.331117      109.822647
FIRE:    4 21:08:48     -350.145258       85.314960
FIRE:    5 21:08:58     -411.103754       63.144372
FIRE:    6 21:09:08     -457.409940       46.757131
FIRE:    7 21:09:18     -491.480638       31.300343
FIRE:    8 21:09:28     -516.292767       21.913725
FIRE:    9 21:09:39     -535.751619       18.800690
FIRE:   10 21:09:49     -551.896224       16.948597
FIRE:   11 21:09:59     -565.828286       15.525590
FIRE:   12 21:10:09     -578.142516       13.931460
FIRE:   13 21:10:19     -588.884045       12.165280
FIRE:   14 21:10:29     -598.141206       10.673398
FIRE:   15 21:10:39     -606.145855       10.774735
FIRE:   16 21:10:49     -613.079425       10.519427
FIRE:   17 21:10:59     -619.048337        9.869659
FIRE:   18 21:11:09     -624.094301        8.827419
FIRE:   19 21:11:19     -628.245326        7.450807
FIRE:   20 21:11:30     -631.550087        5.868747
FIRE:   21 21:11:40     -634.068904        4.246610
FIRE:   22 21:11:50     -635.890573        2.691286
FIRE:   23 21:12:00     -637.136963        2.184022
FIRE:   24 21:12:10     -637.951117        2.152324
FIRE:   25 21:12:20     -638.487317        2.196308
FIRE:   26 21:12:30     -638.892673        2.322594
FIRE:   27 21:12:40     -639.288863        2.634978
FIRE:   28 21:12:50     -639.762463        3.052049
FIRE:   29 21:13:00     -640.357711        3.253143
FIRE:   30 21:13:10     -641.068656        3.188455
FIRE:   31 21:13:21     -641.838185        2.859786
FIRE:   32 21:13:30     -642.564301        2.359018
FIRE:   33 21:13:41     -643.152186        2.271709
FIRE:   34 21:13:51     -643.548205        2.143115
FIRE:   35 21:14:01     -643.753345        1.977450
FIRE:   36 21:14:11     -645.346177        1.638214
FIRE:   37 21:14:21     -646.523489        1.273697
FIRE:   38 21:14:31     -647.382046        0.833967
FIRE:   39 21:14:41     -647.963222        0.529358
FIRE:   40 21:14:51     -648.266919        0.620159
FIRE:   41 21:15:01     -648.354165        1.390715
FIRE:   42 21:15:11     -648.848946        0.273200
FIRE:   43 21:15:21     -648.915064        0.888925
FIRE:   44 21:15:31     -649.033049        0.663260
FIRE:   45 21:15:41     -649.181589        0.281483
FIRE:   46 21:15:51     -649.270739        0.326146
FIRE:   47 21:16:02     -649.334099        0.708161
FIRE:   48 21:16:12     -649.477182        0.693142
FIRE:   49 21:16:22     -649.687152        0.319007
FIRE:   50 21:16:32     -649.865331        0.247536
FIRE:   51 21:16:42     -650.021793        0.483218
FIRE:   52 21:16:52     -650.235532        0.461409
FIRE:   53 21:17:02     -650.477956        0.338570
FIRE:   54 21:17:12     -650.694876        0.341069
FIRE:   55 21:17:22     -650.906949        0.335319
FIRE:   56 21:17:32     -651.132780        0.273111
FIRE:   57 21:17:42     -651.349236        0.238734
FIRE:   58 21:17:53     -651.545893        0.223281
FIRE:   59 21:18:03     -651.729001        0.197574
FIRE:   60 21:18:13     -651.902818        0.169181
FIRE:   61 21:18:23     -652.063217        0.162588
FIRE:   62 21:18:33     -652.212363        0.189555
FIRE:   63 21:18:43     -652.359733        0.195170
FIRE:   64 21:18:53     -652.508413        0.179309
FIRE:   65 21:19:03     -652.662247        0.183878
FIRE:   66 21:19:13     -652.826149        0.214522
FIRE:   67 21:19:24     -652.997954        0.210393
FIRE:   68 21:19:34     -653.168986        0.175269
FIRE:   69 21:19:44     -653.328314        0.132860
FIRE:   70 21:19:54     -653.469131        0.117630
FIRE:   71 21:20:04     -653.591988        0.108685
