Si Bulk DFT energetics calculations using VASP
Running on host: comp155
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift2
Job started on: Thu  5 Jun 15:14:59 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 16:15:15     -624.474575        1.590417
FIRE:    1 16:15:25     -624.760946        1.469505
FIRE:    2 16:15:34     -625.231488        1.254932
FIRE:    3 16:15:43     -625.742038        0.989369
FIRE:    4 16:15:53     -626.185975        0.717213
FIRE:    5 16:16:02     -626.546078        0.635880
FIRE:    6 16:16:11     -626.877174        0.822497
FIRE:    7 16:16:21     -627.220212        0.861618
FIRE:    8 16:16:30     -627.567202        0.755260
FIRE:    9 16:16:39     -627.887717        0.592299
FIRE:   10 16:16:49     -628.180759        0.457215
FIRE:   11 16:16:58     -628.459184        0.397883
FIRE:   12 16:17:08     -628.734916        0.439211
FIRE:   13 16:17:17     -629.012582        0.428981
FIRE:   14 16:17:26     -629.284190        0.416041
FIRE:   15 16:17:36     -629.537819        0.414147
FIRE:   16 16:17:45     -629.771400        0.410969
FIRE:   17 16:17:54     -629.996454        0.403518
FIRE:   18 16:18:04     -630.228659        0.394440
FIRE:   19 16:18:13     -630.477000        0.458070
FIRE:   20 16:18:22     -630.740721        0.514173
FIRE:   21 16:18:32     -631.008255        0.535099
FIRE:   22 16:18:41     -631.258214        0.499648
FIRE:   23 16:18:51     -631.478416        0.459541
FIRE:   24 16:19:00     -631.681595        0.441012
FIRE:   25 16:19:09     -631.866629        0.360962
FIRE:   26 16:19:18     -632.020434        0.463156
FIRE:   27 16:19:28     -632.150183        0.605027
FIRE:   28 16:19:37     -632.282550        0.673802
FIRE:   29 16:19:46     -632.444006        0.616377
FIRE:   30 16:19:56     -632.626728        0.437281
FIRE:   31 16:20:05     -632.797870        0.337888
FIRE:   32 16:20:14     -632.940428        0.296944
FIRE:   33 16:20:24     -633.063703        0.247141
FIRE:   34 16:20:33     -633.184121        0.296561
FIRE:   35 16:20:42     -633.307005        0.307438
FIRE:   36 16:20:52     -633.423931        0.272816
FIRE:   37 16:21:01     -633.523631        0.203414
FIRE:   38 16:21:10     -633.604671        0.191691
FIRE:   39 16:21:20     -633.678014        0.222757
FIRE:   40 16:21:29     -633.756789        0.224237
FIRE:   41 16:21:38     -633.842964        0.191716
FIRE:   42 16:21:48     -633.926606        0.146607
FIRE:   43 16:21:57     -633.996777        0.138678
FIRE:   44 16:22:06     -634.050186        0.155627
FIRE:   45 16:22:15     -634.090964        0.155351
FIRE:   46 16:22:25     -634.124920        0.141056
FIRE:   47 16:22:34     -634.154674        0.124811
FIRE:   48 16:22:43     -634.178865        0.123663
FIRE:   49 16:22:53     -634.196378        0.182882
FIRE:   50 16:23:02     -634.211312        0.227032
FIRE:   51 16:23:12     -634.229670        0.210773
FIRE:   52 16:23:21     -634.252131        0.141222
FIRE:   53 16:23:30     -634.271699        0.111301
FIRE:   54 16:23:40     -634.280449        0.109016
FIRE:   55 16:23:49     -634.321814        0.140914
FIRE:   56 16:23:58     -634.336998        0.075979
FIRE:   57 16:24:08     -634.346176        0.084939
FIRE:   58 16:24:17     -634.353572        0.104628
FIRE:   59 16:24:27     -634.369650        0.065178
FIRE:   60 16:24:36     -634.382007        0.044804
FIRE:   61 16:24:45     -634.387499        0.080596
FIRE:   62 16:24:55     -634.394858        0.070582
FIRE:   63 16:25:04     -634.401092        0.048756
FIRE:   64 16:25:13     -634.403359        0.065022
FIRE:   65 16:25:23     -634.404712        0.052874
FIRE:   66 16:25:32     -634.406403        0.031238
FIRE:   67 16:25:41     -634.407282        0.015776
FIRE:   68 16:25:51     -634.407250        0.038745
FIRE:   69 16:26:00     -634.407352        0.036827
FIRE:   70 16:26:09     -634.407543        0.033101
FIRE:   71 16:26:19     -634.407782        0.027789
FIRE:   72 16:26:28     -634.408022        0.021219
FIRE:   73 16:26:37     -634.408243        0.013834
FIRE:   74 16:26:47     -634.408408        0.008413
MACE calculation complete. Energy written to MACE_OUTCAR: -634.408408 eV
Job ended on: Thu  5 Jun 15:26:47 UTC 2025
