Si Bulk DFT energetics calculations using VASP
Running on host: comp191
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift3swap3
Job started on: Fri  6 Jun 14:13:24 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 15:14:48     -622.798447        1.533055
FIRE:    1 15:14:57     -623.186603        1.409530
FIRE:    2 15:15:07     -623.822383        1.208345
FIRE:    3 15:15:16     -624.511331        1.025705
FIRE:    4 15:15:25     -625.104830        0.817376
FIRE:    5 15:15:34     -625.549559        0.686002
FIRE:    6 15:15:43     -625.925322        0.710357
FIRE:    7 15:15:53     -626.241785        0.657467
FIRE:    8 15:16:02     -626.493499        0.547613
FIRE:    9 15:16:11     -626.741697        0.471023
FIRE:   10 15:16:20     -626.991408        0.410244
FIRE:   11 15:16:30     -627.229147        0.429489
FIRE:   12 15:16:39     -627.465702        0.478134
FIRE:   13 15:16:48     -627.721542        0.547399
FIRE:   14 15:16:57     -628.004015        0.617645
FIRE:   15 15:17:07     -628.304333        0.699817
FIRE:   16 15:17:16     -628.616090        0.793733
FIRE:   17 15:17:25     -628.946247        0.865282
FIRE:   18 15:17:34     -629.298241        0.845624
FIRE:   19 15:17:44     -629.660392        0.813616
FIRE:   20 15:17:53     -630.028408        0.907126
FIRE:   21 15:18:02     -630.393562        0.960148
FIRE:   22 15:18:11     -630.732755        0.921291
FIRE:   23 15:18:21     -631.019983        0.763729
FIRE:   24 15:18:30     -631.252722        0.812726
FIRE:   25 15:18:39     -631.453621        0.811098
FIRE:   26 15:18:49     -631.599379        0.611190
FIRE:   27 15:18:58     -631.659171        0.931735
FIRE:   28 15:19:07     -631.881386        0.175975
FIRE:   29 15:19:17     -631.917158        0.497739
FIRE:   30 15:19:26     -631.952566        0.416185
FIRE:   31 15:19:35     -631.999557        0.263268
FIRE:   32 15:19:44     -632.032985        0.131617
FIRE:   33 15:19:54     -632.050805        0.274822
FIRE:   34 15:20:03     -632.070681        0.360923
FIRE:   35 15:20:12     -632.103073        0.322932
FIRE:   36 15:20:21     -632.137961        0.182095
FIRE:   37 15:20:31     -632.160431        0.074757
FIRE:   38 15:20:40     -632.165173        0.197139
FIRE:   39 15:20:49     -632.167913        0.181690
FIRE:   40 15:20:58     -632.172630        0.151929
FIRE:   41 15:21:07     -632.178042        0.110138
FIRE:   42 15:21:17     -632.182825        0.059872
FIRE:   43 15:21:26     -632.186141        0.056890
FIRE:   44 15:21:35     -632.188061        0.070962
FIRE:   45 15:21:44     -632.189443        0.100337
FIRE:   46 15:21:53     -632.191411        0.113139
FIRE:   47 15:22:03     -632.194599        0.103928
FIRE:   48 15:22:12     -632.198774        0.071293
FIRE:   49 15:22:21     -632.202794        0.047891
FIRE:   50 15:22:30     -632.205735        0.047117
FIRE:   51 15:22:40     -632.208564        0.077246
FIRE:   52 15:22:49     -632.213062        0.075689
FIRE:   53 15:22:58     -632.219166        0.049772
FIRE:   54 15:23:07     -632.224921        0.056057
FIRE:   55 15:23:17     -632.230588        0.069415
FIRE:   56 15:23:26     -632.239010        0.084786
FIRE:   57 15:23:35     -632.249559        0.087983
FIRE:   58 15:23:44     -632.261669        0.074101
FIRE:   59 15:23:53     -632.274641        0.091149
FIRE:   60 15:24:03     -632.283540        0.142728
FIRE:   61 15:24:12     -632.287193        0.117465
FIRE:   62 15:24:21     -632.292022        0.074625
FIRE:   63 15:24:30     -632.295817        0.051691
FIRE:   64 15:24:40     -632.298683        0.052366
FIRE:   65 15:24:49     -632.301575        0.056751
FIRE:   66 15:24:58     -632.304652        0.062237
FIRE:   67 15:25:07     -632.307802        0.058486
FIRE:   68 15:25:16     -632.311419        0.047657
FIRE:   69 15:25:26     -632.314974        0.033157
FIRE:   70 15:25:35     -632.317428        0.040098
FIRE:   71 15:25:44     -632.319331        0.034271
FIRE:   72 15:25:53     -632.321447        0.023856
FIRE:   73 15:26:03     -632.322061        0.033826
FIRE:   74 15:26:12     -632.322463        0.029844
FIRE:   75 15:26:21     -632.323008        0.022477
FIRE:   76 15:26:30     -632.323441        0.014776
FIRE:   77 15:26:39     -632.323750        0.019371
FIRE:   78 15:26:48     -632.324060        0.020093
FIRE:   79 15:26:58     -632.324395        0.018244
FIRE:   80 15:27:07     -632.324675        0.015959
FIRE:   81 15:27:16     -632.324899        0.017572
FIRE:   82 15:27:25     -632.325122        0.017723
FIRE:   83 15:27:34     -632.325379        0.014473
FIRE:   84 15:27:44     -632.325509        0.011572
FIRE:   85 15:27:53     -632.325537        0.010105
FIRE:   86 15:28:02     -632.325582        0.008665
MACE calculation complete. Energy written to MACE_OUTCAR: -632.325582 eV
Job ended on: Fri  6 Jun 14:28:05 UTC 2025
