Si Bulk DFT energetics calculations using VASP
Running on host: comp103
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift5
Job started on: Sun  8 Jun 07:57:43 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 08:58:06     -624.390316        1.591069
FIRE:    1 08:58:16     -624.747084        1.470967
FIRE:    2 08:58:25     -625.324554        1.259320
FIRE:    3 08:58:34     -625.942517        0.999860
FIRE:    4 08:58:44     -626.478960        0.732433
FIRE:    5 08:58:53     -626.894486        0.621844
FIRE:    6 08:59:02     -627.241984        0.754594
FIRE:    7 08:59:12     -627.550149        0.755755
FIRE:    8 08:59:21     -627.839412        0.700181
FIRE:    9 08:59:30     -628.128835        0.632409
FIRE:   10 08:59:40     -628.421911        0.525548
FIRE:   11 08:59:49     -628.722484        0.407265
FIRE:   12 08:59:58     -629.031983        0.476448
FIRE:   13 09:00:08     -629.338863        0.463134
FIRE:   14 09:00:17     -629.625352        0.384275
FIRE:   15 09:00:27     -629.880459        0.386128
FIRE:   16 09:00:36     -630.107147        0.387386
FIRE:   17 09:00:45     -630.319513        0.383699
FIRE:   18 09:00:55     -630.532770        0.368623
FIRE:   19 09:01:04     -630.755554        0.339238
FIRE:   20 09:01:13     -630.986421        0.310030
FIRE:   21 09:01:23     -631.215815        0.342468
FIRE:   22 09:01:32     -631.431459        0.358837
FIRE:   23 09:01:41     -631.623421        0.346847
FIRE:   24 09:01:50     -631.788534        0.322823
FIRE:   25 09:02:00     -631.936109        0.328762
FIRE:   26 09:02:09     -632.079238        0.340386
FIRE:   27 09:02:18     -632.219616        0.298305
FIRE:   28 09:02:27     -632.356484        0.398806
FIRE:   29 09:02:37     -632.493600        0.476326
FIRE:   30 09:02:46     -632.635366        0.494072
FIRE:   31 09:02:55     -632.784023        0.432490
FIRE:   32 09:03:05     -632.933788        0.306856
FIRE:   33 09:03:14     -633.075261        0.290517
FIRE:   34 09:03:23     -633.202525        0.234059
FIRE:   35 09:03:33     -633.317002        0.252173
FIRE:   36 09:03:42     -633.425329        0.294137
FIRE:   37 09:03:51     -633.532888        0.294620
FIRE:   38 09:04:00     -633.639106        0.252714
FIRE:   39 09:04:09     -633.740869        0.183598
FIRE:   40 09:04:19     -633.839007        0.194841
FIRE:   41 09:04:28     -633.938254        0.215516
FIRE:   42 09:04:37     -634.040755        0.199262
FIRE:   43 09:04:47     -634.141031        0.154090
FIRE:   44 09:04:56     -634.230043        0.117385
FIRE:   45 09:05:05     -634.303588        0.120766
FIRE:   46 09:05:15     -634.364818        0.134498
FIRE:   47 09:05:24     -634.419576        0.111786
FIRE:   48 09:05:33     -634.470521        0.103717
FIRE:   49 09:05:43     -634.516505        0.107466
FIRE:   50 09:05:52     -634.556625        0.126803
FIRE:   51 09:06:01     -634.593243        0.169972
FIRE:   52 09:06:11     -634.630085        0.173674
FIRE:   53 09:06:20     -634.668304        0.138309
FIRE:   54 09:06:29     -634.705437        0.093210
FIRE:   55 09:06:38     -634.736950        0.100280
FIRE:   56 09:06:48     -634.759605        0.078976
FIRE:   57 09:06:57     -634.772926        0.092250
FIRE:   58 09:07:06     -634.778926        0.092439
FIRE:   59 09:07:16     -634.815523        0.125304
FIRE:   60 09:07:25     -634.829062        0.065628
FIRE:   61 09:07:34     -634.836682        0.058910
FIRE:   62 09:07:44     -634.838219        0.053586
FIRE:   63 09:07:53     -634.840766        0.043897
FIRE:   64 09:08:02     -634.843649        0.031719
FIRE:   65 09:08:11     -634.846496        0.037418
FIRE:   66 09:08:21     -634.849479        0.048059
FIRE:   67 09:08:30     -634.852961        0.050806
FIRE:   68 09:08:39     -634.857029        0.044817
FIRE:   69 09:08:49     -634.861845        0.030729
FIRE:   70 09:08:58     -634.866692        0.025329
FIRE:   71 09:09:07     -634.871226        0.030378
FIRE:   72 09:09:16     -634.875862        0.027788
FIRE:   73 09:09:26     -634.880321        0.018423
FIRE:   74 09:09:35     -634.883589        0.026475
FIRE:   75 09:09:44     -634.885683        0.019303
FIRE:   76 09:09:54     -634.886382        0.021360
FIRE:   77 09:10:03     -634.886511        0.017634
FIRE:   78 09:10:12     -634.886701        0.011085
FIRE:   79 09:10:22     -634.886879        0.007083
MACE calculation complete. Energy written to MACE_OUTCAR: -634.886879 eV
Job ended on: Sun  8 Jun 08:10:23 UTC 2025
