Si Bulk DFT energetics calculations using VASP
Running on host: comp185
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift8swap7
Job started on: Mon  9 Jun 08:51:50 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 09:52:14     -622.525894        1.380720
FIRE:    1 09:52:24     -622.999945        1.276551
FIRE:    2 09:52:33     -623.751863        1.140810
FIRE:    3 09:52:43     -624.543939        1.010533
FIRE:    4 09:52:52     -625.191550        0.892588
FIRE:    5 09:53:01     -625.714414        0.732378
FIRE:    6 09:53:11     -626.162109        0.704995
FIRE:    7 09:53:20     -626.521316        0.621143
FIRE:    8 09:53:30     -626.802832        0.514589
FIRE:    9 09:53:39     -627.073112        0.473703
FIRE:   10 09:53:48     -627.344064        0.437642
FIRE:   11 09:53:58     -627.607608        0.465682
FIRE:   12 09:54:07     -627.870761        0.458573
FIRE:   13 09:54:16     -628.135971        0.471507
FIRE:   14 09:54:26     -628.393419        0.485184
FIRE:   15 09:54:35     -628.636126        0.499047
FIRE:   16 09:54:44     -628.871211        0.510374
FIRE:   17 09:54:54     -629.114718        0.515924
FIRE:   18 09:55:03     -629.381017        0.568106
FIRE:   19 09:55:12     -629.677117        0.619442
FIRE:   20 09:55:22     -629.998019        0.752386
FIRE:   21 09:55:31     -630.328966        0.874226
FIRE:   22 09:55:40     -630.665316        0.948553
FIRE:   23 09:55:50     -630.997245        0.927716
FIRE:   24 09:55:59     -631.290297        0.807766
FIRE:   25 09:56:09     -631.531860        0.692031
FIRE:   26 09:56:18     -631.733698        0.570711
FIRE:   27 09:56:27     -631.879192        0.583882
FIRE:   28 09:56:37     -631.960777        0.854283
FIRE:   29 09:56:46     -632.007836        1.222803
FIRE:   30 09:56:55     -632.285771        0.246991
FIRE:   31 09:57:05     -632.375037        0.575615
FIRE:   32 09:57:14     -632.483527        0.672834
FIRE:   33 09:57:23     -632.675567        0.555930
FIRE:   34 09:57:33     -632.874524        0.353331
FIRE:   35 09:57:42     -633.030756        0.238688
FIRE:   36 09:57:52     -633.159201        0.382787
FIRE:   37 09:58:01     -633.303638        0.367695
FIRE:   38 09:58:10     -633.462634        0.212813
FIRE:   39 09:58:20     -633.605973        0.204263
FIRE:   40 09:58:29     -633.727984        0.189935
FIRE:   41 09:58:38     -633.838013        0.203539
FIRE:   42 09:58:48     -633.937257        0.153158
FIRE:   43 09:58:57     -634.019519        0.176490
FIRE:   44 09:59:06     -634.090153        0.200259
FIRE:   45 09:59:16     -634.161129        0.174862
FIRE:   46 09:59:25     -634.231043        0.113451
FIRE:   47 09:59:34     -634.293026        0.149049
FIRE:   48 09:59:44     -634.345465        0.148785
FIRE:   49 09:59:53     -634.388659        0.109602
FIRE:   50 10:00:02     -634.423557        0.098319
FIRE:   51 10:00:12     -634.449521        0.084100
FIRE:   52 10:00:21     -634.465146        0.089779
FIRE:   53 10:00:30     -634.473282        0.109662
FIRE:   54 10:00:40     -634.478807        0.159812
FIRE:   55 10:00:49     -634.488303        0.056372
FIRE:   56 10:00:59     -634.488732        0.094675
FIRE:   57 10:01:08     -634.489921        0.079195
FIRE:   58 10:01:17     -634.491627        0.051368
FIRE:   59 10:01:27     -634.492969        0.019175
FIRE:   60 10:01:36     -634.493584        0.038290
FIRE:   61 10:01:45     -634.493916        0.060428
FIRE:   62 10:01:55     -634.494639        0.067276
FIRE:   63 10:02:04     -634.495990        0.058809
FIRE:   64 10:02:13     -634.497820        0.034845
FIRE:   65 10:02:23     -634.499399        0.015028
FIRE:   66 10:02:32     -634.500338        0.036560
FIRE:   67 10:02:41     -634.501464        0.048025
FIRE:   68 10:02:51     -634.503254        0.030705
FIRE:   69 10:03:00     -634.504548        0.021768
FIRE:   70 10:03:09     -634.505204        0.039965
FIRE:   71 10:03:19     -634.506219        0.020489
FIRE:   72 10:03:28     -634.506282        0.037285
FIRE:   73 10:03:37     -634.506469        0.028181
FIRE:   74 10:03:47     -634.506678        0.012318
FIRE:   75 10:03:56     -634.506746        0.006800
MACE calculation complete. Energy written to MACE_OUTCAR: -634.506746 eV
Job ended on: Mon  9 Jun 09:03:57 UTC 2025
