Si Bulk DFT energetics calculations using VASP
Running on host: comp058
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/144_Si72Sn72_001_011_a0.212963_b0.851852_c2.262295_interface6shift5
Job started on: Tue 10 Jun 01:15:52 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 02:16:09     -690.522559        1.918012
FIRE:    1 02:16:20     -691.136396        1.757786
FIRE:    2 02:16:31     -692.121513        1.513520
FIRE:    3 02:16:41     -693.119172        1.279281
FIRE:    4 02:16:52     -693.859272        1.094263
FIRE:    5 02:17:02     -694.415681        0.944076
FIRE:    6 02:17:13     -694.857269        0.879784
FIRE:    7 02:17:23     -695.242847        0.789722
FIRE:    8 02:17:33     -695.614822        0.670068
FIRE:    9 02:17:44     -695.995979        0.741992
FIRE:   10 02:17:54     -696.412448        0.749946
FIRE:   11 02:18:05     -696.879205        0.767831
FIRE:   12 02:18:15     -697.375379        0.674477
FIRE:   13 02:18:26     -697.880847        0.723763
FIRE:   14 02:18:36     -698.398984        0.767405
FIRE:   15 02:18:47     -698.951787        0.808983
FIRE:   16 02:18:57     -699.560873        0.887082
FIRE:   17 02:19:08     -700.230289        0.957493
FIRE:   18 02:19:18     -700.942219        0.980352
FIRE:   19 02:19:29     -701.663174        1.025133
FIRE:   20 02:19:40     -702.357039        0.999732
FIRE:   21 02:19:50     -702.996062        0.914728
FIRE:   22 02:20:01     -703.570188        0.821486
FIRE:   23 02:20:11     -704.076758        0.695076
FIRE:   24 02:20:22     -704.502208        0.548002
FIRE:   25 02:20:32     -704.830338        0.464571
FIRE:   26 02:20:43     -705.055379        0.522925
FIRE:   27 02:20:53     -705.191985        0.970136
FIRE:   28 02:21:04     -705.302749        1.294014
FIRE:   29 02:21:14     -705.455132        1.101833
FIRE:   30 02:21:25     -705.631318        0.854580
FIRE:   31 02:21:35     -705.788119        0.887328
FIRE:   32 02:21:45     -705.916116        0.625583
FIRE:   33 02:21:56     -706.023975        0.657754
FIRE:   34 02:22:06     -706.129153        0.693377
FIRE:   35 02:22:17     -706.240969        0.693451
FIRE:   36 02:22:27     -706.348382        0.634262
FIRE:   37 02:22:38     -706.435785        0.565523
FIRE:   38 02:22:48     -706.504261        0.555415
FIRE:   39 02:22:59     -706.571425        0.703103
FIRE:   40 02:23:09     -706.648336        0.538788
FIRE:   41 02:23:20     -706.707081        0.895705
FIRE:   42 02:23:30     -706.990432        0.277128
FIRE:   43 02:23:41     -707.070056        0.377691
FIRE:   44 02:23:51     -707.137543        0.273225
FIRE:   45 02:24:02     -707.190960        0.255993
FIRE:   46 02:24:12     -707.251149        0.249945
FIRE:   47 02:24:23     -707.347139        0.240816
FIRE:   48 02:24:33     -707.426759        0.176238
FIRE:   49 02:24:44     -707.491337        0.162229
FIRE:   50 02:24:54     -707.555080        0.151669
FIRE:   51 02:25:05     -707.602182        0.151812
FIRE:   52 02:25:15     -707.647999        0.125701
FIRE:   53 02:25:26     -707.692842        0.161916
FIRE:   54 02:25:36     -707.731750        0.140052
FIRE:   55 02:25:46     -707.774726        0.105889
FIRE:   56 02:25:57     -707.812155        0.118183
FIRE:   57 02:26:07     -707.848443        0.079661
FIRE:   58 02:26:18     -707.877427        0.089406
FIRE:   59 02:26:28     -707.898886        0.077383
FIRE:   60 02:26:39     -707.912592        0.076446
FIRE:   61 02:26:49     -707.920111        0.036378
FIRE:   62 02:27:00     -707.925719        0.071998
FIRE:   63 02:27:10     -707.935247        0.043584
FIRE:   64 02:27:21     -707.940675        0.065541
FIRE:   65 02:27:31     -707.945994        0.043896
FIRE:   66 02:27:42     -707.949575        0.051997
FIRE:   67 02:27:52     -707.953650        0.047690
FIRE:   68 02:28:03     -707.957671        0.057256
FIRE:   69 02:28:13     -707.963049        0.042276
FIRE:   70 02:28:24     -707.966895        0.053283
FIRE:   71 02:28:34     -707.968397        0.035821
FIRE:   72 02:28:45     -707.969471        0.034490
FIRE:   73 02:28:56     -707.970060        0.041281
FIRE:   74 02:29:06     -707.971550        0.035066
FIRE:   75 02:29:16     -707.973436        0.034577
FIRE:   76 02:29:27     -707.974634        0.033081
FIRE:   77 02:29:37     -707.975901        0.031425
FIRE:   78 02:29:48     -707.977749        0.029327
FIRE:   79 02:29:58     -707.979113        0.028786
FIRE:   80 02:30:09     -707.980700        0.023348
FIRE:   81 02:30:19     -707.982032        0.021465
FIRE:   82 02:30:30     -707.982983        0.019860
FIRE:   83 02:30:41     -707.983293        0.028196
FIRE:   84 02:30:51     -707.983652        0.016700
FIRE:   85 02:31:02     -707.983918        0.012547
FIRE:   86 02:31:12     -707.983945        0.020610
FIRE:   87 02:31:23     -707.983991        0.018421
FIRE:   88 02:31:33     -707.984071        0.014296
FIRE:   89 02:31:44     -707.984159        0.009638
MACE calculation complete. Energy written to MACE_OUTCAR: -707.984159 eV
Job ended on: Tue 10 Jun 01:31:44 UTC 2025
