Si Bulk DFT energetics calculations using VASP
Running on host: comp136
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/216_Si144Sn72_011_001_a0.734848_b0.106952_c1.868853_interface7shift4
Job started on: Wed 11 Jun 18:26:05 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 19:26:36    -1069.373949       13.803034
FIRE:    1 19:26:52    -1078.701590        8.864608
FIRE:    2 19:27:09    -1085.040890        5.868898
FIRE:    3 19:27:25    -1089.209267        3.744270
FIRE:    4 19:27:42    -1091.794039        2.422767
FIRE:    5 19:27:58    -1093.329986        1.420463
FIRE:    6 19:28:15    -1094.227172        1.643583
FIRE:    7 19:28:31    -1094.796829        1.781509
FIRE:    8 19:28:48    -1095.272231        1.833165
FIRE:    9 19:29:05    -1095.794948        1.655969
FIRE:   10 19:29:21    -1096.416001        1.492796
FIRE:   11 19:29:38    -1097.122001        1.469722
FIRE:   12 19:29:55    -1097.874206        1.407355
FIRE:   13 19:30:11    -1098.634599        1.320183
FIRE:   14 19:30:28    -1099.374276        1.215547
FIRE:   15 19:30:45    -1100.076958        1.095187
FIRE:   16 19:31:02    -1100.744697        0.960366
FIRE:   17 19:31:19    -1101.396551        0.819296
FIRE:   18 19:31:35    -1102.052856        0.854535
FIRE:   19 19:31:52    -1102.714639        0.833987
FIRE:   20 19:32:09    -1103.360857        0.862294
FIRE:   21 19:32:26    -1103.968802        0.894408
FIRE:   22 19:32:42    -1104.535447        0.925109
FIRE:   23 19:32:59    -1105.079811        0.961561
FIRE:   24 19:33:16    -1105.626224        0.990587
FIRE:   25 19:33:33    -1106.186032        0.992600
FIRE:   26 19:33:50    -1106.752690        0.964701
FIRE:   27 19:34:06    -1107.309991        0.925110
FIRE:   28 19:34:23    -1107.843572        0.908112
FIRE:   29 19:34:40    -1108.342020        0.846937
FIRE:   30 19:34:57    -1108.794340        0.721388
FIRE:   31 19:35:13    -1109.196376        0.570765
FIRE:   32 19:35:30    -1109.546034        0.535140
FIRE:   33 19:35:47    -1109.840948        0.493412
FIRE:   34 19:36:04    -1110.075493        0.447767
FIRE:   35 19:36:21    -1110.242009        0.842833
FIRE:   36 19:36:37    -1110.365770        1.246867
FIRE:   37 19:36:54    -1110.505821        1.428187
FIRE:   38 19:37:11    -1110.700547        1.297924
FIRE:   39 19:37:28    -1110.928070        0.929282
FIRE:   40 19:37:44    -1111.137928        0.530448
FIRE:   41 19:38:01    -1111.304951        0.476320
FIRE:   42 19:38:18    -1111.438058        0.469331
FIRE:   43 19:38:35    -1111.551363        0.515688
FIRE:   44 19:38:51    -1111.648233        0.506748
FIRE:   45 19:39:08    -1111.726952        0.487163
FIRE:   46 19:39:25    -1111.790024        0.490065
FIRE:   47 19:39:41    -1111.846683        0.498366
FIRE:   48 19:39:58    -1111.907307        0.490061
FIRE:   49 19:40:15    -1111.976689        0.446018
FIRE:   50 19:40:32    -1112.050941        0.378903
FIRE:   51 19:40:48    -1112.120821        0.289177
FIRE:   52 19:41:05    -1112.178028        0.292325
FIRE:   53 19:41:22    -1112.219522        0.307389
FIRE:   54 19:41:39    -1112.248633        0.383392
FIRE:   55 19:41:56    -1112.451667        0.124078
FIRE:   56 19:42:12    -1112.513595        0.213643
FIRE:   57 19:42:29    -1112.564298        0.115206
FIRE:   58 19:42:46    -1112.595882        0.092887
FIRE:   59 19:43:03    -1112.609518        0.191349
FIRE:   60 19:43:19    -1112.618339        0.164865
FIRE:   61 19:43:36    -1112.631683        0.117703
FIRE:   62 19:43:53    -1112.643724        0.060209
FIRE:   63 19:44:10    -1112.650887        0.051342
FIRE:   64 19:44:26    -1112.654486        0.076043
FIRE:   65 19:44:43    -1112.658687        0.100719
FIRE:   66 19:45:00    -1112.666142        0.101522
FIRE:   67 19:45:17    -1112.677718        0.093940
FIRE:   68 19:45:34    -1112.690469        0.067686
FIRE:   69 19:45:50    -1112.700236        0.037376
FIRE:   70 19:46:07    -1112.706882        0.066088
FIRE:   71 19:46:24    -1112.714505        0.095777
FIRE:   72 19:46:40    -1112.724244        0.077022
FIRE:   73 19:46:57    -1112.732385        0.042287
FIRE:   74 19:47:14    -1112.738763        0.074845
FIRE:   75 19:47:31    -1112.746776        0.076046
FIRE:   76 19:47:47    -1112.754645        0.034740
FIRE:   77 19:48:04    -1112.760534        0.084190
FIRE:   78 19:48:21    -1112.762200        0.058820
FIRE:   79 19:48:38    -1112.764088        0.028273
FIRE:   80 19:48:54    -1112.765049        0.025730
FIRE:   81 19:49:11    -1112.765576        0.050497
FIRE:   82 19:49:28    -1112.766659        0.054683
FIRE:   83 19:49:45    -1112.768368        0.039737
FIRE:   84 19:50:01    -1112.769987        0.016559
FIRE:   85 19:50:18    -1112.771042        0.023939
FIRE:   86 19:50:35    -1112.771656        0.038977
FIRE:   87 19:50:52    -1112.772463        0.028303
FIRE:   88 19:51:08    -1112.773332        0.015843
FIRE:   89 19:51:25    -1112.773655        0.026731
FIRE:   90 19:51:42    -1112.773814        0.022133
FIRE:   91 19:51:59    -1112.774042        0.013771
FIRE:   92 19:52:15    -1112.774249        0.007308
MACE calculation complete. Energy written to MACE_OUTCAR: -1112.774249 eV
Job ended on: Wed 11 Jun 18:52:16 UTC 2025
