Si Bulk DFT energetics calculations using VASP
Running on host: comp056
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/216_Si72Ge144_013_011_a0.45679_b0.672515_c1.888633_interface4shift2
Job started on: Wed 11 Jun 17:34:09 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 18:34:41    -1060.640461        9.086271
FIRE:    1 18:34:58    -1064.828125        4.817001
FIRE:    2 18:35:15    -1067.142941        2.312052
FIRE:    3 18:35:31    -1068.265034        1.136989
FIRE:    4 18:35:48    -1068.763253        1.343412
FIRE:    5 18:36:04    -1069.098541        1.592609
FIRE:    6 18:36:21    -1069.495560        1.645015
FIRE:    7 18:36:37    -1069.993752        1.519815
FIRE:    8 18:36:54    -1070.562248        1.436601
FIRE:    9 18:37:11    -1071.158194        1.232453
FIRE:   10 18:37:27    -1071.751346        0.941210
FIRE:   11 18:37:44    -1072.316684        0.675923
FIRE:   12 18:38:01    -1072.834869        0.664174
FIRE:   13 18:38:17    -1073.298016        0.652299
FIRE:   14 18:38:34    -1073.712872        0.613181
FIRE:   15 18:38:50    -1074.099729        0.639932
FIRE:   16 18:39:07    -1074.484288        0.753238
FIRE:   17 18:39:24    -1074.878175        0.698933
FIRE:   18 18:39:40    -1075.264463        0.487020
FIRE:   19 18:39:57    -1075.614411        0.451370
FIRE:   20 18:40:13    -1075.917708        0.486284
FIRE:   21 18:40:30    -1076.188222        0.487501
FIRE:   22 18:40:47    -1076.445523        0.453556
FIRE:   23 18:41:03    -1076.699368        0.388283
FIRE:   24 18:41:20    -1076.948349        0.351055
FIRE:   25 18:41:37    -1077.184633        0.325620
FIRE:   26 18:41:53    -1077.402008        0.336155
FIRE:   27 18:42:10    -1077.603062        0.330042
FIRE:   28 18:42:26    -1077.793658        0.293616
FIRE:   29 18:42:43    -1077.974704        0.347442
FIRE:   30 18:43:00    -1078.148469        0.422089
FIRE:   31 18:43:16    -1078.326007        0.507706
FIRE:   32 18:43:33    -1078.519827        0.574721
FIRE:   33 18:43:49    -1078.735006        0.611363
FIRE:   34 18:44:06    -1078.966615        0.609151
FIRE:   35 18:44:23    -1079.209592        0.594279
FIRE:   36 18:44:39    -1079.459809        0.586296
FIRE:   37 18:44:56    -1079.698723        0.471390
FIRE:   38 18:45:13    -1079.900632        0.323175
FIRE:   39 18:45:29    -1080.049572        0.432392
FIRE:   40 18:45:46    -1080.148847        0.651967
FIRE:   41 18:46:03    -1080.228823        0.833705
FIRE:   42 18:46:19    -1080.325848        0.954022
FIRE:   43 18:46:36    -1080.445698        0.807857
FIRE:   44 18:46:53    -1080.570090        0.625760
FIRE:   45 18:47:09    -1080.695273        0.678983
FIRE:   46 18:47:26    -1080.833430        0.664649
FIRE:   47 18:47:42    -1080.988597        0.572325
FIRE:   48 18:47:59    -1081.147959        0.421151
FIRE:   49 18:48:16    -1081.293342        0.377717
FIRE:   50 18:48:32    -1081.415657        0.333146
FIRE:   51 18:48:49    -1081.517812        0.417630
FIRE:   52 18:49:06    -1081.604524        0.429109
FIRE:   53 18:49:22    -1081.674927        0.403423
FIRE:   54 18:49:39    -1081.731626        0.391791
FIRE:   55 18:49:56    -1081.785895        0.427066
FIRE:   56 18:50:12    -1081.841255        0.404230
FIRE:   57 18:50:29    -1081.892366        0.385800
FIRE:   58 18:50:46    -1081.933634        0.375019
FIRE:   59 18:51:02    -1081.962432        0.354929
FIRE:   60 18:51:19    -1082.149057        0.195706
FIRE:   61 18:51:35    -1082.229702        0.198959
FIRE:   62 18:51:52    -1082.297923        0.162673
FIRE:   63 18:52:09    -1082.355258        0.157171
FIRE:   64 18:52:25    -1082.407887        0.142139
FIRE:   65 18:52:42    -1082.454452        0.157368
FIRE:   66 18:52:59    -1082.493512        0.166610
FIRE:   67 18:53:15    -1082.527337        0.127611
FIRE:   68 18:53:32    -1082.551683        0.170322
FIRE:   69 18:53:49    -1082.578554        0.120056
FIRE:   70 18:54:05    -1082.601252        0.094739
FIRE:   71 18:54:22    -1082.623969        0.083383
FIRE:   72 18:54:39    -1082.642937        0.096349
FIRE:   73 18:54:55    -1082.663039        0.096699
FIRE:   74 18:55:12    -1082.679834        0.085580
FIRE:   75 18:55:29    -1082.692532        0.073990
FIRE:   76 18:55:45    -1082.696402        0.066145
FIRE:   77 18:56:02    -1082.701660        0.057933
FIRE:   78 18:56:19    -1082.706157        0.050968
FIRE:   79 18:56:35    -1082.709888        0.042328
FIRE:   80 18:56:52    -1082.713333        0.035234
FIRE:   81 18:57:09    -1082.716302        0.039917
FIRE:   82 18:57:25    -1082.718854        0.045835
FIRE:   83 18:57:42    -1082.721707        0.049543
FIRE:   84 18:57:58    -1082.724940        0.037900
FIRE:   85 18:58:15    -1082.728639        0.028955
FIRE:   86 18:58:32    -1082.732592        0.023177
FIRE:   87 18:58:48    -1082.735487        0.029372
FIRE:   88 18:59:05    -1082.738025        0.026226
FIRE:   89 18:59:22    -1082.739893        0.034838
FIRE:   90 18:59:38    -1082.740384        0.023792
FIRE:   91 18:59:55    -1082.741007        0.012065
FIRE:   92 19:00:12    -1082.741473        0.018975
FIRE:   93 19:00:28    -1082.741824        0.019829
FIRE:   94 19:00:45    -1082.742154        0.014607
FIRE:   95 19:01:02    -1082.742407        0.010726
FIRE:   96 19:01:18    -1082.742564        0.016744
FIRE:   97 19:01:35    -1082.742748        0.018302
FIRE:   98 19:01:52    -1082.743004        0.012910
FIRE:   99 19:02:08    -1082.743272        0.015775
FIRE:  100 19:02:25    -1082.743606        0.013174
FIRE:  101 19:02:42    -1082.743845        0.007673
MACE calculation complete. Energy written to MACE_OUTCAR: -1082.743845 eV
Job ended on: Wed 11 Jun 18:02:43 UTC 2025
