Si Bulk DFT energetics calculations using VASP
Running on host: comp120
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/228_Ge108Si120_001_001_a0.911243_b0.278107_c2.0_interface2shift3
Job started on: Wed 11 Jun 20:56:09 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 21:56:35    -1155.661018        5.187088
FIRE:    1 21:56:53    -1157.600876        2.560711
FIRE:    2 21:57:12    -1159.205962        1.440816
FIRE:    3 21:57:30    -1160.277026        1.311637
FIRE:    4 21:57:48    -1161.203978        1.141653
FIRE:    5 21:58:06    -1162.166698        1.314358
FIRE:    6 21:58:24    -1163.190016        1.285648
FIRE:    7 21:58:42    -1164.233642        1.127694
FIRE:    8 21:59:00    -1165.254824        0.919759
FIRE:    9 21:59:18    -1166.221787        0.844166
FIRE:   10 21:59:36    -1167.112026        0.763247
FIRE:   11 21:59:53    -1167.912802        0.662433
FIRE:   12 22:00:11    -1168.632835        0.669264
FIRE:   13 22:00:29    -1169.306538        0.709748
FIRE:   14 22:00:47    -1169.974627        0.747387
FIRE:   15 22:01:05    -1170.654794        0.769742
FIRE:   16 22:01:23    -1171.338178        0.779090
FIRE:   17 22:01:41    -1172.011077        0.772053
FIRE:   18 22:01:59    -1172.670972        0.764356
FIRE:   19 22:02:17    -1173.322494        0.752941
FIRE:   20 22:02:35    -1173.965834        0.750160
FIRE:   21 22:02:53    -1174.592688        0.731750
FIRE:   22 22:03:11    -1175.193531        0.792146
FIRE:   23 22:03:29    -1175.768812        0.845599
FIRE:   24 22:03:47    -1176.330051        0.874372
FIRE:   25 22:04:05    -1176.886681        0.851581
FIRE:   26 22:04:22    -1177.430451        0.734285
FIRE:   27 22:04:40    -1177.935320        0.650012
FIRE:   28 22:04:58    -1178.374780        0.579046
FIRE:   29 22:05:16    -1178.747759        0.478962
FIRE:   30 22:05:34    -1179.068079        0.476648
FIRE:   31 22:05:52    -1179.345323        0.541806
FIRE:   32 22:06:10    -1179.596889        0.615084
FIRE:   33 22:06:28    -1179.846340        0.690792
FIRE:   34 22:06:46    -1180.108973        0.752320
FIRE:   35 22:07:04    -1180.387059        0.765032
FIRE:   36 22:07:22    -1180.670667        0.683310
FIRE:   37 22:07:40    -1180.941013        0.510063
FIRE:   38 22:07:58    -1181.186131        0.590558
FIRE:   39 22:08:16    -1181.418700        0.673930
FIRE:   40 22:08:34    -1181.651208        0.742860
FIRE:   41 22:08:52    -1181.875455        0.761470
FIRE:   42 22:09:10    -1182.077578        0.684396
FIRE:   43 22:09:28    -1182.245402        0.506374
FIRE:   44 22:09:46    -1182.379674        0.562628
FIRE:   45 22:10:04    -1182.507512        0.634326
FIRE:   46 22:10:22    -1182.645235        0.638202
FIRE:   47 22:10:40    -1182.780026        0.568104
FIRE:   48 22:10:58    -1182.894041        0.499750
FIRE:   49 22:11:16    -1182.973290        0.729083
FIRE:   50 22:11:34    -1183.023231        0.993123
FIRE:   51 22:11:52    -1183.079292        1.161221
FIRE:   52 22:12:10    -1183.167461        1.042123
FIRE:   53 22:12:28    -1183.268754        0.735408
FIRE:   54 22:12:46    -1183.354856        0.509156
FIRE:   55 22:13:04    -1183.422475        0.527318
FIRE:   56 22:13:22    -1183.477942        0.492833
FIRE:   57 22:13:40    -1183.523557        0.578448
FIRE:   58 22:13:58    -1183.562102        0.691647
FIRE:   59 22:14:16    -1183.598285        0.729647
FIRE:   60 22:14:34    -1183.633887        0.683983
FIRE:   61 22:14:52    -1183.665661        0.569246
FIRE:   62 22:15:10    -1183.916731        0.270947
FIRE:   63 22:15:28    -1183.987188        0.193989
FIRE:   64 22:15:46    -1184.025611        0.167110
FIRE:   65 22:16:04    -1184.057420        0.183229
FIRE:   66 22:16:22    -1184.083669        0.216622
FIRE:   67 22:16:40    -1184.136622        0.269217
FIRE:   68 22:16:58    -1184.221388        0.368824
FIRE:   69 22:17:16    -1184.346414        0.475883
FIRE:   70 22:17:34    -1184.490616        0.406522
FIRE:   71 22:17:53    -1184.589900        0.353013
FIRE:   72 22:18:11    -1184.699106        0.273736
FIRE:   73 22:18:29    -1184.729745        0.542537
FIRE:   74 22:18:47    -1184.755160        0.449137
FIRE:   75 22:19:05    -1184.789707        0.294542
FIRE:   76 22:19:23    -1184.815607        0.169249
FIRE:   77 22:19:41    -1184.828898        0.271342
FIRE:   78 22:19:59    -1184.839942        0.316426
FIRE:   79 22:20:17    -1184.858188        0.303998
FIRE:   80 22:20:35    -1184.883209        0.238655
FIRE:   81 22:20:53    -1184.909482        0.115647
FIRE:   82 22:21:11    -1184.926152        0.132574
FIRE:   83 22:21:29    -1184.936785        0.209104
FIRE:   84 22:21:47    -1184.957699        0.201804
FIRE:   85 22:22:05    -1184.989013        0.152574
FIRE:   86 22:22:23    -1185.023724        0.167112
FIRE:   87 22:22:41    -1185.067153        0.195436
FIRE:   88 22:22:59    -1185.111538        0.117510
FIRE:   89 22:23:17    -1185.139513        0.112433
FIRE:   90 22:23:35    -1185.149777        0.113792
FIRE:   91 22:23:53    -1185.156467        0.098344
FIRE:   92 22:24:11    -1185.164337        0.073781
FIRE:   93 22:24:29    -1185.169516        0.064819
FIRE:   94 22:24:47    -1185.173621        0.085771
FIRE:   95 22:25:05    -1185.178536        0.077692
FIRE:   96 22:25:23    -1185.182805        0.056691
FIRE:   97 22:25:41    -1185.184728        0.041766
FIRE:   98 22:25:59    -1185.185008        0.037555
FIRE:   99 22:26:18    -1185.185497        0.034569
FIRE:  100 22:26:36    -1185.186091        0.033131
FIRE:  101 22:26:54    -1185.186672        0.031329
FIRE:  102 22:27:12    -1185.187176        0.029165
FIRE:  103 22:27:30    -1185.187610        0.026609
FIRE:  104 22:27:48    -1185.188020        0.023655
FIRE:  105 22:28:06    -1185.188493        0.022339
FIRE:  106 22:28:24    -1185.189012        0.016865
FIRE:  107 22:28:42    -1185.189498        0.011354
FIRE:  108 22:29:00    -1185.189885        0.012687
FIRE:  109 22:29:18    -1185.190253        0.017122
FIRE:  110 22:29:36    -1185.190768        0.013855
FIRE:  111 22:29:54    -1185.191382        0.011578
FIRE:  112 22:30:12    -1185.191885        0.013060
FIRE:  113 22:30:30    -1185.192321        0.013090
FIRE:  114 22:30:48    -1185.192710        0.010168
FIRE:  115 22:31:06    -1185.192873        0.015523
FIRE:  116 22:31:24    -1185.192927        0.012832
FIRE:  117 22:31:42    -1185.192999        0.008134
MACE calculation complete. Energy written to MACE_OUTCAR: -1185.192999 eV
Job ended on: Wed 11 Jun 21:31:43 UTC 2025
