Si Bulk DFT energetics calculations using VASP
Running on host: comp101
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/264_Si156Sn108_001_001_a0.276923_b0.041026_c2.1_interface1shift1swap2
Job started on: Wed 11 Jun 21:44:27 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 22:45:04    -1212.891274        6.909278
FIRE:    1 22:45:24    -1220.548182        6.172809
FIRE:    2 22:45:44    -1227.340230        5.482848
FIRE:    3 22:46:03    -1233.365490        4.845868
FIRE:    4 22:46:23    -1238.711166        4.268511
FIRE:    5 22:46:42    -1243.456586        3.749631
FIRE:    6 22:47:02    -1247.670782        3.282140
FIRE:    7 22:47:22    -1251.412622        2.858959
FIRE:    8 22:47:41    -1254.735099        2.515511
FIRE:    9 22:48:01    -1257.685165        2.337236
FIRE:   10 22:48:20    -1260.306430        2.155498
FIRE:   11 22:48:40    -1262.640655        1.971107
FIRE:   12 22:49:00    -1264.727985        1.794379
FIRE:   13 22:49:19    -1266.606221        1.635302
FIRE:   14 22:49:39    -1268.309016        1.500116
FIRE:   15 22:49:59    -1269.864984        1.390121
FIRE:   16 22:50:19    -1271.297263        1.301890
FIRE:   17 22:50:38    -1272.624964        1.228446
FIRE:   18 22:50:58    -1273.864717        1.161087
FIRE:   19 22:51:18    -1275.031663        1.091305
FIRE:   20 22:51:37    -1276.139046        1.013065
FIRE:   21 22:51:57    -1277.197351        0.924316
FIRE:   22 22:52:17    -1278.214166        0.833079
FIRE:   23 22:52:36    -1279.193519        0.788065
FIRE:   24 22:52:56    -1280.136416        0.741184
FIRE:   25 22:53:16    -1281.041047        0.704189
FIRE:   26 22:53:35    -1281.904332        0.657096
FIRE:   27 22:53:55    -1282.723926        0.642042
FIRE:   28 22:54:15    -1283.499696        0.681513
FIRE:   29 22:54:35    -1284.234036        0.722373
FIRE:   30 22:54:54    -1284.931537        0.761580
FIRE:   31 22:55:14    -1285.597791        0.796282
FIRE:   32 22:55:34    -1286.237430        0.824225
FIRE:   33 22:55:53    -1286.855223        0.845440
FIRE:   34 22:56:13    -1287.455901        0.867944
FIRE:   35 22:56:33    -1288.044131        0.915083
FIRE:   36 22:56:52    -1288.623459        0.980498
FIRE:   37 22:57:12    -1289.195363        1.035236
FIRE:   38 22:57:32    -1289.759112        1.066898
FIRE:   39 22:57:51    -1290.311560        1.062350
FIRE:   40 22:58:11    -1290.846450        0.985482
FIRE:   41 22:58:31    -1291.349670        0.807051
FIRE:   42 22:58:50    -1291.807718        0.813396
FIRE:   43 22:59:10    -1292.227621        0.846469
FIRE:   44 22:59:30    -1292.624601        0.856544
FIRE:   45 22:59:49    -1292.999593        0.826538
FIRE:   46 23:00:09    -1293.337989        0.838529
FIRE:   47 23:00:29    -1293.621010        1.390596
FIRE:   48 23:00:49    -1293.848930        1.972296
FIRE:   49 23:01:08    -1294.056971        2.318517
FIRE:   50 23:01:28    -1294.294519        2.306319
FIRE:   51 23:01:48    -1294.576484        2.286435
FIRE:   52 23:02:08    -1294.865806        1.908649
FIRE:   53 23:02:27    -1295.115166        1.347254
FIRE:   54 23:02:47    -1295.308848        1.088380
FIRE:   55 23:03:07    -1295.464629        1.220894
FIRE:   56 23:03:27    -1295.613386        1.529427
FIRE:   57 23:03:46    -1295.783922        1.724973
FIRE:   58 23:04:06    -1295.994973        1.711678
FIRE:   59 23:04:26    -1296.242456        1.470965
FIRE:   60 23:04:46    -1296.496982        1.313097
FIRE:   61 23:05:05    -1296.734921        1.408608
FIRE:   62 23:05:25    -1296.945548        1.388088
FIRE:   63 23:05:45    -1297.127233        2.069401
FIRE:   64 23:06:05    -1297.313774        2.742468
FIRE:   65 23:06:25    -1297.568279        2.912593
FIRE:   66 23:06:44    -1297.907050        2.445290
FIRE:   67 23:07:04    -1298.266400        1.600652
FIRE:   68 23:07:24    -1298.569955        0.932709
FIRE:   69 23:07:44    -1298.784619        0.856391
FIRE:   70 23:08:03    -1298.912643        0.951624
FIRE:   71 23:08:23    -1298.961659        0.923916
FIRE:   72 23:08:43    -1299.514327        0.537967
FIRE:   73 23:09:03    -1299.808894        0.357686
