Si Bulk DFT energetics calculations using VASP
Running on host: comp167
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/48_Ge48_001_001_a0.0_b0.0_c0.0_interface8shift1swap1
Job started on: Tue  3 Jun 07:04:07 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 08:04:17      124.335305       72.895634
FIRE:    1 08:04:21       54.359693       62.996789
FIRE:    2 08:04:25       -4.966498       51.200287
FIRE:    3 08:04:29      -51.986401       39.373176
FIRE:    4 08:04:33      -87.760763       29.392956
FIRE:    5 08:04:36     -114.370469       21.354695
FIRE:    6 08:04:40     -134.093935       15.873980
FIRE:    7 08:04:44     -149.585041       12.357479
FIRE:    8 08:04:48     -162.121655       10.336011
FIRE:    9 08:04:51     -172.049147        8.587754
FIRE:   10 08:04:55     -179.826209        7.243385
FIRE:   11 08:04:59     -185.958279        6.130032
FIRE:   12 08:05:03     -190.734609        5.146274
FIRE:   13 08:05:06     -194.437424        4.319902
FIRE:   14 08:05:10     -197.315964        3.573901
FIRE:   15 08:05:14     -199.529141        2.866119
FIRE:   16 08:05:17     -201.204244        2.216290
FIRE:   17 08:05:21     -202.458379        1.638547
FIRE:   18 08:05:25     -203.383251        1.563122
FIRE:   19 08:05:28     -204.044262        1.686495
FIRE:   20 08:05:32     -204.490479        1.729801
FIRE:   21 08:05:36     -204.753347        1.685663
FIRE:   22 08:05:39     -204.836978        1.546723
FIRE:   23 08:05:43     -205.887588        1.006063
FIRE:   24 08:05:47     -206.511946        0.464900
FIRE:   25 08:05:50     -206.737586        0.300737
FIRE:   26 08:05:54     -206.612385        0.524701
FIRE:   27 08:05:58     -206.663719        0.448280
FIRE:   28 08:06:01     -206.735163        0.308912
FIRE:   29 08:06:05     -206.785035        0.129752
FIRE:   30 08:06:09     -206.789474        0.142609
FIRE:   31 08:06:12     -206.790490        0.136124
FIRE:   32 08:06:16     -206.792335        0.123452
FIRE:   33 08:06:20     -206.794670        0.105170
FIRE:   34 08:06:23     -206.797068        0.082115
FIRE:   35 08:06:27     -206.799089        0.055339
FIRE:   36 08:06:31     -206.800364        0.026060
FIRE:   37 08:06:34     -206.800665        0.008704
MACE calculation complete. Energy written to MACE_OUTCAR: -206.800665 eV
Job ended on: Tue  3 Jun 07:06:35 UTC 2025
