Si Bulk DFT energetics calculations using VASP
Running on host: comp167
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/48_Ge48_001_122_a0.177215_b0.746032_c0.991852_interface3shift4
Job started on: Tue  3 Jun 12:16:10 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 13:17:09     -219.486233        5.633623
FIRE:    1 13:17:13     -221.452422        3.401290
FIRE:    2 13:17:17     -222.890753        1.612262
FIRE:    3 13:17:21     -223.645111        1.245917
FIRE:    4 13:17:24     -224.157382        1.305320
FIRE:    5 13:17:28     -224.633165        1.182502
FIRE:    6 13:17:31     -225.093077        0.908155
FIRE:    7 13:17:35     -225.483009        0.701086
FIRE:    8 13:17:38     -225.781946        0.673550
FIRE:    9 13:17:42     -226.006170        0.575446
FIRE:   10 13:17:46     -226.182435        0.570811
FIRE:   11 13:17:49     -226.344282        0.570879
FIRE:   12 13:17:53     -226.531551        0.551225
FIRE:   13 13:17:56     -226.768704        0.546355
FIRE:   14 13:18:00     -227.041612        0.556400
FIRE:   15 13:18:04     -227.308610        0.629140
FIRE:   16 13:18:07     -227.532972        0.672105
FIRE:   17 13:18:11     -227.699132        0.655982
FIRE:   18 13:18:14     -227.812207        0.596248
FIRE:   19 13:18:18     -227.894774        0.501435
FIRE:   20 13:18:22     -227.961211        0.457362
FIRE:   21 13:18:25     -228.006149        0.384879
FIRE:   22 13:18:29     -228.074921        0.285684
FIRE:   23 13:18:32     -228.169381        0.197469
FIRE:   24 13:18:36     -228.247241        0.172125
FIRE:   25 13:18:39     -228.298607        0.217072
FIRE:   26 13:18:43     -228.337181        0.203059
FIRE:   27 13:18:47     -228.377390        0.181595
FIRE:   28 13:18:50     -228.426694        0.220408
FIRE:   29 13:18:54     -228.490782        0.235696
FIRE:   30 13:18:57     -228.558735        0.192174
FIRE:   31 13:19:01     -228.610586        0.165612
FIRE:   32 13:19:05     -228.649661        0.183881
FIRE:   33 13:19:08     -228.696532        0.211011
FIRE:   34 13:19:12     -228.750415        0.109244
FIRE:   35 13:19:15     -228.781818        0.078753
FIRE:   36 13:19:19     -228.795645        0.146085
FIRE:   37 13:19:23     -228.804173        0.101843
FIRE:   38 13:19:26     -228.814130        0.056825
FIRE:   39 13:19:30     -228.819399        0.061995
FIRE:   40 13:19:33     -228.821910        0.095409
FIRE:   41 13:19:37     -228.826184        0.081629
FIRE:   42 13:19:40     -228.831953        0.066773
FIRE:   43 13:19:44     -228.837077        0.050672
FIRE:   44 13:19:47     -228.842732        0.087880
FIRE:   45 13:19:51     -228.850605        0.073626
FIRE:   46 13:19:55     -228.860183        0.075492
FIRE:   47 13:19:58     -228.872777        0.081591
FIRE:   48 13:20:02     -228.890733        0.079955
FIRE:   49 13:20:05     -228.907430        0.067019
FIRE:   50 13:20:09     -228.915908        0.046391
FIRE:   51 13:20:13     -228.917103        0.042076
FIRE:   52 13:20:16     -228.918944        0.034266
FIRE:   53 13:20:20     -228.920796        0.024441
FIRE:   54 13:20:23     -228.922393        0.026491
FIRE:   55 13:20:27     -228.923822        0.025425
FIRE:   56 13:20:30     -228.925084        0.020466
FIRE:   57 13:20:34     -228.926132        0.020725
FIRE:   58 13:20:38     -228.927197        0.025025
FIRE:   59 13:20:41     -228.928437        0.028983
FIRE:   60 13:20:45     -228.929960        0.027295
FIRE:   61 13:20:48     -228.931815        0.021103
FIRE:   62 13:20:52     -228.934050        0.028678
FIRE:   63 13:20:56     -228.936927        0.026687
FIRE:   64 13:20:59     -228.940905        0.031895
FIRE:   65 13:21:03     -228.946642        0.033114
FIRE:   66 13:21:06     -228.954476        0.031909
FIRE:   67 13:21:10     -228.962677        0.024052
FIRE:   68 13:21:14     -228.967125        0.031229
FIRE:   69 13:21:17     -228.967973        0.016843
FIRE:   70 13:21:21     -228.968557        0.025758
FIRE:   71 13:21:24     -228.969190        0.019555
FIRE:   72 13:21:28     -228.969801        0.013159
FIRE:   73 13:21:32     -228.970014        0.018058
FIRE:   74 13:21:35     -228.970102        0.015138
FIRE:   75 13:21:39     -228.970231        0.010006
FIRE:   76 13:21:42     -228.970326        0.007387
MACE calculation complete. Energy written to MACE_OUTCAR: -228.970326 eV
Job ended on: Tue  3 Jun 12:21:46 UTC 2025
