Si Bulk DFT energetics calculations using VASP
Running on host: comp156
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/48_Si48_001_001_a0.0_b0.0_c0.0_interface8shift1
Job started on: Tue  3 Jun 13:36:11 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 14:36:22       30.850974       64.661969
FIRE:    1 14:36:26      -30.697389       53.807751
FIRE:    2 14:36:30      -80.838297       42.096543
FIRE:    3 14:36:34     -119.835821       32.162989
FIRE:    4 14:36:38     -149.953066       24.336041
FIRE:    5 14:36:42     -173.157602       18.290664
FIRE:    6 14:36:46     -191.031872       14.169989
FIRE:    7 14:36:50     -204.904287       11.707856
FIRE:    8 14:36:53     -215.884296        9.749890
FIRE:    9 14:36:57     -224.347183        7.820584
FIRE:   10 14:37:01     -230.478988        6.072155
FIRE:   11 14:37:05     -234.791765        4.791931
FIRE:   12 14:37:09     -237.898581        3.889349
FIRE:   13 14:37:13     -240.253448        3.241639
FIRE:   14 14:37:17     -242.173194        2.726559
FIRE:   15 14:37:21     -243.790358        2.190062
FIRE:   16 14:37:25     -245.086766        1.572111
FIRE:   17 14:37:29     -246.013833        1.506887
FIRE:   18 14:37:33     -246.566538        1.512574
FIRE:   19 14:37:36     -246.775044        1.432481
FIRE:   20 14:37:40     -247.588530        1.006502
FIRE:   21 14:37:44     -248.173741        0.450468
FIRE:   22 14:37:48     -248.284795        0.426299
FIRE:   23 14:37:52     -248.303881        0.387682
FIRE:   24 14:37:56     -248.335001        0.314055
FIRE:   25 14:38:00     -248.366729        0.212376
FIRE:   26 14:38:03     -248.387694        0.092476
FIRE:   27 14:38:07     -248.391227        0.077820
FIRE:   28 14:38:11     -248.391402        0.076232
FIRE:   29 14:38:15     -248.391737        0.073091
FIRE:   30 14:38:19     -248.392201        0.068465
FIRE:   31 14:38:23     -248.392753        0.062454
FIRE:   32 14:38:27     -248.393344        0.055188
FIRE:   33 14:38:30     -248.393889        0.046826
FIRE:   34 14:38:34     -248.394406        0.037549
FIRE:   35 14:38:38     -248.394855        0.026494
FIRE:   36 14:38:42     -248.395158        0.013713
FIRE:   37 14:38:46     -248.395246        0.014684
FIRE:   38 14:38:50     -248.395249        0.014546
FIRE:   39 14:38:54     -248.395254        0.014272
FIRE:   40 14:38:57     -248.395261        0.013863
FIRE:   41 14:39:01     -248.395271        0.013325
FIRE:   42 14:39:05     -248.395282        0.012663
FIRE:   43 14:39:09     -248.395294        0.011883
FIRE:   44 14:39:13     -248.395307        0.010995
FIRE:   45 14:39:17     -248.395322        0.009897
MACE calculation complete. Energy written to MACE_OUTCAR: -248.395322 eV
Job ended on: Tue  3 Jun 13:39:17 UTC 2025
