Si Bulk DFT energetics calculations using VASP
Running on host: comp163
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/96_Ge96_112_112_a0.428571_b0.301587_c1.192483_interface2shift4
Job started on: Wed  4 Jun 04:00:12 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 05:00:27     -442.131422        4.647281
FIRE:    1 05:00:34     -444.881165        2.953624
FIRE:    2 05:00:42     -446.620308        1.645412
FIRE:    3 05:00:49     -447.549410        1.026063
FIRE:    4 05:00:56     -448.089211        1.122703
FIRE:    5 05:01:03     -448.523359        1.046571
FIRE:    6 05:01:11     -448.966367        0.964115
FIRE:    7 05:01:18     -449.404030        0.768255
FIRE:    8 05:01:25     -449.788104        0.528090
FIRE:    9 05:01:32     -450.084220        0.471245
FIRE:   10 05:01:39     -450.293486        0.446155
FIRE:   11 05:01:47     -450.448533        0.435948
FIRE:   12 05:01:54     -450.598920        0.479054
FIRE:   13 05:02:01     -450.791827        0.495359
FIRE:   14 05:02:09     -451.048584        0.483925
FIRE:   15 05:02:16     -451.352464        0.445691
FIRE:   16 05:02:23     -451.662896        0.386132
FIRE:   17 05:02:30     -451.943020        0.313344
FIRE:   18 05:02:38     -452.176064        0.287642
FIRE:   19 05:02:45     -452.365605        0.293526
FIRE:   20 05:02:52     -452.526748        0.293380
FIRE:   21 05:02:59     -452.674631        0.285346
FIRE:   22 05:03:07     -452.817830        0.266482
FIRE:   23 05:03:14     -452.959658        0.236314
FIRE:   24 05:03:22     -453.100081        0.219811
FIRE:   25 05:03:29     -453.237527        0.212397
FIRE:   26 05:03:36     -453.372037        0.207631
FIRE:   27 05:03:44     -453.505436        0.186524
FIRE:   28 05:03:51     -453.634418        0.178034
FIRE:   29 05:03:59     -453.751118        0.160204
FIRE:   30 05:04:06     -453.859234        0.149543
FIRE:   31 05:04:13     -453.973905        0.170216
FIRE:   32 05:04:21     -454.096737        0.152665
FIRE:   33 05:04:28     -454.213936        0.139498
FIRE:   34 05:04:35     -454.314334        0.114556
FIRE:   35 05:04:43     -454.397204        0.095301
FIRE:   36 05:04:50     -454.464694        0.122300
FIRE:   37 05:04:58     -454.520470        0.130545
FIRE:   38 05:05:05     -454.570257        0.111720
FIRE:   39 05:05:12     -454.616459        0.121095
FIRE:   40 05:05:20     -454.657131        0.110990
FIRE:   41 05:05:27     -454.692777        0.099549
FIRE:   42 05:05:34     -454.727478        0.099175
FIRE:   43 05:05:42     -454.762606        0.110220
FIRE:   44 05:05:49     -454.797333        0.121413
FIRE:   45 05:05:57     -454.836237        0.128246
FIRE:   46 05:06:04     -454.886591        0.131377
FIRE:   47 05:06:11     -454.949585        0.128898
FIRE:   48 05:06:19     -455.025170        0.160559
FIRE:   49 05:06:26     -455.118944        0.183019
FIRE:   50 05:06:34     -455.230568        0.168920
FIRE:   51 05:06:41     -455.345080        0.168549
FIRE:   52 05:06:48     -455.448131        0.183018
FIRE:   53 05:06:56     -455.538896        0.177907
FIRE:   54 05:07:03     -455.623108        0.173945
FIRE:   55 05:07:10     -455.700768        0.163554
FIRE:   56 05:07:18     -455.764186        0.117462
FIRE:   57 05:07:25     -455.807290        0.107853
FIRE:   58 05:07:32     -455.834880        0.138832
FIRE:   59 05:07:40     -455.856040        0.141625
FIRE:   60 05:07:47     -455.871255        0.105011
FIRE:   61 05:07:54     -455.874005        0.086146
FIRE:   62 05:08:02     -455.899338        0.140054
FIRE:   63 05:08:09     -455.916000        0.058508
FIRE:   64 05:08:16     -455.917744        0.091637
FIRE:   65 05:08:24     -455.920606        0.077883
FIRE:   66 05:08:31     -455.924570        0.053227
FIRE:   67 05:08:38     -455.927459        0.024668
FIRE:   68 05:08:46     -455.928739        0.048692
FIRE:   69 05:08:53     -455.929804        0.062280
FIRE:   70 05:09:00     -455.932172        0.062754
FIRE:   71 05:09:08     -455.935814        0.050821
FIRE:   72 05:09:15     -455.939828        0.026972
FIRE:   73 05:09:22     -455.942377        0.025956
FIRE:   74 05:09:30     -455.943854        0.041510
FIRE:   75 05:09:37     -455.946372        0.035695
FIRE:   76 05:09:44     -455.949063        0.013803
FIRE:   77 05:09:52     -455.949281        0.033422
FIRE:   78 05:09:59     -455.949607        0.028896
FIRE:   79 05:10:06     -455.950081        0.020572
FIRE:   80 05:10:14     -455.950460        0.010967
FIRE:   81 05:10:21     -455.950608        0.011054
FIRE:   82 05:10:28     -455.950619        0.010842
FIRE:   83 05:10:36     -455.950641        0.010440
FIRE:   84 05:10:43     -455.950673        0.010397
FIRE:   85 05:10:50     -455.950713        0.010340
FIRE:   86 05:10:58     -455.950759        0.010268
FIRE:   87 05:11:05     -455.950811        0.010183
FIRE:   88 05:11:12     -455.950867        0.010085
FIRE:   89 05:11:20     -455.950935        0.009962
MACE calculation complete. Energy written to MACE_OUTCAR: -455.950935 eV
Job ended on: Wed  4 Jun 04:11:20 UTC 2025
