Si Bulk DFT energetics calculations using VASP
Running on host: comp190
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/96_Ge96_133_133_a0.0_b0.0_c0.0_interface1shift1swap1
Job started on: Wed  4 Jun 05:20:13 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 06:20:27      602.474725      760.107546
FIRE:    1 06:20:35      276.706077      147.483059
FIRE:    2 06:20:42      151.991314      150.805150
FIRE:    3 06:20:50       42.232159      120.703080
FIRE:    4 06:20:57      -45.277999      102.772168
FIRE:    5 06:21:05     -125.428956       95.564137
FIRE:    6 06:21:12     -197.035590       83.359236
FIRE:    7 06:21:20     -258.848100       70.913945
FIRE:    8 06:21:27     -310.672312       57.680043
FIRE:    9 06:21:35     -349.928433       39.188338
FIRE:   10 06:21:42     -374.120054       21.771943
FIRE:   11 06:21:50     -387.512898       11.519082
FIRE:   12 06:21:57     -394.689679        9.448721
FIRE:   13 06:22:05     -398.977821        9.961074
FIRE:   14 06:22:12     -401.721566       10.412642
FIRE:   15 06:22:20     -403.390191       10.786739
FIRE:   16 06:22:27     -404.786828       10.958938
FIRE:   17 06:22:34     -406.567097       10.831404
FIRE:   18 06:22:42     -409.232632       10.385937
FIRE:   19 06:22:49     -412.967477       10.110609
FIRE:   20 06:22:57     -417.623086        9.411272
FIRE:   21 06:23:04     -422.837230        8.410459
FIRE:   22 06:23:12     -428.145552        7.195894
FIRE:   23 06:23:19     -433.106044        5.901061
FIRE:   24 06:23:27     -437.426061        4.665453
FIRE:   25 06:23:34     -440.962865        3.520387
FIRE:   26 06:23:42     -443.646326        2.469607
FIRE:   27 06:23:49     -445.505691        1.595927
FIRE:   28 06:23:57     -446.698688        1.101056
FIRE:   29 06:24:04     -447.437071        1.061604
FIRE:   30 06:24:12     -447.903248        0.983554
FIRE:   31 06:24:19     -448.222745        0.863191
FIRE:   32 06:24:27     -448.464824        0.847215
FIRE:   33 06:24:34     -448.652390        0.826139
FIRE:   34 06:24:41     -448.775547        0.771166
FIRE:   35 06:24:49     -448.809089        0.717151
FIRE:   36 06:24:56     -449.527822        0.516174
FIRE:   37 06:25:04     -450.007314        0.428109
FIRE:   38 06:25:11     -450.347500        0.441621
FIRE:   39 06:25:19     -450.639180        0.428403
FIRE:   40 06:25:26     -450.911617        0.329996
FIRE:   41 06:25:34     -451.144148        0.212670
FIRE:   42 06:25:41     -451.321179        0.225331
FIRE:   43 06:25:49     -451.457473        0.224622
FIRE:   44 06:25:56     -451.581359        0.208687
FIRE:   45 06:26:04     -451.715621        0.179455
FIRE:   46 06:26:11     -451.864692        0.207171
