Si Bulk DFT energetics calculations using VASP
Running on host: comp175
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/96_Si96_133_133_a0.0_b0.0_c0.0_interface1shift1
Job started on: Wed  4 Jun 11:46:55 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 12:47:10     1363.816049     1829.873209
FIRE:    1 12:47:18      570.578950      519.858541
FIRE:    2 12:47:26      231.133820      334.381038
FIRE:    3 12:47:34       21.193417      209.409306
FIRE:    4 12:47:41     -120.029538      151.174257
FIRE:    5 12:47:49     -227.514921      118.930247
FIRE:    6 12:47:57     -310.246750       89.143079
FIRE:    7 12:48:05     -371.439165       64.980899
FIRE:    8 12:48:12     -415.958719       46.832006
FIRE:    9 12:48:20     -445.568331       27.319858
FIRE:   10 12:48:28     -461.353909       13.100605
FIRE:   11 12:48:35     -468.802800        8.888833
FIRE:   12 12:48:43     -472.260943        9.747126
FIRE:   13 12:48:51     -474.011952       10.565680
FIRE:   14 12:48:59     -475.015684       11.252678
FIRE:   15 12:49:07     -475.641149       11.689910
FIRE:   16 12:49:15     -485.750988        8.858657
FIRE:   17 12:49:23     -493.079155        6.895757
FIRE:   18 12:49:30     -498.465750        5.211394
FIRE:   19 12:49:38     -502.403051        3.884649
FIRE:   20 12:49:46     -505.434725        4.511371
FIRE:   21 12:49:54     -508.134586        4.785464
FIRE:   22 12:50:01     -510.787186        4.536307
FIRE:   23 12:50:09     -513.345177        3.827120
FIRE:   24 12:50:17     -515.594867        2.921066
FIRE:   25 12:50:25     -517.383168        2.019372
FIRE:   26 12:50:33     -518.659395        1.243640
FIRE:   27 12:50:41     -519.499741        0.747649
FIRE:   28 12:50:49     -520.065943        0.504497
FIRE:   29 12:50:56     -520.480561        0.390802
FIRE:   30 12:51:04     -520.795535        0.335488
FIRE:   31 12:51:12     -521.029384        0.322554
FIRE:   32 12:51:20     -521.194456        0.346416
FIRE:   33 12:51:28     -521.307373        0.351685
FIRE:   34 12:51:35     -521.390284        0.435264
FIRE:   35 12:51:43     -521.466557        0.485939
FIRE:   36 12:51:51     -521.555568        0.486183
FIRE:   37 12:51:59     -521.663152        0.435504
FIRE:   38 12:52:07     -521.782453        0.357529
FIRE:   39 12:52:15     -521.904458        0.372321
FIRE:   40 12:52:22     -522.033458        0.396652
FIRE:   41 12:52:30     -522.182420        0.403831
FIRE:   42 12:52:38     -522.356305        0.377796
FIRE:   43 12:52:46     -522.543383        0.317461
FIRE:   44 12:52:54     -522.722772        0.237322
FIRE:   45 12:53:01     -522.878773        0.240121
FIRE:   46 12:53:09     -523.021426        0.323125
FIRE:   47 12:53:17     -523.201148        0.394238
FIRE:   48 12:53:25     -523.466557        0.433781
FIRE:   49 12:53:33     -523.804408        0.408500
FIRE:   50 12:53:40     -524.167259        0.364066
FIRE:   51 12:53:48     -524.528353        0.329524
FIRE:   52 12:53:56     -524.879062        0.310765
FIRE:   53 12:54:04     -525.204110        0.278724
FIRE:   54 12:54:12     -525.476292        0.220124
FIRE:   55 12:54:20     -525.663225        0.248023
FIRE:   56 12:54:27     -525.738747        0.326920
FIRE:   57 12:54:35     -526.014757        0.245799
FIRE:   58 12:54:43     -526.200897        0.224014
FIRE:   59 12:54:51     -526.422574        0.261784
FIRE:   60 12:54:59     -526.642073        0.218716
FIRE:   61 12:55:07     -526.822696        0.148294
FIRE:   62 12:55:14     -526.954200        0.166130
FIRE:   63 12:55:22     -527.063415        0.188287
FIRE:   64 12:55:30     -527.154580        0.095845
FIRE:   65 12:55:38     -527.198104        0.113783
FIRE:   66 12:55:46     -527.215392        0.155285
FIRE:   67 12:55:54     -527.235555        0.106443
FIRE:   68 12:56:02     -527.241852        0.057809
FIRE:   69 12:56:10     -527.247945        0.039058
FIRE:   70 12:56:18     -527.252026        0.067019
FIRE:   71 12:56:26     -527.258470        0.079014
FIRE:   72 12:56:34     -527.268242        0.049543
FIRE:   73 12:56:42     -527.276963        0.023013
FIRE:   74 12:56:50     -527.282717        0.056830
FIRE:   75 12:56:58     -527.290014        0.055805
FIRE:   76 12:57:06     -527.298424        0.021336
FIRE:   77 12:57:14     -527.304097        0.055526
FIRE:   78 12:57:22     -527.311572        0.034482
FIRE:   79 12:57:30     -527.317816        0.047526
FIRE:   80 12:57:38     -527.325089        0.030194
FIRE:   81 12:57:46     -527.330214        0.061582
FIRE:   82 12:57:54     -527.331668        0.036757
FIRE:   83 12:58:02     -527.332646        0.009106
MACE calculation complete. Energy written to MACE_OUTCAR: -527.332646 eV
Job ended on: Wed  4 Jun 11:58:02 UTC 2025
