Job started on: Thu Jun 12 01:47:29 PM UTC 2025\n
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /home/alexander/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 14:47:35     1579.735287     4572.067476
FIRE:    1 14:47:36      281.836107     1203.083017
FIRE:    2 14:47:38      -64.261949      447.032798
FIRE:    3 14:47:40     -255.637971      295.671566
FIRE:    4 14:47:42     -393.106980      201.563193
FIRE:    5 14:47:42     -496.674211      156.424689
FIRE:    6 14:47:43     -575.609506      118.926509
FIRE:    7 14:47:43     -635.490855       87.315071
FIRE:    8 14:47:44     -679.521402       74.461245
FIRE:    9 14:47:44     -711.431349       61.899324
FIRE:   10 14:47:45     -734.748269       49.079885
FIRE:   11 14:47:45     -751.834114       37.558660
FIRE:   12 14:47:46     -764.191545       27.950332
FIRE:   13 14:47:46     -773.040274       26.479880
FIRE:   14 14:47:47     -779.413818       24.580168
FIRE:   15 14:47:47     -784.335344       24.218357
FIRE:   16 14:47:48     -788.654617       23.430224
FIRE:   17 14:47:48     -792.812344       22.172935
FIRE:   18 14:47:49     -796.850989       19.439198
FIRE:   19 14:47:49     -800.685947       16.385577
FIRE:   20 14:47:50     -804.235101       14.178214
FIRE:   21 14:47:50     -807.450882       13.691727
FIRE:   22 14:47:51     -810.349095       13.393558
FIRE:   23 14:47:52     -813.011580       12.027446
FIRE:   24 14:47:52     -815.510905        9.994769
FIRE:   25 14:47:53     -817.900789        8.313115
