Job started on: Thu Jun 12 01:30:45 PM UTC 2025\n
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /home/alexander/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 14:30:52      566.531182      621.825013
FIRE:    1 14:30:52      174.557728     1258.498454
FIRE:    2 14:30:54     9977.595916    90570.826834
FIRE:    3 14:30:55      172.037967     1474.387188
FIRE:    4 14:30:55     9152.773003    85241.223841
FIRE:    5 14:30:57      159.542828     1440.504207
FIRE:    6 14:30:57      723.143931    17071.564654
FIRE:    7 14:30:58      301.510301      524.761833
FIRE:    8 14:31:00      298.385880      514.081977
FIRE:    9 14:31:00      292.328608      498.288609
FIRE:   10 14:31:01      283.529702      496.576572
FIRE:   11 14:31:01      270.867971      632.796169
FIRE:   12 14:31:01      250.905870      685.270710
FIRE:   13 14:31:02      221.936415      932.492641
FIRE:   14 14:31:02      172.189273     1348.388714
FIRE:   15 14:31:03       64.649642     1874.498389
FIRE:   16 14:31:03       23.790801     1164.399133
FIRE:   17 14:31:03       21.089649      579.619891
FIRE:   18 14:31:04       17.462828      676.332809
FIRE:   19 14:31:04       11.588973      761.842149
FIRE:   20 14:31:04        5.100671      431.269569
FIRE:   21 14:31:05        3.923113     2588.486098
FIRE:   22 14:31:05        0.920508     3026.426207
FIRE:   23 14:31:05        0.958321      538.014955
FIRE:   24 14:31:06        0.895030      558.260244
FIRE:   25 14:31:06        0.762671      615.628737
FIRE:   26 14:31:07        0.542240      743.816851
FIRE:   27 14:31:07        0.213633      605.037723
FIRE:   28 14:31:07        0.219078     1968.162528
FIRE:   29 14:31:08        0.116012     1475.498574
FIRE:   30 14:31:08        0.001752      567.684377
FIRE:   31 14:31:08       -0.038893      475.464358
FIRE:   32 14:31:09       -0.041530      475.600748
FIRE:   33 14:31:09       -0.046730      475.879104
FIRE:   34 14:31:09       -0.054354      476.311247
FIRE:   35 14:31:10       -0.064217      476.916405
FIRE:   36 14:31:10       -0.076132      477.722957
FIRE:   37 14:31:11       -0.089947      478.770814
FIRE:   38 14:31:11       -0.105595      480.114583
FIRE:   39 14:31:11       -0.125102      482.035222
FIRE:   40 14:31:12       -0.149574      484.847635
FIRE:   41 14:31:12       -0.180586      489.103448
FIRE:   42 14:31:12       -0.220193      495.827624
FIRE:   43 14:31:13       -0.270818      507.050052
FIRE:   44 14:31:13       -0.335363      527.046608
FIRE:   45 14:31:14       -0.418376      565.190260
FIRE:   46 14:31:14       -0.529345      640.771805
FIRE:   47 14:31:14       -0.688277      766.662153
FIRE:   48 14:31:15       -0.904481      596.448365
FIRE:   49 14:31:15       -0.859035     1610.600564
FIRE:   50 14:31:16       -0.894788     1395.722546
FIRE:   51 14:31:16       -0.948321      986.238354
FIRE:   52 14:31:16       -0.993124      465.527124
FIRE:   53 14:31:17       -1.012062      168.724686
FIRE:   54 14:31:17       -1.010261      392.199135
FIRE:   55 14:31:17       -1.011106      385.950408
FIRE:   56 14:31:18       -1.012761      373.424255
FIRE:   57 14:31:18       -1.015163      354.599640
FIRE:   58 14:31:18       -1.018214      329.532921
FIRE:   59 14:31:19       -1.021795      298.475574
FIRE:   60 14:31:19       -1.025771      262.069044
FIRE:   61 14:31:20       -1.030002      221.680959
FIRE:   62 14:31:20       -1.034825      175.681095
FIRE:   63 14:31:20       -1.040184      168.699239
FIRE:   64 14:31:21       -1.046064      168.694148
FIRE:   65 14:31:21       -1.052635      168.687734
FIRE:   66 14:31:21       -1.060403      189.806457
FIRE:   67 14:31:22       -1.070263      226.651950
FIRE:   68 14:31:22       -1.083287      233.014366
FIRE:   69 14:31:22       -1.100238      200.337373
FIRE:   70 14:31:23       -1.121155      168.626084
FIRE:   71 14:31:23       -1.145656      168.604526
FIRE:   72 14:31:24       -1.174272      168.578042
FIRE:   73 14:31:24       -1.209338      198.181907
FIRE:   74 14:31:24       -1.253622      177.195989
FIRE:   75 14:31:25       -1.307973      168.458716
FIRE:   76 14:31:25       -1.372278      168.400372
FIRE:   77 14:31:25       -1.450999      174.088584
FIRE:   78 14:31:26       -1.548350      168.243467
FIRE:   79 14:31:26       -1.664529      175.741028
FIRE:   80 14:31:27       -1.807774      168.011734
FIRE:   81 14:31:27       -1.980249      171.772759
FIRE:   82 14:31:27       -2.191573      167.671109
FIRE:   83 14:31:28       -2.446425      180.279409
FIRE:   84 14:31:28       -2.755876      206.885951
FIRE:   85 14:31:28       -3.128580      261.414453
FIRE:   86 14:31:29       -3.570493      474.272003
Error reading POSCAR: CUDA error: an illegal memory access was encountered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.

Job ended on: Thu Jun 12 01:31:32 PM UTC 2025\n
