Si Bulk DFT energetics calculations using VASP
Running on host: comp195
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift1
Job started on: Thu  5 Jun 14:57:21 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 15:57:48     -624.480380        1.597842
FIRE:    1 15:57:58     -624.767716        1.475898
FIRE:    2 15:58:07     -625.239624        1.258217
FIRE:    3 15:58:16     -625.750694        0.986444
FIRE:    4 15:58:25     -626.192797        0.708012
FIRE:    5 15:58:34     -626.549627        0.636857
FIRE:    6 15:58:44     -626.880677        0.823208
FIRE:    7 15:58:53     -627.227125        0.861002
FIRE:    8 15:59:02     -627.575842        0.753162
FIRE:    9 15:59:12     -627.894703        0.592935
FIRE:   10 15:59:21     -628.185142        0.461526
FIRE:   11 15:59:30     -628.460242        0.377235
FIRE:   12 15:59:40     -628.731797        0.433153
FIRE:   13 15:59:49     -629.004612        0.422567
FIRE:   14 15:59:58     -629.270313        0.397793
FIRE:   15 16:00:07     -629.515651        0.392835
FIRE:   16 16:00:17     -629.736692        0.385198
FIRE:   17 16:00:26     -629.943677        0.375970
FIRE:   18 16:00:35     -630.151943        0.361077
FIRE:   19 16:00:45     -630.369865        0.335528
FIRE:   20 16:00:54     -630.595038        0.325902
FIRE:   21 16:01:03     -630.820069        0.369316
FIRE:   22 16:01:13     -631.038250        0.400892
FIRE:   23 16:01:22     -631.242218        0.397368
FIRE:   24 16:01:31     -631.423693        0.364912
FIRE:   25 16:01:40     -631.584287        0.350447
FIRE:   26 16:01:50     -631.733251        0.338430
FIRE:   27 16:01:59     -631.870271        0.327755
FIRE:   28 16:02:08     -631.997579        0.449713
FIRE:   29 16:02:18     -632.126993        0.529654
FIRE:   30 16:02:27     -632.270199        0.533573
FIRE:   31 16:02:36     -632.427826        0.444183
FIRE:   32 16:02:45     -632.586493        0.303648
FIRE:   33 16:02:55     -632.734759        0.296407
FIRE:   34 16:03:04     -632.870530        0.238504
FIRE:   35 16:03:13     -632.998031        0.247492
FIRE:   36 16:03:23     -633.122099        0.289024
FIRE:   37 16:03:32     -633.242622        0.292965
FIRE:   38 16:03:41     -633.354723        0.256808
FIRE:   39 16:03:51     -633.454918        0.192428
FIRE:   40 16:04:00     -633.546611        0.192182
FIRE:   41 16:04:09     -633.638160        0.203409
FIRE:   42 16:04:18     -633.733744        0.194135
FIRE:   43 16:04:28     -633.828566        0.159554
FIRE:   44 16:04:37     -633.912784        0.117376
FIRE:   45 16:04:46     -633.980348        0.121558
FIRE:   46 16:04:56     -634.033364        0.141416
FIRE:   47 16:05:05     -634.078163        0.122367
FIRE:   48 16:05:14     -634.118846        0.111733
FIRE:   49 16:05:23     -634.154539        0.110809
FIRE:   50 16:05:33     -634.182759        0.125634
FIRE:   51 16:05:42     -634.204639        0.182543
FIRE:   52 16:05:51     -634.224664        0.198664
FIRE:   53 16:06:01     -634.245628        0.169137
FIRE:   54 16:06:10     -634.265297        0.105054
FIRE:   55 16:06:19     -634.279358        0.110890
FIRE:   56 16:06:28     -634.286078        0.096868
FIRE:   57 16:06:38     -634.324543        0.126680
FIRE:   58 16:06:47     -634.338942        0.068167
FIRE:   59 16:06:56     -634.347637        0.080531
FIRE:   60 16:07:06     -634.355053        0.099743
FIRE:   61 16:07:15     -634.370896        0.065638
FIRE:   62 16:07:24     -634.382830        0.047610
FIRE:   63 16:07:34     -634.388519        0.073800
FIRE:   64 16:07:43     -634.395970        0.070176
FIRE:   65 16:07:52     -634.401549        0.047045
FIRE:   66 16:08:02     -634.402387        0.038168
FIRE:   67 16:08:11     -634.403565        0.022830
FIRE:   68 16:08:20     -634.404457        0.014293
FIRE:   69 16:08:29     -634.404923        0.020867
FIRE:   70 16:08:39     -634.405319        0.028058
FIRE:   71 16:08:48     -634.405995        0.026930
FIRE:   72 16:08:57     -634.406873        0.020857
FIRE:   73 16:09:06     -634.407625        0.009754
MACE calculation complete. Energy written to MACE_OUTCAR: -634.407625 eV
Job ended on: Thu  5 Jun 15:09:07 UTC 2025
