Si Bulk DFT energetics calculations using VASP
Running on host: comp172
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift3swap2
Job started on: Fri  6 Jun 14:07:21 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 15:10:10     -622.838616        1.618226
FIRE:    1 15:10:19     -623.236829        1.484659
FIRE:    2 15:10:29     -623.885460        1.252136
FIRE:    3 15:10:38     -624.582064        1.042046
FIRE:    4 15:10:47     -625.173417        0.861951
FIRE:    5 15:10:56     -625.615994        0.707438
FIRE:    6 15:11:06     -625.986556        0.718192
FIRE:    7 15:11:15     -626.296478        0.675616
FIRE:    8 15:11:24     -626.562881        0.581133
FIRE:    9 15:11:34     -626.830328        0.479038
FIRE:   10 15:11:43     -627.095620        0.455111
FIRE:   11 15:11:52     -627.351931        0.489474
FIRE:   12 15:12:02     -627.607865        0.527967
FIRE:   13 15:12:11     -627.881139        0.595938
FIRE:   14 15:12:20     -628.182855        0.673534
FIRE:   15 15:12:29     -628.509697        0.745188
FIRE:   16 15:12:39     -628.855036        0.817312
FIRE:   17 15:12:48     -629.216763        0.847222
FIRE:   18 15:12:57     -629.586025        0.781917
FIRE:   19 15:13:07     -629.945306        0.839510
FIRE:   20 15:13:16     -630.292004        0.913647
FIRE:   21 15:13:25     -630.624423        0.917543
FIRE:   22 15:13:34     -630.918563        0.798025
FIRE:   23 15:13:44     -631.150762        0.697752
FIRE:   24 15:13:53     -631.338776        0.806940
FIRE:   25 15:14:02     -631.493476        0.734347
FIRE:   26 15:14:11     -631.587103        0.692551
FIRE:   27 15:14:21     -631.607824        1.080489
FIRE:   28 15:14:30     -631.865523        0.187050
FIRE:   29 15:14:39     -631.893389        0.483008
FIRE:   30 15:14:49     -631.926397        0.402859
FIRE:   31 15:14:58     -631.970251        0.253100
FIRE:   32 15:15:07     -632.002020        0.131072
FIRE:   33 15:15:17     -632.020476        0.243851
FIRE:   34 15:15:26     -632.041677        0.330799
FIRE:   35 15:15:35     -632.074934        0.308321
FIRE:   36 15:15:44     -632.111994        0.187808
FIRE:   37 15:15:54     -632.140315        0.110700
FIRE:   38 15:16:03     -632.152658        0.177075
FIRE:   39 15:16:12     -632.155195        0.163589
FIRE:   40 15:16:22     -632.159609        0.137651
FIRE:   41 15:16:31     -632.164814        0.101383
FIRE:   42 15:16:40     -632.169715        0.097712
FIRE:   43 15:16:50     -632.173660        0.094790
FIRE:   44 15:16:59     -632.176776        0.092353
FIRE:   45 15:17:08     -632.179762        0.094934
FIRE:   46 15:17:17     -632.183815        0.107795
FIRE:   47 15:17:27     -632.189550        0.100276
FIRE:   48 15:17:36     -632.196860        0.082443
FIRE:   49 15:17:45     -632.204835        0.083811
FIRE:   50 15:17:54     -632.212781        0.085068
FIRE:   51 15:18:04     -632.221546        0.081231
FIRE:   52 15:18:13     -632.232413        0.075837
FIRE:   53 15:18:22     -632.244535        0.069001
FIRE:   54 15:18:32     -632.255206        0.074604
FIRE:   55 15:18:41     -632.264058        0.084567
FIRE:   56 15:18:50     -632.271479        0.075560
FIRE:   57 15:18:59     -632.273480        0.094500
FIRE:   58 15:19:09     -632.274670        0.085803
FIRE:   59 15:19:18     -632.276579        0.069792
FIRE:   60 15:19:27     -632.278580        0.049111
FIRE:   61 15:19:36     -632.280308        0.034901
FIRE:   62 15:19:45     -632.281780        0.030956
FIRE:   63 15:19:55     -632.283105        0.029142
FIRE:   64 15:20:04     -632.284233        0.034655
FIRE:   65 15:20:13     -632.285122        0.034201
FIRE:   66 15:20:22     -632.285767        0.032910
FIRE:   67 15:20:31     -632.286443        0.031835
FIRE:   68 15:20:41     -632.287213        0.026700
FIRE:   69 15:20:50     -632.287917        0.029307
FIRE:   70 15:20:59     -632.288661        0.029162
FIRE:   71 15:21:08     -632.289492        0.016370
FIRE:   72 15:21:18     -632.289918        0.019405
FIRE:   73 15:21:27     -632.290067        0.015044
FIRE:   74 15:21:36     -632.290290        0.011433
FIRE:   75 15:21:46     -632.290495        0.008332
MACE calculation complete. Energy written to MACE_OUTCAR: -632.290495 eV
Job ended on: Fri  6 Jun 14:21:55 UTC 2025
