Si Bulk DFT energetics calculations using VASP
Running on host: comp191
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift5swap1
Job started on: Sat  7 Jun 22:33:57 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 23:34:21     -623.218864        1.877822
FIRE:    1 23:34:31     -623.628160        1.762540
FIRE:    2 23:34:40     -624.312062        1.556572
FIRE:    3 23:34:49     -625.076606        1.297864
FIRE:    4 23:34:59     -625.729068        1.000443
FIRE:    5 23:35:08     -626.193581        0.627601
FIRE:    6 23:35:17     -626.496984        0.572709
FIRE:    7 23:35:26     -626.701458        0.580513
FIRE:    8 23:35:36     -626.899985        0.584584
FIRE:    9 23:35:45     -627.105694        0.523177
FIRE:   10 23:35:54     -627.311306        0.557053
FIRE:   11 23:36:04     -627.524581        0.561927
FIRE:   12 23:36:13     -627.753792        0.469323
FIRE:   13 23:36:22     -627.998106        0.401950
FIRE:   14 23:36:31     -628.249994        0.412769
FIRE:   15 23:36:41     -628.503051        0.489198
FIRE:   16 23:36:50     -628.761527        0.576713
FIRE:   17 23:36:59     -629.041070        0.666378
FIRE:   18 23:37:09     -629.356104        0.732367
FIRE:   19 23:37:18     -629.700617        0.729592
FIRE:   20 23:37:27     -630.042065        0.722465
FIRE:   21 23:37:37     -630.349262        0.634311
FIRE:   22 23:37:46     -630.614666        0.556751
FIRE:   23 23:37:55     -630.832841        0.460828
FIRE:   24 23:38:05     -630.992482        0.542478
FIRE:   25 23:38:14     -631.096174        0.665712
FIRE:   26 23:38:23     -631.167242        0.756424
FIRE:   27 23:38:33     -631.253872        0.840245
FIRE:   28 23:38:42     -631.390628        0.659095
FIRE:   29 23:38:52     -631.546619        0.497893
FIRE:   30 23:39:01     -631.683282        0.380313
FIRE:   31 23:39:10     -631.798142        0.338810
FIRE:   32 23:39:20     -631.907422        0.407784
FIRE:   33 23:39:29     -632.027068        0.374338
FIRE:   34 23:39:38     -632.156717        0.294590
FIRE:   35 23:39:48     -632.281352        0.273830
FIRE:   36 23:39:57     -632.390209        0.256850
FIRE:   37 23:40:06     -632.492830        0.273807
FIRE:   38 23:40:16     -632.608622        0.258917
FIRE:   39 23:40:25     -632.744713        0.239180
FIRE:   40 23:40:35     -632.890773        0.209635
FIRE:   41 23:40:44     -633.032658        0.207197
FIRE:   42 23:40:53     -633.164645        0.203060
FIRE:   43 23:41:03     -633.288922        0.195626
FIRE:   44 23:41:12     -633.404700        0.218989
FIRE:   45 23:41:21     -633.500925        0.224162
FIRE:   46 23:41:31     -633.566723        0.328421
FIRE:   47 23:41:40     -633.609396        0.374049
FIRE:   48 23:41:50     -633.653454        0.351697
FIRE:   49 23:41:59     -633.717931        0.355651
FIRE:   50 23:42:08     -633.801661        0.317199
FIRE:   51 23:42:18     -633.890744        0.250996
FIRE:   52 23:42:27     -633.969662        0.165674
FIRE:   53 23:42:36     -634.027550        0.154772
FIRE:   54 23:42:46     -634.062192        0.206900
FIRE:   55 23:42:55     -634.080283        0.219395
FIRE:   56 23:43:04     -634.146860        0.166924
FIRE:   57 23:43:13     -634.169268        0.076091
FIRE:   58 23:43:23     -634.179858        0.105594
FIRE:   59 23:43:32     -634.182563        0.093074
FIRE:   60 23:43:41     -634.186949        0.070328
FIRE:   61 23:43:51     -634.191680        0.046390
FIRE:   62 23:44:00     -634.196115        0.060082
FIRE:   63 23:44:09     -634.200736        0.080234
FIRE:   64 23:44:19     -634.206491        0.083944
FIRE:   65 23:44:28     -634.213626        0.070011
FIRE:   66 23:44:37     -634.222290        0.047394
FIRE:   67 23:44:47     -634.231389        0.050481
FIRE:   68 23:44:56     -634.240799        0.064141
FIRE:   69 23:45:05     -634.251768        0.053196
FIRE:   70 23:45:15     -634.264229        0.046484
FIRE:   71 23:45:24     -634.276890        0.049718
FIRE:   72 23:45:33     -634.291153        0.056109
FIRE:   73 23:45:42     -634.308277        0.073277
FIRE:   74 23:45:52     -634.331580        0.074686
FIRE:   75 23:46:01     -634.361950        0.072124
FIRE:   76 23:46:10     -634.391139        0.100020
FIRE:   77 23:46:19     -634.419292        0.143243
FIRE:   78 23:46:29     -634.434835        0.105522
FIRE:   79 23:46:38     -634.438884        0.079530
FIRE:   80 23:46:47     -634.444168        0.039206
FIRE:   81 23:46:56     -634.448376        0.035340
FIRE:   82 23:47:06     -634.451517        0.053079
FIRE:   83 23:47:15     -634.454192        0.048713
FIRE:   84 23:47:24     -634.456760        0.044209
FIRE:   85 23:47:34     -634.459447        0.042501
FIRE:   86 23:47:43     -634.462221        0.029465
FIRE:   87 23:47:52     -634.464441        0.022843
FIRE:   88 23:48:01     -634.466088        0.031550
FIRE:   89 23:48:11     -634.467620        0.024685
FIRE:   90 23:48:20     -634.468707        0.024888
FIRE:   91 23:48:29     -634.469044        0.021330
FIRE:   92 23:48:38     -634.469534        0.015051
FIRE:   93 23:48:48     -634.469992        0.015343
FIRE:   94 23:48:57     -634.470365        0.016478
FIRE:   95 23:49:06     -634.470683        0.015413
FIRE:   96 23:49:15     -634.470968        0.009618
MACE calculation complete. Energy written to MACE_OUTCAR: -634.470968 eV
Job ended on: Sat  7 Jun 22:49:19 UTC 2025
