Si Bulk DFT energetics calculations using VASP
Running on host: comp058
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/144_Si72Sn72_001_011_a0.212963_b0.012346_c2.262295_interface6shift3
Job started on: Tue 10 Jun 00:43:53 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 01:44:12     -690.571485        1.914474
FIRE:    1 01:44:23     -691.179478        1.753287
FIRE:    2 01:44:33     -692.156782        1.505409
FIRE:    3 01:44:44     -693.152484        1.263125
FIRE:    4 01:44:54     -693.891765        1.081075
FIRE:    5 01:45:05     -694.447809        0.948037
FIRE:    6 01:45:15     -694.888944        0.867862
FIRE:    7 01:45:25     -695.273708        0.775793
FIRE:    8 01:45:36     -695.644997        0.664424
FIRE:    9 01:45:46     -696.026670        0.744636
FIRE:   10 01:45:57     -696.444589        0.782055
FIRE:   11 01:46:07     -696.911556        0.792839
FIRE:   12 01:46:18     -697.406695        0.670185
FIRE:   13 01:46:28     -697.912053        0.681299
FIRE:   14 01:46:39     -698.432713        0.742505
FIRE:   15 01:46:49     -698.990207        0.819285
FIRE:   16 01:47:00     -699.604866        0.891244
FIRE:   17 01:47:10     -700.279994        0.958301
FIRE:   18 01:47:21     -700.996237        0.991397
FIRE:   19 01:47:31     -701.718070        1.027892
FIRE:   20 01:47:42     -702.405787        0.979003
FIRE:   21 01:47:52     -703.034958        0.942417
FIRE:   22 01:48:03     -703.604924        0.858013
FIRE:   23 01:48:13     -704.112129        0.713892
FIRE:   24 01:48:24     -704.537728        0.579763
FIRE:   25 01:48:34     -704.866221        0.471450
FIRE:   26 01:48:45     -705.090447        0.521511
FIRE:   27 01:48:55     -705.227236        1.002093
FIRE:   28 01:49:05     -705.342022        1.267883
FIRE:   29 01:49:16     -705.497961        1.009177
FIRE:   30 01:49:26     -705.684950        0.965216
FIRE:   31 01:49:37     -705.872794        0.848423
FIRE:   32 01:49:47     -706.041698        0.703072
FIRE:   33 01:49:58     -706.187813        0.663223
FIRE:   34 01:50:08     -706.320076        0.636455
FIRE:   35 01:50:19     -706.442999        0.527580
FIRE:   36 01:50:29     -706.546789        0.575100
FIRE:   37 01:50:40     -706.608887        0.557553
FIRE:   38 01:50:50     -706.872771        0.310924
FIRE:   39 01:51:01     -706.966373        0.296826
FIRE:   40 01:51:11     -707.065883        0.381154
FIRE:   41 01:51:22     -707.194242        0.281195
FIRE:   42 01:51:32     -707.291041        0.195431
FIRE:   43 01:51:43     -707.360090        0.216983
FIRE:   44 01:51:53     -707.427635        0.247052
FIRE:   45 01:52:03     -707.506156        0.200705
FIRE:   46 01:52:14     -707.575960        0.169242
FIRE:   47 01:52:24     -707.632251        0.198823
FIRE:   48 01:52:35     -707.690035        0.152227
FIRE:   49 01:52:46     -707.742361        0.122642
FIRE:   50 01:52:56     -707.787438        0.141016
FIRE:   51 01:53:06     -707.829113        0.110849
FIRE:   52 01:53:17     -707.865363        0.106377
FIRE:   53 01:53:27     -707.896613        0.105400
FIRE:   54 01:53:38     -707.917097        0.109076
FIRE:   55 01:53:49     -707.928022        0.087644
FIRE:   56 01:53:59     -707.938406        0.093856
FIRE:   57 01:54:10     -707.949934        0.047747
FIRE:   58 01:54:20     -707.952721        0.063637
FIRE:   59 01:54:31     -707.954037        0.052625
FIRE:   60 01:54:41     -707.956017        0.041425
FIRE:   61 01:54:52     -707.957801        0.034708
FIRE:   62 01:55:02     -707.959063        0.037487
FIRE:   63 01:55:13     -707.960200        0.046255
FIRE:   64 01:55:23     -707.961771        0.046969
FIRE:   65 01:55:34     -707.963927        0.037354
FIRE:   66 01:55:44     -707.966538        0.031394
FIRE:   67 01:55:55     -707.968929        0.022264
FIRE:   68 01:56:05     -707.970910        0.031513
FIRE:   69 01:56:16     -707.973066        0.029813
FIRE:   70 01:56:26     -707.975465        0.018944
FIRE:   71 01:56:37     -707.977284        0.033272
FIRE:   72 01:56:47     -707.978722        0.025277
FIRE:   73 01:56:58     -707.979998        0.023105
FIRE:   74 01:57:08     -707.980871        0.023591
FIRE:   75 01:57:19     -707.981059        0.018139
FIRE:   76 01:57:29     -707.981315        0.014094
FIRE:   77 01:57:40     -707.981524        0.012316
FIRE:   78 01:57:51     -707.981690        0.017132
FIRE:   79 01:58:01     -707.981910        0.018805
FIRE:   80 01:58:12     -707.982220        0.015937
FIRE:   81 01:58:22     -707.982562        0.009701
MACE calculation complete. Energy written to MACE_OUTCAR: -707.982562 eV
Job ended on: Tue 10 Jun 00:58:23 UTC 2025
