Si Bulk DFT energetics calculations using VASP
Running on host: comp026
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/216_Si144Sn72_011_001_a0.742424_b0.106952_c1.967214_interface7shift1
Job started on: Wed 11 Jun 18:40:04 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 19:40:28    -1080.537587       10.304999
FIRE:    1 19:40:45    -1086.805167        6.186276
FIRE:    2 19:41:01    -1090.874858        3.582783
FIRE:    3 19:41:17    -1093.360735        2.103094
FIRE:    4 19:41:34    -1094.807697        1.170317
FIRE:    5 19:41:50    -1095.626891        1.166870
FIRE:    6 19:42:06    -1096.136010        1.375982
FIRE:    7 19:42:23    -1096.565490        1.483750
FIRE:    8 19:42:39    -1097.059325        1.380167
FIRE:    9 19:42:56    -1097.659535        1.384509
FIRE:   10 19:43:12    -1098.338641        1.339725
FIRE:   11 19:43:29    -1099.048888        1.255680
FIRE:   12 19:43:45    -1099.752356        1.148455
FIRE:   13 19:44:02    -1100.430230        1.027212
FIRE:   14 19:44:18    -1101.084640        0.897711
FIRE:   15 19:44:35    -1101.732032        0.835295
FIRE:   16 19:44:52    -1102.386543        0.881959
FIRE:   17 19:45:08    -1103.044293        0.932838
FIRE:   18 19:45:25    -1103.686177        0.956577
FIRE:   19 19:45:41    -1104.295465        0.942911
FIRE:   20 19:45:58    -1104.871275        0.909978
FIRE:   21 19:46:15    -1105.425623        0.877541
FIRE:   22 19:46:31    -1105.970813        0.847107
FIRE:   23 19:46:48    -1106.510059        0.812757
FIRE:   24 19:47:04    -1107.037936        0.824756
FIRE:   25 19:47:21    -1107.547029        0.839263
FIRE:   26 19:47:37    -1108.033876        0.848563
FIRE:   27 19:47:54    -1108.497186        0.826263
FIRE:   28 19:48:10    -1108.932519        0.743671
FIRE:   29 19:48:27    -1109.334933        0.611126
FIRE:   30 19:48:44    -1109.700063        0.555866
FIRE:   31 19:49:00    -1110.022221        0.506936
FIRE:   32 19:49:17    -1110.295143        0.481949
FIRE:   33 19:49:33    -1110.512156        0.652191
FIRE:   34 19:49:50    -1110.684794        0.955959
FIRE:   35 19:50:06    -1110.847579        1.103197
FIRE:   36 19:50:23    -1111.023526        1.016801
FIRE:   37 19:50:39    -1111.198750        0.739453
FIRE:   38 19:50:56    -1111.339094        0.601687
FIRE:   39 19:51:12    -1111.430096        0.855160
FIRE:   40 19:51:29    -1111.496838        1.011904
FIRE:   41 19:51:45    -1111.575246        0.967156
FIRE:   42 19:52:02    -1111.670875        0.710332
FIRE:   43 19:52:18    -1111.758825        0.518933
FIRE:   44 19:52:35    -1111.820990        0.600873
FIRE:   45 19:52:51    -1111.866860        0.578040
FIRE:   46 19:53:08    -1111.915529        0.469667
FIRE:   47 19:53:24    -1111.974377        0.456696
FIRE:   48 19:53:41    -1112.038521        0.410244
FIRE:   49 19:53:57    -1112.098252        0.342119
FIRE:   50 19:54:14    -1112.145028        0.381773
FIRE:   51 19:54:31    -1112.176672        0.453935
FIRE:   52 19:54:47    -1112.415167        0.144556
FIRE:   53 19:55:04    -1112.498788        0.236130
FIRE:   54 19:55:20    -1112.553223        0.196544
FIRE:   55 19:55:37    -1112.594468        0.315367
FIRE:   56 19:55:53    -1112.632445        0.185726
FIRE:   57 19:56:10    -1112.665829        0.086561
FIRE:   58 19:56:26    -1112.677267        0.158752
FIRE:   59 19:56:43    -1112.680135        0.150136
FIRE:   60 19:57:00    -1112.685026        0.133617
FIRE:   61 19:57:16    -1112.690674        0.110761
FIRE:   62 19:57:33    -1112.696111        0.084333
FIRE:   63 19:57:49    -1112.701156        0.086500
FIRE:   64 19:58:06    -1112.706261        0.109628
FIRE:   65 19:58:22    -1112.711943        0.121310
FIRE:   66 19:58:39    -1112.719211        0.119886
FIRE:   67 19:58:55    -1112.728205        0.106842
FIRE:   68 19:59:12    -1112.739027        0.088171
FIRE:   69 19:59:28    -1112.751552        0.069610
FIRE:   70 19:59:45    -1112.764922        0.069714
FIRE:   71 20:00:01    -1112.778622        0.070138
FIRE:   72 20:00:18    -1112.793838        0.066179
FIRE:   73 20:00:35    -1112.809723        0.054095
FIRE:   74 20:00:51    -1112.824585        0.048715
FIRE:   75 20:01:08    -1112.837650        0.053464
FIRE:   76 20:01:24    -1112.848789        0.029095
FIRE:   77 20:01:41    -1112.855084        0.040971
FIRE:   78 20:01:57    -1112.856849        0.044252
