Job started on: Thu Jun 12 01:59:57 PM UTC 2025\n
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /home/alexander/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 15:00:58    -1212.705901        8.292351
FIRE:    1 15:02:41    -1220.493075        6.565010
FIRE:    2 15:02:45    -1227.344608        5.316931
FIRE:    3 15:05:04    -1233.387830        4.643172
FIRE:    4 15:05:40    -1238.727148        4.034018
FIRE:    5 15:05:41    -1243.451580        3.664783
FIRE:    6 15:05:42    -1247.635187        3.377863
FIRE:    7 15:06:03    -1251.339214        3.062376
FIRE:    8 15:06:12    -1254.618863        2.730783
FIRE:    9 15:06:13    -1257.524882        2.402956
FIRE:   10 15:06:14    -1260.106692        2.096518
FIRE:   11 15:06:15    -1262.412614        1.818224
FIRE:   12 15:06:17    -1264.487242        1.565046
FIRE:   13 15:06:39    -1266.369178        1.410272
FIRE:   14 15:06:49    -1268.089168        1.327035
FIRE:   15 15:06:53    -1269.669993        1.248915
FIRE:   16 15:07:07    -1271.128644        1.179159
FIRE:   17 15:07:08    -1272.479690        1.118815
FIRE:   18 15:08:32    -1273.738201        1.067277
FIRE:   19 15:08:33    -1274.920856        1.026321
FIRE:   20 15:08:34    -1276.044203        0.992380
FIRE:   21 15:10:14    -1277.122598        0.961436
FIRE:   22 15:10:15    -1278.165690        0.930535
FIRE:   23 15:11:39    -1279.177578        0.896111
FIRE:   24 15:11:40    -1280.157602        0.854290
FIRE:   25 15:11:41    -1281.102765        0.801767
FIRE:   26 15:12:17    -1282.010199        0.737167
FIRE:   27 15:12:18    -1282.877847        0.663125
FIRE:   28 15:12:19    -1283.705085        0.631905
FIRE:   29 15:14:01    -1284.492681        0.642954
FIRE:   30 15:14:02    -1285.242650        0.650293
FIRE:   31 15:14:07    -1285.956848        0.687259
FIRE:   32 15:14:11    -1286.634212        0.715098
FIRE:   33 15:14:15    -1287.272325        0.720473
FIRE:   34 15:14:16    -1287.868209        0.696894
FIRE:   35 15:17:02    -1288.418528        0.633242
FIRE:   36 15:17:05    -1288.918821        0.593812
FIRE:   37 15:17:08    -1289.364563        0.593461
FIRE:   38 15:17:11    -1289.754380        0.584938
FIRE:   39 15:17:38    -1290.092079        0.687102
FIRE:   40 15:17:39    -1290.387063        0.882063
FIRE:   41 15:18:55    -1290.654204        0.998036
FIRE:   42 15:18:56    -1290.909732        1.003452
FIRE:   43 15:18:57    -1291.164043        0.951979
FIRE:   44 15:19:20    -1291.417654        0.796296
FIRE:   45 15:19:21    -1291.664208        0.602836
FIRE:   46 15:19:22    -1291.897818        0.642389
FIRE:   47 15:19:23    -1292.119244        0.689914
FIRE:   48 15:19:24    -1292.337343        0.737318
FIRE:   49 15:19:25    -1292.565139        0.784792
FIRE:   50 15:19:26    -1292.814621        0.824124
FIRE:   51 15:20:00    -1293.091539        0.848711
FIRE:   52 15:20:02    -1293.392943        0.832814
FIRE:   53 15:20:03    -1293.708005        0.735198
FIRE:   54 15:20:57    -1294.020022        0.805751
FIRE:   55 15:21:02    -1294.322005        0.852075
FIRE:   56 15:21:09    -1294.618405        0.853593
FIRE:   57 15:22:03    -1294.907509        0.775577
FIRE:   58 15:24:13    -1295.170973        0.969713
FIRE:   59 15:24:15    -1295.390260        1.615254
FIRE:   60 15:24:19    -1295.580754        2.224249
FIRE:   61 15:24:21    -1295.779845        2.467611
FIRE:   62 15:24:25    -1295.998042        2.201647
FIRE:   63 15:24:29    -1296.194752        1.566876
FIRE:   64 15:24:31    -1296.329788        2.128408
FIRE:   65 15:24:32    -1296.429172        2.606163
FIRE:   66 15:24:34    -1296.555638        2.540021
FIRE:   67 15:24:36    -1296.726263        1.950983
FIRE:   68 15:24:38    -1296.901738        1.168501
FIRE:   69 15:24:41    -1297.047939        1.034845
Error reading POSCAR: CUDA error: unknown error
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.

Job ended on: Thu Jun 12 02:29:35 PM UTC 2025\n
