Si Bulk DFT energetics calculations using VASP
Running on host: comp190
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/108_Sn48Ge60_001_001_a0.317829_b0.193798_c2.2_interface9shift1
Job started on: Wed  4 Jun 13:28:53 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 14:29:07     -477.262782        1.409726
FIRE:    1 14:29:15     -477.500158        1.173922
FIRE:    2 14:29:23     -477.896698        1.033371
FIRE:    3 14:29:30     -478.367165        0.936183
FIRE:    4 14:29:38     -478.862267        0.776996
FIRE:    5 14:29:46     -479.365380        0.653088
FIRE:    6 14:29:53     -479.864797        0.659129
FIRE:    7 14:30:01     -480.374909        0.684443
FIRE:    8 14:30:09     -480.898275        0.703076
FIRE:    9 14:30:16     -481.420831        0.706148
FIRE:   10 14:30:24     -481.929119        0.688433
FIRE:   11 14:30:32     -482.411411        0.673279
FIRE:   12 14:30:39     -482.856929        0.619862
FIRE:   13 14:30:47     -483.259169        0.523497
FIRE:   14 14:30:55     -483.621545        0.531882
FIRE:   15 14:31:02     -483.956949        0.537341
FIRE:   16 14:31:10     -484.279525        0.518142
FIRE:   17 14:31:18     -484.595531        0.509996
FIRE:   18 14:31:25     -484.899559        0.500496
FIRE:   19 14:31:33     -485.179724        0.491497
FIRE:   20 14:31:41     -485.428980        0.503964
FIRE:   21 14:31:48     -485.658769        0.520742
FIRE:   22 14:31:56     -485.892301        0.510496
FIRE:   23 14:32:04     -486.137071        0.533480
FIRE:   24 14:32:11     -486.387009        0.600610
FIRE:   25 14:32:19     -486.644649        0.661566
FIRE:   26 14:32:27     -486.915813        0.695543
FIRE:   27 14:32:35     -487.188683        0.697470
FIRE:   28 14:32:42     -487.443971        0.633202
FIRE:   29 14:32:50     -487.649293        0.427904
FIRE:   30 14:32:58     -487.766436        0.310908
FIRE:   31 14:33:06     -487.794480        0.378173
FIRE:   32 14:33:13     -487.944546        0.120410
FIRE:   33 14:33:21     -488.001250        0.204161
FIRE:   34 14:33:29     -488.053296        0.220159
FIRE:   35 14:33:36     -488.117957        0.153172
FIRE:   36 14:33:44     -488.163684        0.121919
FIRE:   37 14:33:52     -488.195349        0.216821
FIRE:   38 14:33:59     -488.238297        0.149101
FIRE:   39 14:34:07     -488.278615        0.082733
FIRE:   40 14:34:15     -488.304907        0.122217
FIRE:   41 14:34:23     -488.329276        0.125042
FIRE:   42 14:34:30     -488.358487        0.070818
FIRE:   43 14:34:38     -488.384295        0.069553
FIRE:   44 14:34:46     -488.406723        0.059832
FIRE:   45 14:34:53     -488.423305        0.056435
FIRE:   46 14:35:01     -488.425574        0.076607
FIRE:   47 14:35:09     -488.436343        0.048871
FIRE:   48 14:35:17     -488.438843        0.033854
FIRE:   49 14:35:24     -488.440716        0.023458
FIRE:   50 14:35:32     -488.441604        0.030983
FIRE:   51 14:35:40     -488.443218        0.030643
FIRE:   52 14:35:47     -488.444939        0.023884
FIRE:   53 14:35:55     -488.445747        0.019731
FIRE:   54 14:36:03     -488.445914        0.016972
FIRE:   55 14:36:10     -488.446178        0.013865
FIRE:   56 14:36:18     -488.446433        0.012996
FIRE:   57 14:36:26     -488.446646        0.011927
FIRE:   58 14:36:34     -488.446793        0.011090
FIRE:   59 14:36:41     -488.446965        0.011679
FIRE:   60 14:36:49     -488.447195        0.010640
FIRE:   61 14:36:56     -488.447513        0.010571
FIRE:   62 14:37:04     -488.447825        0.010849
FIRE:   63 14:37:12     -488.448091        0.011330
FIRE:   64 14:37:20     -488.448361        0.011920
FIRE:   65 14:37:27     -488.448750        0.012413
FIRE:   66 14:37:35     -488.449190        0.012411
FIRE:   67 14:37:43     -488.449610        0.011341
FIRE:   68 14:37:50     -488.450055        0.009374
MACE calculation complete. Energy written to MACE_OUTCAR: -488.450055 eV
Job ended on: Wed  4 Jun 13:37:51 UTC 2025
