Job started on: Thu Jun 12 10:24:18 PM UTC 2025\n
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /home/alexander/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 23:24:24     -477.255935        1.581928
FIRE:    1 23:24:24     -477.500392        1.285527
FIRE:    2 23:24:27     -477.907414        1.067537
FIRE:    3 23:24:27     -478.390271        0.981514
FIRE:    4 23:24:28     -478.901959        0.834776
FIRE:    5 23:24:28     -479.426443        0.758760
FIRE:    6 23:24:30     -479.933196        0.775300
FIRE:    7 23:24:32     -480.440519        0.776008
FIRE:    8 23:24:32     -480.952443        0.737777
FIRE:    9 23:24:33     -481.450742        0.645414
FIRE:   10 23:24:33     -481.917361        0.576295
FIRE:   11 23:24:33     -482.346919        0.595486
FIRE:   12 23:24:34     -482.748367        0.609665
FIRE:   13 23:24:34     -483.133628        0.610333
FIRE:   14 23:24:34     -483.508334        0.580754
FIRE:   15 23:24:35     -483.871157        0.543804
FIRE:   16 23:24:35     -484.216603        0.535152
FIRE:   17 23:24:35     -484.540247        0.520267
FIRE:   18 23:24:36     -484.841005        0.521229
FIRE:   19 23:24:36     -485.116392        0.500451
FIRE:   20 23:24:36     -485.359789        0.484035
FIRE:   21 23:24:37     -485.573278        0.475074
FIRE:   22 23:24:37     -485.776799        0.485200
FIRE:   23 23:24:37     -485.985209        0.488264
FIRE:   24 23:24:38     -486.198580        0.464125
FIRE:   25 23:24:38     -486.415517        0.554000
FIRE:   26 23:24:38     -486.646028        0.646497
FIRE:   27 23:24:39     -486.894442        0.715996
FIRE:   28 23:24:39     -487.145688        0.744131
FIRE:   29 23:24:39     -487.381914        0.710496
FIRE:   30 23:24:40     -487.580981        0.551787
FIRE:   31 23:24:40     -487.715498        0.411503
FIRE:   32 23:24:41     -487.777467        0.412478
FIRE:   33 23:24:41     -487.768085        0.512645
FIRE:   34 23:24:41     -487.961842        0.166505
FIRE:   35 23:24:42     -488.015324        0.284101
FIRE:   36 23:24:42     -488.041864        0.209534
FIRE:   37 23:24:42     -488.074587        0.110565
FIRE:   38 23:24:43     -488.102297        0.158146
FIRE:   39 23:24:43     -488.133780        0.170526
FIRE:   40 23:24:43     -488.173210        0.145031
FIRE:   41 23:24:44     -488.211137        0.071587
FIRE:   42 23:24:44     -488.241487        0.094493
FIRE:   43 23:24:44     -488.270381        0.114194
FIRE:   44 23:24:45     -488.301204        0.084697
FIRE:   45 23:24:45     -488.330044        0.081789
FIRE:   46 23:24:45     -488.353521        0.084163
FIRE:   47 23:24:46     -488.373574        0.063729
FIRE:   48 23:24:46     -488.387904        0.061568
FIRE:   49 23:24:46     -488.396403        0.055007
FIRE:   50 23:24:47     -488.400567        0.050418
FIRE:   51 23:24:47     -488.405478        0.047470
FIRE:   52 23:24:48     -488.409443        0.043329
FIRE:   53 23:24:48     -488.413729        0.048880
FIRE:   54 23:24:48     -488.418492        0.036507
FIRE:   55 23:24:49     -488.422172        0.024294
FIRE:   56 23:24:49     -488.424564        0.027442
FIRE:   57 23:24:49     -488.426957        0.041327
FIRE:   58 23:24:50     -488.429496        0.032456
FIRE:   59 23:24:50     -488.431510        0.022612
FIRE:   60 23:24:50     -488.432683        0.032761
FIRE:   61 23:24:51     -488.433157        0.025972
FIRE:   62 23:24:51     -488.433882        0.018225
FIRE:   63 23:24:51     -488.434607        0.015500
FIRE:   64 23:24:52     -488.435203        0.018545
FIRE:   65 23:24:52     -488.435761        0.026757
FIRE:   66 23:24:52     -488.436354        0.027388
FIRE:   67 23:24:53     -488.436961        0.020589
FIRE:   68 23:24:53     -488.437543        0.014599
FIRE:   69 23:24:53     -488.438064        0.014196
FIRE:   70 23:24:54     -488.438613        0.016087
FIRE:   71 23:24:54     -488.439336        0.014563
FIRE:   72 23:24:54     -488.440234        0.011207
FIRE:   73 23:24:55     -488.441203        0.013469
FIRE:   74 23:24:55     -488.442472        0.012051
FIRE:   75 23:24:56     -488.443928        0.010841
FIRE:   76 23:24:56     -488.445467        0.011793
FIRE:   77 23:24:56     -488.447151        0.010161
FIRE:   78 23:24:57     -488.448849        0.008919
MACE calculation complete. Energy written to MACE_OUTCAR: -488.448849 eV
Job ended on: Thu Jun 12 10:24:57 PM UTC 2025\n
