Job started on: Thu Jun 12 01:59:57 PM UTC 2025\n
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /home/alexander/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 15:07:20    -1232.882036        7.105333
FIRE:    1 15:07:45    -1240.054468        6.090471
FIRE:    2 15:10:07    -1246.257793        5.187808
FIRE:    3 15:11:11    -1251.642936        4.397246
FIRE:    4 15:12:05    -1256.335762        3.719986
FIRE:    5 15:12:06    -1260.442124        3.143519
FIRE:    6 15:12:10    -1264.047334        2.648821
FIRE:    7 15:12:11    -1267.220548        2.222549
FIRE:    8 15:12:12    -1270.023204        1.922358
FIRE:    9 15:15:45    -1272.509525        1.850778
FIRE:   10 15:15:49    -1274.728776        1.748734
FIRE:   11 15:15:53    -1276.725086        1.625897
FIRE:   12 15:16:01    -1278.536603        1.492903
FIRE:   13 15:16:06    -1280.194808        1.359338
FIRE:   14 15:18:27    -1281.724563        1.251977
FIRE:   15 15:18:29    -1283.145064        1.154384
FIRE:   16 15:18:30    -1284.471851        1.051301
FIRE:   17 15:19:04    -1285.718274        0.947689
FIRE:   18 15:19:05    -1286.896828        0.900954
FIRE:   19 15:19:06    -1288.019069        0.897927
FIRE:   20 15:19:07    -1289.095375        0.898900
FIRE:   21 15:19:08    -1290.134108        0.901389
FIRE:   22 15:19:12    -1291.140889        0.901715
FIRE:   23 15:19:34    -1292.118538        0.895110
FIRE:   24 15:19:36    -1293.066713        0.876597
FIRE:   25 15:19:37    -1293.982490        0.842393
FIRE:   26 15:19:38    -1294.861005        0.790961
FIRE:   27 15:19:39    -1295.696691        0.723148
FIRE:   28 15:19:43    -1296.484817        0.731599
FIRE:   29 15:22:16    -1297.222928        0.746265
FIRE:   30 15:22:44    -1297.911772        0.744054
FIRE:   31 15:22:52    -1298.554452        0.717330
FIRE:   32 15:22:55    -1299.153510        0.660340
FIRE:   33 15:22:57    -1299.709935        0.585169
FIRE:   34 15:23:00    -1300.221871        0.552493
FIRE:   35 15:23:04    -1300.684275        0.506940
FIRE:   36 15:24:59    -1301.089836        0.446020
FIRE:   37 15:25:13    -1301.431521        0.369485
FIRE:   38 15:25:16    -1301.706404        0.453858
FIRE:   39 15:26:46    -1301.918359        0.587771
FIRE:   40 15:26:49    -1302.077001        0.672565
FIRE:   41 15:26:49    -1302.194968        0.684918
FIRE:   42 15:26:50    -1302.284656        0.639814
FIRE:   43 15:26:52    -1302.356691        0.643800
FIRE:   44 15:26:53    -1302.419639        0.578071
FIRE:   45 15:27:57    -1302.479796        0.556789
FIRE:   46 15:28:48    -1302.542130        0.551400
FIRE:   47 15:28:50    -1302.610629        0.526293
FIRE:   48 15:28:51    -1302.687281        0.550578
FIRE:   49 15:28:52    -1302.771327        0.549539
FIRE:   50 15:28:53    -1302.859329        0.504974
FIRE:   51 15:28:54    -1302.946977        0.430117
FIRE:   52 15:29:18    -1303.030760        0.406095
FIRE:   53 15:29:24    -1303.109034        0.444871
FIRE:   54 15:29:25    -1303.182482        0.467835
FIRE:   55 15:29:26    -1303.254098        0.450941
FIRE:   56 15:29:27    -1303.328284        0.445089
FIRE:   57 15:29:28    -1303.410227        0.493296
FIRE:   58 15:29:29    -1303.504361        0.497473
FIRE:   59 15:29:30    -1303.612468        0.459387
FIRE:   60 15:29:31    -1303.732947        0.397161
FIRE:   61 15:29:33    -1303.861207        0.393050
FIRE:   62 15:29:34    -1303.990951        0.355510
FIRE:   63 15:29:35    -1304.116255        0.356183
FIRE:   64 15:33:53    -1304.234535        0.425400
FIRE:   65 15:33:56    -1304.347806        0.573916
FIRE:   66 15:34:02    -1304.461669        0.653273
FIRE:   67 15:34:08    -1304.581376        0.627880
FIRE:   68 15:34:09    -1304.708367        0.561886
FIRE:   69 15:34:11    -1304.839770        0.595978
FIRE:   70 15:34:13    -1304.970687        0.589032
FIRE:   71 15:34:15    -1305.095458        0.506934
FIRE:   72 15:34:19    -1305.206249        0.413157
FIRE:   73 15:34:21    -1305.293674        0.490487
FIRE:   74 15:34:25    -1305.353109        0.519315
FIRE:   75 15:34:28    -1305.391133        0.500543
FIRE:   76 15:34:32    -1305.416085        0.465882
FIRE:   77 15:34:42    -1305.696679        0.273242
Error reading POSCAR: CUDA error: unknown error
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.

Job ended on: Thu Jun 12 02:42:15 PM UTC 2025\n
